School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610287, ASHBURN , Network 10 ,  329 ,  1 ,0.3%,  259 ,78.7%,  - ,0.0%,  1 ,0.3%,  66 ,20.1%,  1 ,0.3%,  1 ,0.3%,  - ,0.0%,  - ,0.0%
610268, ASHE , Network 12 ,  360 ,  - ,0.0%,  346 ,96.1%,  - ,0.0%,  - ,0.0%,  11 ,3.1%,  1 ,0.3%,  1 ,0.3%,  1 ,0.3%,  - ,0.0%
400172, ASPIRA - BUSINESS & FINANCE HS , Charter ,  492 ,  8 ,1.6%,  21 ,4.3%,  - ,0.0%,  2 ,0.4%,  459 ,93.3%,  2 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400013, ASPIRA - EARLY COLLEGE HS , Charter ,  257 ,  3 ,1.2%,  8 ,3.1%,  - ,0.0%,  - ,0.0%,  245 ,95.3%,  - ,0.0%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
400017, ASPIRA - HAUGAN , Charter ,  82 ,  - ,0.0%,  4 ,4.9%,  - ,0.0%,  1 ,1.2%,  76 ,92.7%,  1 ,1.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609782, AUDUBON , Network 4 ,  608 ,  409 ,67.3%,  6 ,1.0%,  - ,0.0%,  1 ,0.2%,  98 ,16.1%,  53 ,8.7%,  34 ,5.6%,  - ,0.0%,  7 ,1.2%
610518, AUSTIN CCA HS , Network 15 ,  172 ,  - ,0.0%,  156 ,90.7%,  - ,0.0%,  - ,0.0%,  16 ,9.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609786, AVALON PARK , Network 12 ,  189 ,  - ,0.0%,  186 ,98.4%,  - ,0.0%,  1 ,0.5%,  2 ,1.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610325, AVONDALE-LOGANDALE , Network 4 ,  492 ,  6 ,1.2%,  50 ,10.2%,  - ,0.0%,  - ,0.0%,  425 ,86.4%,  7 ,1.4%,  2 ,0.4%,  2 ,0.4%,  - ,0.0%
610544, AZUELA , ISP ,  697 ,  7 ,1.0%,  4 ,0.6%,  - ,0.0%,  3 ,0.4%,  680 ,97.6%,  3 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610563, BACK OF THE YARDS HS , ISP ,"  1,001 ",  9 ,0.9%,  15 ,1.5%,  - ,0.0%,  3 ,0.3%,  960 ,95.9%,  - ,0.0%,  13 ,1.3%,  - ,0.0%,  1 ,0.1%
609788, BARNARD , Network 10 ,  245 ,  8 ,3.3%,  222 ,90.6%,  - ,0.0%,  - ,0.0%,  10 ,4.1%,  4 ,1.6%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
609789, BARRY , Network 4 ,  475 ,  6 ,1.3%,  22 ,4.6%,  - ,0.0%,  3 ,0.6%,  442 ,93.1%,  - ,0.0%,  2 ,0.4%,  - ,0.0%,  - ,0.0%
609790, BARTON , Network 11 ,  395 ,  1 ,0.3%,  343 ,86.8%,  - ,0.0%,  - ,0.0%,  49 ,12.4%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609791, BASS , Network 11 ,  289 ,  1 ,0.3%,  277 ,95.8%,  - ,0.0%,  1 ,0.3%,  10 ,3.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609792, BATEMAN , Network 1 ,  901 ,  185 ,20.5%,  27 ,3.0%,  - ,0.0%,  4 ,0.4%,  611 ,67.8%,  33 ,3.7%,  39 ,4.3%,  2 ,0.2%,  - ,0.0%
610083, BEARD , Network 1 ,  348 ,  112 ,32.2%,  24 ,6.9%,  - ,0.0%,  2 ,0.6%,  154 ,44.3%,  13 ,3.7%,  41 ,11.8%,  1 ,0.3%,  1 ,0.3%
610246, BEASLEY , Network 9 ,"  1,018 ",  - ,0.0%,  973 ,95.6%,  - ,0.0%,  2 ,0.2%,  16 ,1.6%,  8 ,0.8%,  1 ,0.1%,  1 ,0.1%,  17 ,1.7%
609796, BEAUBIEN , Network 1 ,"  1,021 ",  361 ,35.4%,  32 ,3.1%,  - ,0.0%,  1 ,0.1%,  380 ,37.2%,  62 ,6.1%,  175 ,17.1%,  5 ,0.5%,  5 ,0.5%
610237, BEETHOVEN , Network 9 ,  336 ,  1 ,0.3%,  282 ,83.9%,  - ,0.0%,  2 ,0.6%,  51 ,15.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609797, BEIDLER , Network 5 ,  256 ,  1 ,0.4%,  242 ,94.5%,  - ,0.0%,  - ,0.0%,  13 ,5.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609798, BELDING , Network 1 ,  553 ,  286 ,51.7%,  25 ,4.5%,  - ,0.0%,  3 ,0.5%,  197 ,35.6%,  19 ,3.4%,  20 ,3.6%,  3 ,0.5%,  - ,0.0%
609799, BELL , Network 4 ,  850 ,  480 ,56.5%,  14 ,1.6%,  - ,0.0%,  1 ,0.1%,  147 ,17.3%,  102 ,12.0%,  106 ,12.5%,  - ,0.0%,  - ,0.0%
609922, BELMONT-CRAGIN , Network 3 ,  525 ,  6 ,1.1%,  9 ,1.7%,  - ,0.0%,  2 ,0.4%,  502 ,95.6%,  1 ,0.2%,  2 ,0.4%,  - ,0.0%,  3 ,0.6%
609800, BENNETT , Network 13 ,  263 ,  - ,0.0%,  255 ,97.0%,  - ,0.0%,  - ,0.0%,  4 ,1.5%,  3 ,1.1%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
610350, BLACK , Network 12 ,  356 ,  - ,0.0%,  346 ,97.2%,  - ,0.0%,  - ,0.0%,  8 ,2.2%,  2 ,0.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609803, BLAINE , Network 4 ,  628 ,  423 ,67.4%,  16 ,2.5%,  - ,0.0%,  - ,0.0%,  101 ,16.1%,  57 ,9.1%,  30 ,4.8%,  1 ,0.2%,  - ,0.0%
610087, BLAIR , Network 10 ,  256 ,  40 ,15.6%,  12 ,4.7%,  - ,0.0%,  - ,0.0%,  202 ,78.9%,  1 ,0.4%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
609698, BOGAN HS , Network 16 ,  574 ,  7 ,1.2%,  302 ,52.6%,  - ,0.0%,  2 ,0.3%,  259 ,45.1%,  1 ,0.2%,  - ,0.0%,  3 ,0.5%,  - ,0.0%
610238, BOND , Network 11 ,  260 ,  - ,0.0%,  238 ,91.5%,  - ,0.0%,  1 ,0.4%,  19 ,7.3%,  2 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609815, BOUCHET , Network 12 ,  646 ,  3 ,0.5%,  608 ,94.1%,  - ,0.0%,  2 ,0.3%,  26 ,4.0%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  6 ,0.9%
610323, BOWEN HS , Network 17 ,  172 ,  1 ,0.6%,  131 ,76.2%,  - ,0.0%,  - ,0.0%,  40 ,23.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609806, BRADWELL , Network 12 ,  412 ,  - ,0.0%,  379 ,92.0%,  - ,0.0%,  - ,0.0%,  24 ,5.8%,  8 ,1.9%,  - ,0.0%,  - ,0.0%,  1 ,0.2%
610242, BRENNEMANN , Network 2 ,  474 ,  28 ,5.9%,  220 ,46.4%,  - ,0.0%,  5 ,1.1%,  166 ,35.0%,  13 ,2.7%,  17 ,3.6%,  - ,0.0%,  25 ,5.3%
609809, BRENTANO , Network 4 ,  736 ,  278 ,37.8%,  34 ,4.6%,  - ,0.0%,  1 ,0.1%,  345 ,46.9%,  60 ,8.2%,  13 ,1.8%,  2 ,0.3%,  3 ,0.4%
609810, BRIDGE , Network 1 ,"  1,105 ",  362 ,32.8%,  23 ,2.1%,  - ,0.0%,  4 ,0.4%,  641 ,58.0%,  21 ,1.9%,  50 ,4.5%,  4 ,0.4%,  - ,0.0%
609811, BRIGHT , Network 13 ,  201 ,  3 ,1.5%,  130 ,64.7%,  - ,0.0%,  - ,0.0%,  68 ,33.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610317, BRIGHTON PARK , Network 8 ,  285 ,  9 ,3.2%,  4 ,1.4%,  - ,0.0%,  1 ,0.4%,  267 ,93.7%,  - ,0.0%,  4 ,1.4%,  - ,0.0%,  - ,0.0%
