Network,School ID,Educational Unit,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
Network 1,609995,HITCH,  519 ,195,37.6,6,1.2,0,0.0,1,0.2,236,45.5,31,6.0,48,9.2,0,0.0,2,0.4
Network 1,610089,MURPHY,  546 ,125,22.9,13,2.4,0,0.0,1,0.2,360,65.9,11,2.0,35,6.4,1,0.2,0,0.0
Network 1,610354,NORTH RIVER,  276 ,10,3.6,7,2.5,0,0.0,2,0.7,231,83.7,0,0.0,7,2.5,3,1.1,16,5.8
Network 1,610099,NORWOOD PARK,  427 ,252,59.0,2,0.5,0,0.0,0,0.0,135,31.6,20,4.7,18,4.2,0,0.0,0,0.0
Network 1,610104,ONAHAN,  677 ,432,63.8,12,1.8,0,0.0,4,0.6,178,26.3,19,2.8,23,3.4,0,0.0,9,1.3
Network 1,610105,ORIOLE PARK,  672 ,424,63.1,10,1.5,0,0.0,1,0.1,179,26.6,11,1.6,46,6.8,1,0.1,0,0.0
Network 1,610127,PETERSON,  884 ,249,28.2,64,7.2,0,0.0,5,0.6,323,36.5,36,4.1,196,22.2,2,0.2,9,1.0
Network 1,610135,PORTAGE PARK,  829 ,233,28.1,23,2.8,0,0.0,16,1.9,514,62.0,17,2.1,19,2.3,7,0.8,0,0.0
Network 1,610137,PRUSSING,  690 ,295,42.8,10,1.4,0,0.0,3,0.4,321,46.5,12,1.7,43,6.2,5,0.7,1,0.1
Network 1,610145,REINBERG,  711 ,108,15.2,24,3.4,0,0.0,5,0.7,544,76.5,8,1.1,19,2.7,2,0.3,1,0.1
Network 1,610155,SAUGANASH,  615 ,314,51.1,11,1.8,0,0.0,1,0.2,121,19.7,27,4.4,139,22.6,2,0.3,0,0.0
Network 1,610159,SCAMMON,  685 ,48,7.0,14,2.0,0,0.0,4,0.6,607,88.6,7,1.0,5,0.7,0,0.0,0,0.0
Network 1,610182,SOLOMON,  353 ,138,39.1,22,6.2,0,0.0,0,0.0,64,18.1,8,2.3,121,34.3,0,0.0,0,0.0
Network 1,610163,STOCK,  209 ,147,70.3,10,4.8,0,0.0,0,0.0,33,15.8,5,2.4,12,5.7,0,0.0,2,1.0
Network 1,610209,VOLTA,  724 ,38,5.2,15,2.1,0,0.0,0,0.0,493,68.1,1,0.1,162,22.4,1,0.1,14,1.9
Network 1,610230,WILDWOOD,  474 ,302,63.7,12,2.5,0,0.0,0,0.0,89,18.8,30,6.3,40,8.4,1,0.2,0,0.0
Network 2,609804,BOONE,  789 ,132,16.7,79,10.0,0,0.0,32,4.1,325,41.2,7,0.9,211,26.7,0,0.0,3,0.4
Network 2,610242,BRENNEMANN,  371 ,23,6.2,220,59.3,0,0.0,7,1.9,82,22.1,10,2.7,16,4.3,1,0.3,12,3.2
Network 2,610355,COURTENAY,  272 ,19,7.0,124,45.6,0,0.0,2,0.7,110,40.4,5,1.8,12,4.4,0,0.0,0,0.0
Network 2,609880,DECATUR,  286 ,126,44.1,15,5.2,0,0.0,0,0.0,36,12.6,21,7.3,83,29.0,1,0.3,4,1.4
Network 2,610363,DISNEY,"  1,538 ",231,15.0,740,48.1,0,0.0,9,0.6,317,20.6,61,4.0,177,11.5,3,0.2,0,0.0
Network 2,609918,FIELD,  137 ,4,2.9,55,40.1,0,0.0,0,0.0,71,51.8,2,1.5,5,3.7,0,0.0,0,0.0
Network 2,609933,GALE,  212 ,11,5.2,138,65.1,0,0.0,0,0.0,50,23.6,3,1.4,9,4.2,0,0.0,1,0.5
Network 2,609976,HAYT,  876 ,78,8.9,166,18.9,0,0.0,10,1.1,383,43.7,24,2.7,211,24.1,4,0.5,0,0.0
Network 2,610011,JAMIESON,  857 ,254,29.6,80,9.3,0,0.0,0,0.0,273,31.9,24,2.8,226,26.4,0,0.0,0,0.0
Network 2,609865,JORDAN,  445 ,21,4.7,122,27.4,0,0.0,3,0.7,277,62.2,4,0.9,14,3.1,4,0.9,0,0.0
Network 2,610022,KILMER,  742 ,89,12.0,209,28.2,0,0.0,6,0.8,327,44.1,23,3.1,77,10.4,2,0.3,9,1.2
Network 2,610269,MCCUTCHEON,  325 ,33,10.2,140,43.1,0,0.0,1,0.3,78,24.0,19,5.9,53,16.3,1,0.3,0,0.0
Network 2,610070,MCPHERSON,  620 ,106,17.1,36,5.8,0,0.0,1,0.2,426,68.7,25,4.0,26,4.2,0,0.0,0,0.0
Network 2,610284,NEW FIELD,  573 ,88,15.4,169,29.5,0,0.0,3,0.5,230,40.1,21,3.7,60,10.5,2,0.3,0,0.0
Network 2,610141,RAVENSWOOD,  533 ,241,45.2,51,9.6,0,0.0,0,0.0,169,31.7,55,10.3,16,3.0,1,0.2,0,0.0
Network 2,610191,STONE,  566 ,158,27.9,142,25.1,0,0.0,2,0.4,79,14.0,26,4.6,158,27.9,1,0.2,0,0.0
Network 2,610196,SWIFT,  594 ,109,18.4,136,22.9,0,0.0,5,0.8,174,29.3,19,3.2,151,25.4,0,0.0,0,0.0
Network 2,610220,WATERS,  647 ,376,58.1,20,3.1,0,0.0,2,0.3,166,25.7,44,6.8,35,5.4,2,0.3,2,0.3
Network 3,609830,BRUNSON,  413 ,0,0.0,363,87.9,0,0.0,0,0.0,49,11.9,0,0.0,0,0.0,1,0.2,0,0.0
Network 3,609818,BURBANK,  772 ,16,2.1,28,3.6,0,0.0,3,0.4,723,93.7,0,0.0,2,0.3,0,0.0,0,0.0
Network 3,610367,DEPRIEST,  483 ,0,0.0,453,93.8,0,0.0,0,0.0,28,5.8,2,0.4,0,0.0,0,0.0,0,0.0
Network 3,609904,ELLINGTON,  432 ,1,0.2,412,95.4,0,0.0,3,0.7,16,3.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 3,609910,FALCONER,  971 ,37,3.8,7,0.7,0,0.0,4,0.4,917,94.4,1,0.1,5,0.5,0,0.0,0,0.0
Network 3,610068,HANSON PARK,"  1,304 ",20,1.5,30,2.3,0,0.0,5,0.4,1242,95.2,1,0.1,5,0.4,1,0.1,0,0.0
Network 3,609975,HAY,  283 ,2,0.7,234,82.7,0,0.0,0,0.0,41,14.5,2,0.7,2,0.7,0,0.0,2,0.7
Network 3,610305,LELAND,  366 ,1,0.3,343,93.7,0,0.0,2,0.5,19,5.2,0,0.0,0,0.0,1,0.3,0,0.0
Network 3,610041,LOCKE J,"  1,195 ",137,11.5,45,3.8,0,0.0,0,0.0,983,82.3,5,0.4,17,1.4,8,0.7,0,0.0
Network 3,610043,LOVETT,  313 ,1,0.3,262,83.7,0,0.0,1,0.3,48,15.3,1,0.3,0,0.0,0,0.0,0,0.0
Network 3,610046,LYON,"  1,192 ",66,5.5,19,1.6,0,0.0,4,0.3,1066,89.4,1,0.1,23,1.9,5,0.4,8,0.7
Network 3,610092,NASH,  231 ,0,0.0,217,93.9,0,0.0,0,0.0,12,5.2,2,0.9,0,0.0,0,0.0,0,0.0
Network 3,610051,NORTHWEST,  547 ,12,2.2,18,3.3,0,0.0,1,0.2,506,92.5,2,0.4,4,0.7,4,0.7,0,0.0
Network 3,610533,PRIETO,  866 ,7,0.8,32,3.7,0,0.0,3,0.3,821,94.8,1,0.1,1,0.1,1,0.1,0,0.0
Network 3,610158,SAYRE,  437 ,41,9.4,177,40.5,0,0.0,2,0.5,201,46.0,12,2.8,2,0.5,1,0.2,1,0.2
Network 3,610165,SCHUBERT,  574 ,15,2.6,9,1.6,0,0.0,3,0.5,542,94.4,0,0.0,5,0.9,0,0.0,0,0.0
Network 3,610183,SPENCER,  437 ,2,0.5,417,95.4,0,0.0,0,0.0,10,2.3,2,0.5,0,0.0,0,0.0,6,1.4
Network 3,610235,YOUNG ES,  589 ,0,0.0,496,84.2,0,0.0,1,0.2,87,14.8,0,0.0,0,0.0,2,0.3,3,0.5
Network 4,609774,ALCOTT ES,  614 ,360,58.6,24,3.9,0,0.0,3,0.5,91,14.8,50,8.1,64,10.4,1,0.2,21,3.4
Network 4,609782,AUDUBON,  521 ,345,66.2,3,0.6,0,0.0,2,0.4,106,20.3,37,7.1,26,5.0,0,0.0,2,0.4
Network 4,610325,AVONDALE-LOGANDALE,  575 ,10,1.7,35,6.1,0,0.0,2,0.3,519,90.3,3,0.5,3,0.5,3,0.5,0,0.0
Network 4,609789,BARRY,  504 ,7,1.4,14,2.8,0,0.0,3,0.6,470,93.3,1,0.2,9,1.8,0,0.0,0,0.0
Network 4,609799,BELL,  981 ,574,58.5,16,1.6,0,0.0,1,0.1,163,16.6,101,10.3,121,12.3,5,0.5,0,0.0
Network 4,609803,BLAINE,  746 ,503,67.4,22,2.9,0,0.0,0,0.0,112,15.0,51,6.8,55,7.4,3,0.4,0,0.0
Network 4,609809,BRENTANO,  600 ,197,32.8,21,3.5,0,0.0,0,0.0,333,55.5,35,5.8,6,1.0,5,0.8,3,0.5
Network 4,609853,CHASE,  388 ,41,10.6,25,6.4,0,0.0,1,0.3,316,81.4,2,0.5,3,0.8,0,0.0,0,0.0
Network 4,609875,DARWIN,  544 ,45,8.3,37,6.8,0,0.0,2,0.4,444,81.6,8,1.5,7,1.3,1,0.2,0,0.0
Network 4,609926,FRANKLIN,  364 ,89,24.5,175,48.1,0,0.0,0,0.0,63,17.3,11,3.0,26,7.1,0,0.0,0,0.0
Network 4,609930,FUNSTON,  423 ,6,1.4,33,7.8,0,0.0,0,0.0,382,90.3,2,0.5,0,0.0,0,0.0,0,0.0
Network 4,609942,GOETHE,  740 ,150,20.3,30,4.1,0,0.0,13,1.8,507,68.5,26,3.5,7,0.9,1,0.1,6,0.8
Network 4,609850,GREELEY,  444 ,47,10.6,89,20.0,0,0.0,2,0.5,281,63.3,17,3.8,8,1.8,0,0.0,0,0.0
Network 4,609963,HAMILTON,  460 ,324,70.4,17,3.7,0,0.0,0,0.0,63,13.7,33,7.2,18,3.9,0,0.0,5,1.1
Network 4,609974,HAWTHORNE,  569 ,293,51.5,40,7.0,0,0.0,2,0.4,125,22.0,46,8.1,62,10.9,1,0.2,0,0.0
Network 4,610078,INTER-AMERICAN,  701 ,80,11.4,15,2.1,0,0.0,2,0.3,591,84.3,8,1.1,5,0.7,0,0.0,0,0.0
Network 4,610010,JAHN,  308 ,106,34.4,43,14.0,0,0.0,1,0.3,137,44.5,13,4.2,7,2.3,1,0.3,0,0.0
Network 4,610033,LASALLE,  508 ,171,33.7,167,32.9,0,0.0,1,0.2,108,21.3,28,5.5,32,6.3,1,0.2,0,0.0
Network 4,610048,MANIERRE,  290 ,0,0.0,282,97.2,0,0.0,0,0.0,4,1.4,0,0.0,4,1.4,0,0.0,0,0.0
Network 4,610059,MAYER,  685 ,476,69.5,54,7.9,0,0.0,4,0.6,93,13.6,19,2.8,30,4.4,9,1.3,0,0.0
Network 4,609968,MCAULIFFE,  638 ,13,2.0,20,3.1,0,0.0,2,0.3,591,92.6,5,0.8,0,0.0,0,0.0,7,1.1
Network 4,610074,MONROE,  725 ,24,3.3,23,3.2,0,0.0,0,0.0,672,92.7,4,0.6,2,0.3,0,0.0,0,0.0
Network 4,610088,MOZART,  508 ,13,2.6,23,4.5,0,0.0,1,0.2,469,92.3,0,0.0,2,0.4,0,0.0,0,0.0
Network 4,610094,NETTELHORST,  714 ,404,56.6,88,12.3,0,0.0,4,0.6,90,12.6,56,7.8,66,9.2,6,0.8,0,0.0
Network 4,610095,NEWBERRY,  418 ,40,9.6,252,60.3,0,0.0,0,0.0,96,23.0,17,4.1,9,2.2,0,0.0,4,1.0
Network 4,610097,NIXON,  667 ,12,1.8,15,2.2,0,0.0,3,0.4,635,95.2,0,0.0,2,0.3,0,0.0,0,0.0
Network 4,610136,PRESCOTT,  505 ,208,41.2,69,13.7,0,0.0,3,0.6,152,30.1,34,6.7,38,7.5,1,0.2,0,0.0
Network 4,610144,REILLY,  681 ,15,2.2,10,1.5,0,0.0,3,0.4,645,94.7,3,0.4,5,0.7,0,0.0,0,0.0
Network 4,610534,SKINNER NORTH,  510 ,169,33.1,40,7.8,0,0.0,2,0.4,54,10.6,41,8.0,204,40.0,0,0.0,0,0.0
Network 5,609797,BEIDLER,  334 ,0,0.0,325,97.3,0,0.0,0,0.0,9,2.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610251,CATHER,  366 ,1,0.3,339,92.6,0,0.0,1,0.3,19,5.2,2,0.6,2,0.5,0,0.0,2,0.5
Network 5,609854,CHOPIN,  314 ,18,5.7,83,26.4,0,0.0,1,0.3,207,65.9,5,1.6,0,0.0,0,0.0,0,0.0
Network 5,609873,CROWN,  178 ,0,0.0,160,89.9,0,0.0,0,0.0,16,9.0,1,0.6,0,0.0,0,0.0,1,0.6
Network 5,610313,DE DIEGO,  454 ,19,4.2,120,26.4,0,0.0,0,0.0,303,66.7,5,1.1,7,1.5,0,0.0,0,0.0
Network 5,609907,ERICSON,  454 ,0,0.0,445,98.0,0,0.0,0,0.0,7,1.5,1,0.2,0,0.0,0,0.0,1,0.2
Network 5,610055,FARADAY,  207 ,0,0.0,200,96.6,0,0.0,0,0.0,7,3.4,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,609954,GREGORY,  307 ,0,0.0,298,97.1,0,0.0,0,0.0,6,2.0,3,1.0,0,0.0,0,0.0,0,0.0
Network 5,609985,HEFFERAN,  255 ,2,0.8,242,94.9,0,0.0,0,0.0,11,4.3,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610005,HUGHES C,  232 ,0,0.0,226,97.4,0,0.0,0,0.0,4,1.7,0,0.0,0,0.0,2,0.9,0,0.0
Network 5,610271,JENSEN,  355 ,0,0.0,342,96.3,0,0.0,0,0.0,12,3.4,1,0.3,0,0.0,0,0.0,0,0.0
Network 5,609925,KELLMAN,  216 ,0,0.0,213,98.6,0,0.0,1,0.5,2,0.9,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610034,LAWNDALE,  207 ,0,0.0,201,97.1,0,0.0,0,0.0,6,2.9,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610044,LOWELL,  324 ,6,1.9,65,20.1,0,0.0,0,0.0,248,76.5,5,1.5,0,0.0,0,0.0,0,0.0
Network 5,610056,MASON,  299 ,0,0.0,291,97.3,0,0.0,0,0.0,8,2.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610293,MELODY,  326 ,1,0.3,318,97.5,0,0.0,0,0.0,7,2.1,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610073,MITCHELL,  368 ,139,37.8,39,10.6,0,0.0,1,0.3,164,44.6,16,4.4,8,2.2,0,0.0,1,0.3
Network 5,610076,MOOS,  427 ,21,4.9,52,12.2,0,0.0,0,0.0,340,79.6,6,1.4,3,0.7,0,0.0,5,1.2
Network 5,610123,PENN,  235 ,0,0.0,212,90.2,0,0.0,1,0.4,22,9.4,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610131,PLAMONDON,  141 ,3,2.1,45,31.9,0,0.0,0,0.0,93,66.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610192,STOWE,  584 ,11,1.9,48,8.2,0,0.0,2,0.3,515,88.2,5,0.9,3,0.5,0,0.0,0,0.0
Network 5,610194,SUMNER,  235 ,1,0.4,227,96.6,0,0.0,0,0.0,6,2.6,1,0.4,0,0.0,0,0.0,0,0.0
Network 5,610202,TILTON,  258 ,0,0.0,246,95.3,0,0.0,0,0.0,12,4.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 5,610133,WARD L,  336 ,1,0.3,297,88.4,0,0.0,0,0.0,35,10.4,0,0.0,1,0.3,2,0.6,0,0.0
Network 5,610221,WEBSTER,  246 ,0,0.0,241,98.0,0,0.0,1,0.4,3,1.2,1,0.4,0,0.0,0,0.0,0,0.0
Network 5,610234,YATES,  322 ,11,3.4,67,20.8,0,0.0,1,0.3,238,73.9,4,1.2,0,0.0,1,0.3,0,0.0
Network 6,609777,ARMOUR,  253 ,23,9.1,11,4.3,0,0.0,1,0.4,192,75.9,9,3.6,17,6.7,0,0.0,0,0.0
Network 6,609812,BROWN W,  194 ,4,2.1,176,90.7,0,0.0,0,0.0,12,6.2,0,0.0,0,0.0,0,0.0,2,1.0
Network 6,609828,BURR,  492 ,212,43.1,44,8.9,0,0.0,1,0.2,180,36.6,34,6.9,21,4.3,0,0.0,0,0.0
Network 6,610252,DETT,  315 ,7,2.2,286,90.8,0,0.0,2,0.6,16,5.1,3,1.0,1,0.3,0,0.0,0,0.0
Network 6,609896,DRUMMOND,  347 ,156,45.0,24,6.9,0,0.0,0,0.0,97,28.0,46,13.3,19,5.5,0,0.0,5,1.4
Network 6,610009,GALILEO,  559 ,56,10.0,127,22.7,0,0.0,0,0.0,327,58.5,18,3.2,27,4.8,1,0.2,3,0.5
Network 6,609947,GRAHAM ES,  363 ,98,27.0,85,23.4,0,0.0,1,0.3,179,49.3,0,0.0,0,0.0,0,0.0,0,0.0
Network 6,609959,HAINES,  597 ,0,0.0,99,16.6,0,0.0,0,0.0,13,2.2,0,0.0,485,81.2,0,0.0,0,0.0
Network 6,609979,HEALY,"  1,343 ",69,5.1,16,1.2,0,0.0,2,0.1,220,16.4,11,0.8,1022,76.1,3,0.2,0,0.0
Network 6,610121,IRVING,  310 ,8,2.6,254,81.9,0,0.0,1,0.3,44,14.2,2,0.7,1,0.3,0,0.0,0,0.0
Network 6,610060,JACKSON A,  505 ,73,14.5,135,26.7,0,0.0,1,0.2,169,33.5,24,4.8,101,20.0,0,0.0,2,0.4
Network 6,610029,LOZANO,  197 ,17,8.6,42,21.3,0,0.0,0,0.0,125,63.5,8,4.1,5,2.5,0,0.0,0,0.0
Network 6,610062,MCCLELLAN,  332 ,58,17.5,142,42.8,0,0.0,1,0.3,105,31.6,7,2.1,16,4.8,3,0.9,0,0.0
Network 6,610107,OTIS,  335 ,13,3.9,102,30.4,0,0.0,3,0.9,205,61.2,3,0.9,8,2.4,1,0.3,0,0.0
Network 6,610229,PRITZKER,  723 ,221,30.6,193,26.7,0,0.0,9,1.2,224,31.0,43,6.0,31,4.3,2,0.3,0,0.0
Network 6,610138,PULASKI,  881 ,240,27.2,12,1.4,0,0.0,4,0.5,553,62.8,36,4.1,29,3.3,0,0.0,7,0.8
Network 6,610308,RUDOLPH,  91 ,6,6.6,41,45.1,0,0.0,0,0.0,41,45.1,0,0.0,3,3.3,0,0.0,0,0.0
Network 6,610342,SABIN,  445 ,18,4.0,80,18.0,0,0.0,1,0.2,337,75.7,5,1.1,3,0.7,0,0.0,1,0.2
Network 6,610180,SMYTH,  412 ,2,0.5,387,93.9,0,0.0,1,0.2,16,3.9,2,0.5,3,0.7,1,0.2,0,0.0
Network 6,610405,SUDER,  437 ,77,17.6,228,52.2,0,0.0,1,0.2,83,19.0,21,4.8,16,3.7,3,0.7,8,1.8
Network 6,610197,TALCOTT,  425 ,32,7.5,32,7.5,0,0.0,2,0.5,347,81.6,8,1.9,4,0.9,0,0.0,0,0.0
Network 7,609867,COOPER,  454 ,1,0.2,8,1.8,0,0.0,1,0.2,443,97.6,0,0.0,1,0.2,0,0.0,0,0.0
Network 7,609967,FINKL,  241 ,8,3.3,33,13.7,0,0.0,0,0.0,197,81.7,2,0.8,0,0.0,1,0.4,0,0.0
Network 7,609938,GARY,  931 ,8,0.9,6,0.6,0,0.0,4,0.4,913,98.1,0,0.0,0,0.0,0,0.0,0,0.0
Network 7,609966,HAMMOND,  310 ,6,1.9,26,8.4,0,0.0,0,0.0,275,88.7,2,0.7,1,0.3,0,0.0,0,0.0
Network 7,609920,KANOON,  466 ,0,0.0,5,1.1,0,0.0,2,0.4,459,98.5,0,0.0,0,0.0,0,0.0,0,0.0
Network 7,610215,MADERO,  304 ,0,0.0,1,0.3,0,0.0,0,0.0,303,99.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 7,610063,MCCORMICK,  531 ,10,1.9,2,0.4,0,0.0,0,0.0,518,97.6,1,0.2,0,0.0,0,0.0,0,0.0
Network 7,610329,OROZCO,  370 ,3,0.8,3,0.8,0,0.0,1,0.3,361,97.6,1,0.3,1,0.3,0,0.0,0,0.0
Network 7,609872,PEREZ,  304 ,6,2.0,7,2.3,0,0.0,0,0.0,287,94.4,0,0.0,4,1.3,0,0.0,0,0.0
Network 7,610013,PILSEN,  262 ,2,0.8,35,13.4,0,0.0,0,0.0,224,85.5,0,0.0,1,0.4,0,0.0,0,0.0
Network 7,610125,RUIZ,  523 ,7,1.3,13,2.5,0,0.0,0,0.0,498,95.2,2,0.4,2,0.4,1,0.2,0,0.0
Network 7,610017,SAUCEDO,  944 ,6,0.6,42,4.4,0,0.0,2,0.2,891,94.4,2,0.2,1,0.1,0,0.0,0,0.0
Network 7,610184,SPRY ES,  369 ,2,0.5,4,1.1,0,0.0,1,0.3,360,97.6,0,0.0,0,0.0,0,0.0,2,0.5
Network 7,609921,TELPOCHCALLI,  234 ,6,2.6,3,1.3,0,0.0,0,0.0,224,95.7,1,0.4,0,0.0,0,0.0,0,0.0
Network 7,610216,WALSH,  301 ,8,2.7,46,15.3,0,0.0,0,0.0,237,78.7,2,0.7,8,2.7,0,0.0,0,0.0
Network 7,610227,WHITNEY,  728 ,6,0.8,0,0.0,0,0.0,1,0.1,721,99.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 7,610228,WHITTIER,  176 ,3,1.7,2,1.1,0,0.0,0,0.0,171,97.2,0,0.0,0,0.0,0,0.0,0,0.0
Network 8,610317,BRIGHTON PARK,  369 ,8,2.2,6,1.6,0,0.0,2,0.5,345,93.5,1,0.3,7,1.9,0,0.0,0,0.0
Network 8,610353,CALMECA,  705 ,3,0.4,5,0.7,0,0.0,2,0.3,687,97.4,0,0.0,7,1.0,0,0.0,1,0.1
Network 8,609855,CHRISTOPHER,  339 ,15,4.4,41,12.1,0,0.0,0,0.0,280,82.6,0,0.0,1,0.3,2,0.6,0,0.0
Network 8,610239,DALEY,  541 ,1,0.2,52,9.6,0,0.0,1,0.2,487,90.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 8,609876,DAVIS N,  581 ,17,2.9,15,2.6,0,0.0,1,0.2,542,93.3,0,0.0,6,1.0,0,0.0,0,0.0
Network 8,609903,EDWARDS,"  1,344 ",22,1.6,20,1.5,0,0.0,6,0.4,1278,95.1,4,0.3,11,0.8,2,0.1,1,0.1
Network 8,610319,EVERGREEN,  252 ,9,3.6,8,3.2,0,0.0,1,0.4,226,89.7,2,0.8,6,2.4,0,0.0,0,0.0
Network 8,609952,GREENE,  361 ,15,4.2,13,3.6,0,0.0,0,0.0,319,88.4,3,0.8,11,3.0,0,0.0,0,0.0
Network 8,609964,HAMLINE,  534 ,3,0.6,42,7.9,0,0.0,1,0.2,483,90.4,4,0.8,1,0.2,0,0.0,0,0.0
Network 8,609983,HEDGES,  524 ,9,1.7,11,2.1,0,0.0,0,0.0,504,96.2,0,0.0,0,0.0,0,0.0,0,0.0
Network 8,610532,HERNANDEZ,"  1,002 ",6,0.6,12,1.2,0,0.0,7,0.7,972,97.0,1,0.1,3,0.3,0,0.0,1,0.1
Network 8,610096,NIGHTINGALE,"  1,082 ",6,0.6,5,0.5,0,0.0,7,0.6,1063,98.2,1,0.1,0,0.0,0,0.0,0,0.0
Network 8,610117,PASTEUR,  566 ,7,1.2,1,0.2,0,0.0,0,0.0,553,97.7,3,0.5,2,0.4,0,0.0,0,0.0
Network 8,610157,SAWYER,"  1,211 ",15,1.2,2,0.2,0,0.0,3,0.2,1188,98.1,1,0.1,1,0.1,0,0.0,1,0.1
Network 8,610167,SEWARD,  563 ,5,0.9,4,0.7,0,0.0,5,0.9,547,97.2,1,0.2,0,0.0,0,0.0,1,0.2
Network 8,610174,SHIELDS,  545 ,8,1.5,4,0.7,0,0.0,1,0.2,531,97.4,0,0.0,0,0.0,0,0.0,1,0.2
Network 8,610559,SHIELDS MIDDLE,  571 ,6,1.1,5,0.9,0,0.0,0,0.0,558,97.7,1,0.2,1,0.2,0,0.0,0,0.0
Network 8,610589,SOR JUANA,  253 ,20,7.9,10,4.0,0,0.0,1,0.4,218,86.2,0,0.0,2,0.8,0,0.0,2,0.8
Network 9,609951,ARIEL,  442 ,1,0.2,424,95.9,0,0.0,1,0.2,13,2.9,0,0.0,0,0.0,0,0.0,3,0.7
Network 9,610246,BEASLEY,"  1,115 ",2,0.2,1081,97.0,0,0.0,5,0.4,18,1.6,3,0.3,0,0.0,1,0.1,5,0.4
