Network,School ID,Educational Unit,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
Network 1,610212,ALBANY PARK,  243 ,13,5.3,13,5.3,0,0.0,1,0.4,197,81.1,5,2.1,13,5.4,0,0.0,1,0.4
Network 1,609792,BATEMAN,  887 ,133,15.0,21,2.4,0,0.0,5,0.6,680,76.7,20,2.3,25,2.8,3,0.3,0,0.0
Network 1,610083,BEARD,  195 ,68,34.9,7,3.6,0,0.0,1,0.5,75,38.5,6,3.1,37,19.0,1,0.5,0,0.0
Network 1,609796,BEAUBIEN,"  1,020 ",389,38.1,17,1.7,0,0.0,2,0.2,345,33.8,73,7.2,183,17.9,11,1.1,0,0.0
Network 1,609810,BRIDGE,"  1,063 ",438,41.2,20,1.9,0,0.0,4,0.4,546,51.4,14,1.3,40,3.8,1,0.1,0,0.0
Network 1,609836,CANTY,  765 ,381,49.8,16,2.1,0,0.0,1,0.1,333,43.5,11,1.4,23,3.0,0,0.0,0,0.0
Network 1,609857,CLEVELAND,  524 ,63,12.0,18,3.4,0,0.0,6,1.1,400,76.3,10,1.9,26,5.0,1,0.2,0,0.0
Network 1,609884,DEVER,  713 ,247,34.6,9,1.3,0,0.0,0,0.0,404,56.7,21,3.0,27,3.8,4,0.6,1,0.1
Network 1,609874,DIRKSEN,  892 ,608,68.2,21,2.4,0,0.0,1,0.1,92,10.3,10,1.1,149,16.7,2,0.2,9,1.0
Network 1,609901,EDGEBROOK,  487 ,316,64.9,7,1.4,0,0.0,0,0.0,85,17.5,37,7.6,42,8.6,0,0.0,0,0.0
Network 1,609794,EDISON,  250 ,147,58.8,10,4.0,0,0.0,1,0.4,25,10.0,31,12.4,36,14.4,0,0.0,0,0.0
Network 1,610523,EDISON PARK,  514 ,366,71.2,5,1.0,0,0.0,1,0.2,111,21.6,9,1.8,22,4.3,0,0.0,0,0.0
Network 1,609912,FARNSWORTH,  566 ,211,37.3,17,3.0,0,0.0,1,0.2,249,44.0,9,1.6,73,12.9,3,0.5,3,0.5
Network 1,609937,GARVY,  774 ,407,52.6,12,1.6,0,0.0,3,0.4,263,34.0,27,3.5,46,5.9,16,2.1,0,0.0
Network 1,609949,GRAY,"  1,055 ",76,7.2,26,2.5,0,0.0,9,0.9,896,84.9,4,0.4,20,1.9,1,0.1,23,2.2
Network 1,609972,HAUGAN,  893 ,49,5.5,38,4.3,0,0.0,1,0.1,751,84.1,5,0.6,49,5.5,0,0.0,0,0.0
Network 1,609988,HENRY,  515 ,27,5.2,16,3.1,0,0.0,13,2.5,412,80.0,3,0.6,14,2.7,2,0.4,28,5.4
Network 1,609994,HIBBARD,  875 ,67,7.7,46,5.3,0,0.0,10,1.1,696,79.5,3,0.3,52,5.9,1,0.1,0,0.0
