Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 3,610235,Ella Flagg Young Elementary School,  680 ,  54 ,7.9%,  88 ,12.9%,  665 ,97.8%
Network 3,610165,Franz Peter Schubert Elementary School,  666 ,  422 ,63.4%,  85 ,12.8%,  617 ,92.6%
Network 3,610305,George Leland Elementary School,  358 ,  2 ,0.6%,  53 ,14.8%,  330 ,92.2%
Network 3,610068,Hanson Park Elementary School,"  1,388 ",  633 ,45.6%,  251 ,18.1%,"  1,264 ",91.1%
Network 3,610158,Harriet E Sayre Elementary Language Academy,  438 ,  52 ,11.9%,  55 ,12.6%,  274 ,62.6%
Network 3,610092,Henry H Nash Elementary School,  242 ,  5 ,2.1%,  34 ,14.1%,  188 ,77.7%
Network 3,609975,John Hay Elementary Community Academy,  305 ,  12 ,3.9%,  41 ,13.4%,  299 ,98.0%
Network 3,610043,Joseph Lovett Elementary School,  344 ,  24 ,7.0%,  30 ,8.7%,  301 ,87.5%
Network 3,610041,Josephine C Locke Elementary School,"  1,266 ",  498 ,39.3%,  204 ,16.1%,"  1,042 ",82.3%
Network 3,609910,Laughlin Falconer Elementary School,"  1,018 ",  404 ,39.7%,  153 ,15.0%,  947 ,93.0%
Network 3,609818,Luther Burbank Elementary School,  849 ,  436 ,51.4%,  119 ,14.0%,  730 ,86.0%
Network 3,610046,Mary Lyon Elementary School,"  1,302 ",  543 ,41.7%,  166 ,12.8%,"  1,166 ",89.6%
Network 3,609830,Milton Brunson Math & Science Specialty ES,  441 ,  21 ,4.8%,  66 ,15.0%,  366 ,83.0%
Network 3,610051,Northwest Middle School,  555 ,  195 ,35.1%,  81 ,14.6%,  515 ,92.8%
Network 3,610367,Oscar DePriest Elementary School,  522 ,  11 ,2.1%,  126 ,24.1%,  456 ,87.4%
Network 3,610183,Spencer Technology Academy,  474 ,  4 ,0.8%,  61 ,12.9%,  415 ,87.6%
Network 4,609799,Alexander Graham Bell Elementary School,"  1,007 ",  53 ,5.3%,  106 ,10.5%,  129 ,12.8%
Network 4,609963,Alexander Hamilton Elementary School,  499 ,  18 ,3.6%,  57 ,11.4%,  55 ,11.0%
Network 4,610325,Avondale-Logandale Elementary School,  638 ,  252 ,39.5%,  82 ,12.9%,  597 ,93.6%
Network 4,609875,Charles R Darwin Elementary School,  575 ,  259 ,45.0%,  97 ,16.9%,  450 ,78.3%
Network 4,610144,Frank W Reilly Elementary School,  779 ,  362 ,46.5%,  133 ,17.1%,  621 ,79.7%
Network 4,609930,Frederick Funston Elementary School,  433 ,  215 ,49.7%,  90 ,20.8%,  417 ,96.3%
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts,  348 ,  73 ,21.0%,  70 ,20.1%,  164 ,47.1%
Network 4,610048,George Manierre Elementary School,  314 ,  4 ,1.3%,  56 ,17.8%,  297 ,94.6%
Network 4,609974,Hawthorne Elementary Scholastic Academy,  568 ,  24 ,4.2%,  42 ,7.4%,  97 ,17.1%
Network 4,609850,Horace Greeley Elementary School,  489 ,  130 ,26.6%,  41 ,8.4%,  380 ,77.7%
Network 4,610078,Inter-American Elementary Magnet School,  720 ,  212 ,29.4%,  80 ,11.1%,  403 ,56.0%
Network 4,609803,James G Blaine Elementary School,  815 ,  40 ,4.9%,  102 ,12.5%,  107 ,13.1%
Network 4,610074,James Monroe Elementary School,  768 ,  240 ,31.3%,  117 ,15.2%,  680 ,88.5%
Network 4,609942,Johann W von Goethe Elementary School,  740 ,  181 ,24.5%,  98 ,13.2%,  459 ,62.0%
Network 4,609782,John J Audubon Elementary School,  565 ,  28 ,5.0%,  42 ,7.4%,  74 ,13.1%
Network 4,610033,LaSalle Elementary Language Academy,  524 ,  11 ,2.1%,  71 ,13.6%,  177 ,33.8%
Network 4,609809,Lorenz Brentano Math & Science Academy ES,  593 ,  69 ,11.6%,  61 ,10.3%,  285 ,48.1%
Network 4,610094,Louis Nettelhorst Elementary School,  778 ,  94 ,12.1%,  76 ,9.8%,  161 ,20.7%
Network 4,609774,Louisa May Alcott College Preparatory ES,  689 ,  44 ,6.4%,  76 ,11.0%,  79 ,11.5%
Network 4,610059,Oscar Mayer Magnet School,  770 ,  23 ,3.0%,  70 ,9.1%,  79 ,10.3%
Network 4,609853,Salmon P Chase Elementary School,  409 ,  167 ,40.8%,  106 ,25.9%,  348 ,85.1%
Network 4,609968,Sharon Christa McAuliffe Elementary School,  703 ,  312 ,44.4%,  87 ,12.4%,  584 ,83.1%
Network 4,610534,Skinner North,  537 ,  1 ,0.2%,  30 ,5.6%,  47 ,8.8%
Network 4,610095,Walter L Newberry Math & Science Academy ES,  465 ,  28 ,6.0%,  67 ,14.4%,  282 ,60.7%
Network 4,610136,William H Prescott Elementary School,  465 ,  37 ,8.0%,  67 ,14.4%,  153 ,32.9%
Network 4,610097,William P Nixon Elementary School,  722 ,  397 ,55.0%,  98 ,13.6%,  611 ,84.6%
Network 4,610088,Wolfgang A Mozart Elementary School,  556 ,  261 ,46.9%,  75 ,13.5%,  544 ,97.8%
Network 5,610131,Ambrose Plamondon Elementary School,  130 ,  28 ,21.5%,  19 ,14.6%,  116 ,89.2%
Network 5,610076,Bernhard Moos Elementary School,  459 ,  130 ,28.3%,  63 ,13.7%,  399 ,86.9%
Network 5,610005,Charles Evans Hughes Elementary School,  259 ,,,  39 ,15.1%,  241 ,93.1%
Network 5,610194,Charles Sumner  Math & Science Community Acad ES,  282 ,,,  33 ,11.7%,  245 ,86.9%
Network 5,609873,Crown Community Academy of Fine Arts Center ES,  224 ,  6 ,2.7%,  46 ,20.5%,  204 ,91.1%
Network 5,610221,Daniel Webster Elementary School,  237 ,,,  23 ,9.7%,  191 ,80.6%
Network 5,610073,Ellen Mitchell Elementary School,  405 ,  45 ,11.1%,  41 ,10.1%,  154 ,38.0%
Network 5,610503,Frazier Prospective IB Magnet ES,  189 ,  1 ,0.5%,  22 ,11.6%,  168 ,88.9%
Network 5,609854,Frederic Chopin Elementary School,  341 ,  125 ,36.7%,  105 ,30.8%,  316 ,92.7%
Network 5,610293,Genevieve Melody Elementary School,  400 ,,,  55 ,13.8%,  390 ,97.5%
Network 5,610202,George W Tilton Elementary School,  299 ,  3 ,1.0%,  22 ,7.4%,  275 ,92.0%
Network 5,610192,Harriet Beecher Stowe Elementary School,  634 ,  265 ,41.8%,  111 ,17.5%,  600 ,94.6%
Network 5,609797,Jacob Beidler Elementary School,  355 ,,,  36 ,10.1%,  320 ,90.1%
Network 5,610044,James Russell Lowell Elementary School,  365 ,  127 ,34.8%,  101 ,27.7%,  342 ,93.7%
Network 5,610271,Jensen Elementary Scholastic Academy,  381 ,  4 ,1.1%,  46 ,12.1%,  328 ,86.1%
Network 5,609954,John Milton Gregory Elementary School,  330 ,,,  42 ,12.7%,  320 ,97.0%
Network 5,610313,Jose De Diego Elementary Community Academy,  523 ,  65 ,12.4%,  78 ,14.9%,  467 ,89.3%
Network 5,609925,Joseph Kellman Corporate Community ES,  257 ,  1 ,0.4%,  16 ,6.2%,  252 ,98.1%
Network 5,610133,Laura S Ward Elementary School,  356 ,  15 ,4.2%,  59 ,16.6%,  347 ,97.5%
Network 5,610034,Lawndale Elementary Community Academy,  200 ,,,  41 ,20.5%,  190 ,95.0%
Network 5,609907,Leif Ericson Elementary Scholastic Academy,  498 ,  2 ,0.4%,  47 ,9.4%,  429 ,86.1%
Network 5,610055,Michael Faraday Elementary School,  214 ,  1 ,0.5%,  30 ,14.0%,  207 ,96.7%
Network 5,610234,Richard Yates Elementary School,  370 ,  134 ,36.2%,  108 ,29.2%,  293 ,79.2%
Network 5,610056,Roswell B Mason Elementary School,  309 ,  6 ,1.9%,  50 ,16.2%,  306 ,99.0%
Network 5,610251,Willa Cather Elementary School,  366 ,  9 ,2.5%,  83 ,22.7%,  335 ,91.5%
Network 5,610123,William Penn Elementary School,  253 ,  16 ,6.3%,  50 ,19.8%,  253 ,100.0%
Network 6,610229,A.N. Pritzker School,  753 ,  48 ,6.4%,  66 ,8.8%,  288 ,38.3%
Network 6,610342,Albert R Sabin Elementary Magnet School,  484 ,  99 ,20.5%,  53 ,11.0%,  394 ,81.4%
Network 6,609947,Alexander Graham Elementary School,  379 ,  66 ,17.4%,  51 ,13.5%,  352 ,92.9%
Network 6,610060,Andrew Jackson Elementary Language Academy,  506 ,  69 ,13.6%,  44 ,8.7%,  206 ,40.7%
Network 6,610009,Galileo Math & Science Scholastic Academy ES,  562 ,  101 ,18.0%,  71 ,12.6%,  298 ,53.0%
Network 6,610062,George B McClellan Elementary School,  345 ,  43 ,12.5%,  79 ,22.9%,  292 ,84.6%
Network 6,610107,James Otis Elementary School,  381 ,  168 ,44.1%,  118 ,31.0%,  335 ,87.9%
Network 6,609959,John Charles Haines Elementary School,  641 ,  172 ,26.8%,  28 ,4.4%,  509 ,79.4%
Network 6,610180,John M Smyth Elementary School,  464 ,  8 ,1.7%,  82 ,17.7%,  436 ,94.0%
Network 6,609828,Jonathan Burr Elementary School,  462 ,  42 ,9.1%,  54 ,11.7%,  142 ,30.7%
Network 6,609777,Phillip D Armour Elementary School,  248 ,  59 ,23.8%,  37 ,14.9%,  225 ,90.7%
Network 6,610138,Pulaski International School of Chicago,  902 ,  131 ,14.5%,  85 ,9.4%,  470 ,52.1%
Network 6,609979,Robert Healy Elementary School,"  1,368 ",  341 ,24.9%,  57 ,4.2%,"  1,088 ",79.5%
Network 6,610252,Robert Nathaniel Dett Elementary School,  341 ,  10 ,2.9%,  113 ,33.1%,  330 ,96.8%
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES,  216 ,  83 ,38.4%,  76 ,35.2%,  159 ,73.6%
Network 6,610405,Suder Montessori Magnet ES,  375 ,  20 ,5.3%,  48 ,12.8%,  188 ,50.1%
Network 6,609896,Thomas Drummond Elementary School,  347 ,  13 ,3.8%,  31 ,8.9%,  69 ,19.9%
Network 6,610121,Washington Irving Elementary School,  380 ,  18 ,4.7%,  71 ,18.7%,  326 ,85.8%
Network 6,609812,William H Brown Elementary School,  214 ,  9 ,4.2%,  57 ,26.6%,  171 ,79.9%
Network 6,610308,Wilma Rudolph Elementary Learning Center,  90 ,  33 ,36.7%,  86 ,95.6%,  75 ,83.3%
Network 7,609966,Charles G Hammond Elementary School,  350 ,  156 ,44.6%,  64 ,18.3%,  339 ,96.9%
Network 7,610063,Cyrus H McCormick Elementary School,  594 ,  298 ,50.2%,  86 ,14.5%,  593 ,99.8%
Network 7,610227,Eli Whitney Elementary School,  815 ,  431 ,52.9%,  81 ,9.9%,  790 ,96.9%
Network 7,610215,Francisco I Madero Middle School,  324 ,  109 ,33.6%,  55 ,17.0%,  312 ,96.3%
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School,  543 ,  266 ,49.0%,  61 ,11.2%,  525 ,96.7%
Network 7,610125,Irma C Ruiz Elementary School,  601 ,  216 ,35.9%,  76 ,12.7%,  517 ,86.0%
Network 7,610216,John A Walsh Elementary School,  302 ,  115 ,38.1%,  79 ,26.2%,  244 ,80.8%
Network 7,610228,John Greenleaf Whittier Elementary School,  202 ,  124 ,61.4%,  36 ,17.8%,  177 ,87.6%
Network 7,610184,John Spry Elementary Community School,  424 ,  212 ,50.0%,  45 ,10.6%,  418 ,98.6%
Network 7,609938,Joseph E Gary Elementary School,"  1,021 ",  508 ,49.8%,  147 ,14.4%,  959 ,93.9%
Network 7,609872,Manuel Perez Elementary School,  306 ,  112 ,36.6%,  44 ,14.4%,  269 ,87.9%
Network 7,610017,Maria Saucedo Elementary Scholastic Academy,  995 ,  437 ,43.9%,  139 ,14.0%,  861 ,86.5%
Network 7,610329,Orozco Fine Arts & Sciences Elementary School,  460 ,  180 ,39.1%,  58 ,12.6%,  402 ,87.4%
Network 7,609867,Peter Cooper Elementary Dual Language Academy,  440 ,  259 ,58.9%,  75 ,17.1%,  416 ,94.6%
Network 7,610013,Pilsen Elementary Community Academy,  307 ,  117 ,38.1%,  50 ,16.3%,  280 ,91.2%
Network 7,609921,Telpochcalli Elementary School,  248 ,  158 ,63.7%,  51 ,20.6%,  211 ,85.1%
Network 7,609967,William F Finkl Elementary School,  293 ,  143 ,48.8%,  67 ,22.9%,  282 ,96.3%
Network 8,610317,Brighton Park Elementary School,  375 ,  187 ,49.9%,  49 ,13.1%,  362 ,96.5%
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language,  753 ,  463 ,61.5%,  105 ,13.9%,  622 ,82.6%
Network 8,609909,Edward Everett Elementary School,  145 ,  82 ,56.6%,  44 ,30.3%,  135 ,93.1%
Network 8,610319,Evergreen Academy Middle School,  290 ,  91 ,31.4%,  48 ,16.6%,  270 ,93.1%
Network 8,610096,Florence Nightingale Elementary School,"  1,170 ",  558 ,47.7%,  182 ,15.6%,"  1,099 ",93.9%
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science,"  1,005 ",  316 ,31.4%,  107 ,10.7%,  958 ,95.3%
Network 8,609983,James Hedges Elementary School,  568 ,  378 ,66.6%,  88 ,15.5%,  521 ,91.7%
Network 8,610174,James Shields Elementary School,  660 ,  278 ,42.1%,  82 ,12.4%,  639 ,96.8%
Network 8,610559,James Shields Middle School,  576 ,  199 ,34.6%,  112 ,19.4%,  555 ,96.4%
Network 8,609964,John H Hamline Elementary School,  587 ,  325 ,55.4%,  95 ,16.2%,  540 ,92.0%
Network 8,609876,Nathan S Davis Elementary School,  630 ,  334 ,53.0%,  103 ,16.4%,  613 ,97.3%
Network 8,609952,Nathanael Greene Elementary School,  399 ,  181 ,45.4%,  42 ,10.5%,  341 ,85.5%
Network 8,610239,Richard J Daley Elementary Academy,  559 ,  309 ,55.3%,  64 ,11.5%,  532 ,95.2%
Network 8,610157,Sidney Sawyer Elementary School,"  1,291 ",  517 ,40.1%,  128 ,9.9%,"  1,216 ",94.2%
Network 8,610226,Socorro Sandoval Elementary School,  920 ,  555 ,60.3%,  80 ,8.7%,  808 ,87.8%
Network 8,610589,Sor Juana Ines de la Cruz ES,  171 ,  45 ,26.3%,  10 ,5.9%,  83 ,48.5%
Network 8,609855,Walter S Christopher Elementary School,  363 ,  212 ,58.4%,  193 ,53.2%,  336 ,92.6%
Network 8,610167,William H Seward Communication Arts Academy ES,  598 ,  295 ,49.3%,  73 ,12.2%,  570 ,95.3%
Network 9,609951,Ariel Elementary Community Academy,  477 ,  5 ,1.1%,  72 ,15.1%,  376 ,78.8%
Network 9,610175,Beulah Shoesmith Elementary School,  367 ,  18 ,4.9%,  42 ,11.4%,  263 ,71.7%
Network 9,609969,Bret Harte Elementary School,  337 ,  16 ,4.8%,  37 ,11.0%,  249 ,73.9%
Network 9,610590,Bronzeville Classical Elementary School,  201 ,  1 ,0.5%,  6 ,3.0%,  41 ,20.4%
Network 9,610345,Carter G Woodson South Elementary School,  297 ,  3 ,1.0%,  58 ,19.5%,  226 ,76.1%
Network 9,610030,Charles Kozminski Elementary Community Academy,  261 ,  5 ,1.9%,  35 ,13.4%,  229 ,87.7%
Network 9,609819,Edmond Burke Elementary School,  300 ,  5 ,1.7%,  45 ,15.0%,  253 ,84.3%
Network 9,610246,Edward Beasley Elementary Magnet Academic Center,"  1,117 ",  1 ,0.1%,  90 ,8.1%,  885 ,79.2%
Network 9,610065,Emmett Louis Till Math and Science Academy,  343 ,,,  57 ,16.6%,  264 ,77.0%
Network 9,610110,Ida B Wells Preparatory Elementary Academy,  398 ,  1 ,0.3%,  39 ,9.8%,  351 ,88.2%
Network 9,610276,Irvin C Mollison Elementary School,  294 ,  1 ,0.3%,  26 ,8.8%,  226 ,76.9%
Network 9,610256,Jackie Robinson Elementary School,  129 ,  1 ,0.8%,  14 ,10.9%,  115 ,89.2%
Network 9,609891,James R Doolittle Jr Elementary School,  220 ,  5 ,2.3%,  23 ,10.5%,  197 ,89.6%
Network 9,609894,John B Drake Elementary School,  283 ,  7 ,2.5%,  50 ,17.7%,  259 ,91.5%
Network 9,609919,John Fiske Elementary School,  412 ,  4 ,1.0%,  46 ,11.2%,  349 ,84.7%
Network 9,610126,John J Pershing Elementary Humanities Magnet,  585 ,  12 ,2.1%,  63 ,10.8%,  418 ,71.5%
Network 9,610237,Ludwig Van Beethoven Elementary School,  240 ,,,  38 ,15.8%,  225 ,93.8%
Network 9,610090,Phillip Murray Elementary Language Academy,  461 ,  10 ,2.2%,  53 ,11.5%,  288 ,62.5%
Network 9,609987,Thomas A Hendricks Elementary Community Academy,  229 ,  5 ,2.2%,  64 ,28.0%,  218 ,95.2%
Network 9,610143,William C Reavis Math & Science Specialty ES,  267 ,  9 ,3.4%,  45 ,16.9%,  224 ,83.9%
Network 9,610142,William H Ray Elementary School,  696 ,  55 ,7.9%,  92 ,13.2%,  291 ,41.8%
Network 9,609977,Woodlawn Community Elementary School,  207 ,  1 ,0.5%,  18 ,8.7%,  188 ,90.8%
Network 10,610185,Adlai E Stevenson Elementary School,"  1,210 ",  482 ,39.8%,  213 ,17.6%,"  1,024 ",84.6%
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES,  284 ,  1 ,0.4%,  34 ,12.0%,  212 ,74.7%
Network 10,610084,Annie Keller Regional Gifted Center,  234 ,  6 ,2.6%,  3 ,1.3%,  53 ,22.7%
Network 10,610287,Ashburn Community Elementary School,  427 ,  34 ,8.0%,  80 ,18.7%,  347 ,81.3%
Network 10,609871,Barbara Vick Early Childhood & Family Center,  357 ,  69 ,19.3%,  154 ,43.1%,  173 ,48.5%
Network 10,610087,Blair Early Childhood Center,  243 ,  70 ,28.8%,  179 ,73.7%,  144 ,59.3%
Network 10,609839,Carroll-Rosenwald Specialty Elementary School,  446 ,  9 ,2.0%,  59 ,13.2%,  362 ,81.2%
Network 10,609879,Charles Gates Dawes Elementary School,"  1,027 ",  284 ,27.7%,  175 ,17.0%,  931 ,90.7%
Network 10,610347,Claremont Academy Elementary School,  444 ,  43 ,9.7%,  101 ,22.8%,  405 ,91.2%
Network 10,610077,Donald Morrill Math & Science Elementary School,  584 ,  222 ,38.0%,  65 ,11.1%,  544 ,93.2%
Network 10,610352,Durkin Park Elementary School,  681 ,  209 ,30.7%,  98 ,14.4%,  559 ,82.1%
Network 10,610006,Edward N Hurley Elementary School,  834 ,  345 ,41.4%,  111 ,13.3%,  748 ,89.7%
Network 10,610195,Elizabeth H Sutherland Elementary School,  651 ,  4 ,0.6%,  81 ,12.4%,  205 ,31.5%
Network 10,609908,Esmond Elementary School,  236 ,  2 ,0.9%,  37 ,15.7%,  222 ,94.1%
Network 10,610057,Fairfield Elementary Academy,  547 ,  277 ,50.6%,  54 ,9.9%,  537 ,98.2%
Network 10,610067,Francis M McKay Elementary School,  703 ,  100 ,14.2%,  107 ,15.2%,  654 ,93.0%
Network 10,609861,Henry R Clissold Elementary School,  466 ,  7 ,1.5%,  85 ,18.2%,  182 ,39.1%
Network 10,609893,John C Dore Elementary School,  756 ,  118 ,15.6%,  134 ,17.7%,  354 ,46.8%
Network 10,610207,John H Vanderpoel Elementary Magnet School,  233 ,,,  24 ,10.3%,  144 ,61.8%
Network 10,610016,Kate S Kellogg Elementary School,  275 ,  1 ,0.4%,  51 ,18.6%,  104 ,37.8%
Network 10,609807,Lionel Hampton Fine & Performing Arts ES,  482 ,  123 ,25.5%,  80 ,16.6%,  449 ,93.2%
Network 10,610206,Mark Twain Elementary School,"  1,070 ",  228 ,21.3%,  116 ,10.8%,  841 ,78.6%
Network 10,609832,Michael M Byrne Elementary School,  624 ,  83 ,13.3%,  107 ,17.2%,  331 ,53.0%
Network 10,609960,Nathan Hale Elementary School,  880 ,  177 ,20.1%,  116 ,13.2%,  561 ,63.8%
Network 10,609981,Phoebe Apperson Hearst Elementary School,  369 ,  114 ,30.9%,  120 ,32.5%,  301 ,81.6%
Network 10,610588,Robert J. Richardson Middle School,"  1,135 ",  314 ,27.7%,  120 ,10.6%,"  1,089 ",96.0%
Network 10,609956,Robert L Grimes Elementary School,  458 ,  144 ,31.4%,  59 ,12.9%,  323 ,70.5%
Network 10,610109,William Bishop Owen Scholastic Academy ES,  281 ,  3 ,1.1%,  38 ,13.5%,  136 ,48.4%
Network 11,609869,Anna R. Langford Community Academy,  213 ,  2 ,0.9%,  22 ,10.3%,  200 ,93.9%
Network 11,610037,Arthur A Libby Elementary School,  339 ,  77 ,22.7%,  57 ,16.8%,  275 ,81.1%
Network 11,609941,Asa Philip Randolph Elementary School,  430 ,  20 ,4.7%,  47 ,10.9%,  416 ,96.7%
Network 11,610290,Benjamin E Mays Elementary Academy,  342 ,  10 ,2.9%,  56 ,16.4%,  275 ,80.4%
Network 11,610238,Carrie Jacobs Bond Elementary School,  278 ,  3 ,1.1%,  68 ,24.5%,  267 ,96.0%
Network 11,609986,Charles R Henderson Elementary School,  244 ,  35 ,14.3%,  32 ,13.1%,  210 ,86.1%
Network 11,609897,Charles W Earle Elementary School,  324 ,  11 ,3.4%,  53 ,16.4%,  236 ,72.8%
Network 11,609790,Clara Barton Elementary School,  353 ,  5 ,1.4%,  72 ,20.4%,  329 ,93.2%
Network 11,610223,Daniel S Wentworth Elementary School,  395 ,  15 ,3.8%,  98 ,24.8%,  352 ,89.1%
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice,  239 ,  1 ,0.4%,  40 ,16.7%,  236 ,98.7%
Network 11,609924,Fort Dearborn Elementary School,  356 ,  1 ,0.3%,  60 ,16.9%,  325 ,91.3%
