Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,Albany Park Multicultural Academy,  252 ,  70 ,27.8%,  40 ,15.9%,  230 ,91.3%
Network 1,610209,Alessandro Volta Elementary School,  797 ,  525 ,65.9%,  77 ,9.7%,  660 ,82.8%
Network 1,609836,Arthur E Canty Elementary School,  804 ,  153 ,19.0%,  102 ,12.7%,  383 ,47.6%
Network 1,610083,Daniel C Beard Elementary School,  245 ,  105 ,42.9%,  138 ,56.3%,  126 ,51.4%
Network 1,609901,Edgebrook Elementary School,  508 ,  39 ,7.7%,  56 ,11.0%,  67 ,13.2%
Network 1,610523,Edison Park Elementary School,  562 ,  44 ,7.8%,  95 ,16.9%,  85 ,15.1%
Network 1,610137,Ernst Prussing Elementary School,  721 ,  245 ,34.0%,  92 ,12.8%,  470 ,65.2%
Network 1,609874,Everett McKinley Dirksen Elementary School,  941 ,  517 ,54.9%,  103 ,11.0%,  669 ,71.1%
Network 1,610163,Frederick Stock Elementary School,  260 ,  18 ,6.9%,  124 ,47.7%,  37 ,14.2%
Network 1,609857,Grover Cleveland Elementary School,  538 ,  211 ,39.2%,  157 ,29.2%,  439 ,81.6%
Network 1,610182,Hannah G Solomon Elementary School,  365 ,  129 ,35.3%,  76 ,20.8%,  186 ,51.0%
Network 1,609972,Helge A Haugan Elementary School,  966 ,  545 ,56.4%,  162 ,16.8%,  804 ,83.2%
Network 1,609798,Hiram H Belding Elementary School,  596 ,  124 ,20.8%,  78 ,13.1%,  324 ,54.4%
Network 1,609912,James B Farnsworth Elementary School,  613 ,  243 ,39.6%,  168 ,27.4%,  391 ,63.8%
Network 1,609796,Jean Baptiste Beaubien Elementary School,"  1,050 ",  158 ,15.1%,  121 ,11.5%,  440 ,41.9%
Network 1,610089,John B Murphy Elementary School,  573 ,  192 ,33.5%,  86 ,15.0%,  366 ,63.9%
Network 1,609937,John W Garvy Elementary School,  805 ,  188 ,23.4%,  83 ,10.3%,  309 ,38.4%
Network 1,610159,Jonathan Y Scammon Elementary School,  720 ,  310 ,43.1%,  82 ,11.4%,  665 ,92.4%
Network 1,610127,Mary Gage Peterson Elementary School,  906 ,  322 ,35.5%,  114 ,12.6%,  571 ,63.0%
Network 1,609792,Newton Bateman Elementary School,  973 ,  334 ,34.3%,  129 ,13.3%,  676 ,69.5%
Network 1,609810,Norman A Bridge Elementary School,"  1,142 ",  308 ,27.0%,  139 ,12.2%,  652 ,57.1%
Network 1,610354,North River Elementary School,  300 ,  151 ,50.3%,  75 ,25.0%,  227 ,75.7%
Network 1,610099,Norwood Park Elementary School,  448 ,  28 ,6.3%,  48 ,10.7%,  73 ,16.3%
Network 1,610105,Oriole Park Elementary School,  725 ,  56 ,7.7%,  64 ,8.8%,  170 ,23.5%
Network 1,609988,Patrick Henry Elementary School,  552 ,  282 ,51.1%,  94 ,17.0%,  473 ,85.7%
Network 1,610145,Peter A Reinberg Elementary School,  781 ,  315 ,40.3%,  157 ,20.1%,  642 ,82.2%
Network 1,610135,Portage Park Elementary School,  873 ,  175 ,20.1%,  133 ,15.2%,  604 ,69.2%
Network 1,610155,Sauganash Elementary School,  665 ,  89 ,13.4%,  52 ,7.8%,  147 ,22.1%
Network 1,609794,Thomas A Edison Regional Gifted Center ES,  264 ,  1 ,0.4%,  10 ,3.8%,  21 ,8.0%
Network 1,610230,Wildwood IB World Magnet School,  485 ,  28 ,5.8%,  49 ,10.1%,  57 ,11.8%
Network 1,609884,William E Dever Elementary School,  745 ,  246 ,33.0%,  83 ,11.1%,  429 ,57.6%
Network 1,609994,William G Hibbard Elementary School,  919 ,  500 ,54.4%,  87 ,9.5%,  807 ,87.8%
Network 1,610104,William J Onahan Elementary School,  674 ,  68 ,10.1%,  101 ,15.0%,  204 ,30.3%
Network 1,609949,William P Gray Elementary School,"  1,056 ",  334 ,31.6%,  162 ,15.3%,  887 ,84.0%
Network 2,609804,Daniel Boone Elementary School,  814 ,  396 ,48.7%,  88 ,10.8%,  730 ,89.7%
Network 2,609859,DeWitt Clinton Elementary School,"  1,128 ",  628 ,55.7%,  87 ,7.7%,  975 ,86.4%
Network 2,609918,Eugene Field Elementary School,  146 ,  68 ,46.6%,  32 ,21.9%,  98 ,67.1%
Network 2,610196,George B Swift Elementary Specialty School,  642 ,  284 ,44.2%,  118 ,18.4%,  495 ,77.1%
Network 2,610070,James B McPherson Elementary School,  666 ,  195 ,29.3%,  159 ,23.9%,  428 ,64.3%
Network 2,610269,John T McCutcheon Elementary School,  341 ,  136 ,39.9%,  108 ,31.7%,  321 ,94.1%
Network 2,609865,Jordan Elementary Community School,  495 ,  268 ,54.1%,  85 ,17.2%,  463 ,93.5%
Network 2,610242,Joseph Brennemann Elementary School,  411 ,  139 ,33.8%,  84 ,20.4%,  266 ,64.7%
Network 2,610022,Joyce Kilmer Elementary School,  789 ,  416 ,52.7%,  177 ,22.4%,  639 ,81.0%
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,  359 ,  71 ,19.8%,  117 ,32.6%,  279 ,77.7%
Network 2,610011,Minnie Mars Jamieson Elementary School,  895 ,  292 ,32.6%,  129 ,14.4%,  561 ,62.7%
Network 2,610284,New Field Elementary School,  615 ,  256 ,41.6%,  90 ,14.6%,  483 ,78.5%
Network 2,610141,Ravenswood Elementary School,  564 ,  72 ,12.8%,  59 ,10.5%,  188 ,33.3%
Network 2,609880,Stephen Decatur Classical Elementary School,  281 ,  2 ,0.7%,  9 ,3.2%,  45 ,16.0%
Network 2,609933,Stephen F Gale Elementary Community Academy,  263 ,  71 ,27.0%,  60 ,22.8%,  237 ,90.1%
Network 2,609976,Stephen K Hayt Elementary School,  915 ,  430 ,47.0%,  129 ,14.1%,  730 ,79.8%
Network 2,610191,Stone Elementary Scholastic Academy,  615 ,  126 ,20.5%,  54 ,8.8%,  326 ,53.0%
Network 2,610220,Thomas J Waters Elementary School,  641 ,  64 ,10.0%,  53 ,8.3%,  173 ,27.0%
Network 2,610363,Walt Disney Magnet Elementary School,"  1,519 ",  187 ,12.3%,  121 ,8.0%,  872 ,57.4%
Network 3,610533,Dr Jorge Prieto Math and Science,  948 ,  460 ,48.5%,  161 ,17.0%,  868 ,91.6%
Network 3,609904,Edward K Ellington Elementary School,  497 ,  9 ,1.8%,  86 ,17.3%,  487 ,98.0%
