Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,Albany Park Multicultural Academy,  290 ,  65 ,22.4%,  52 ,17.9%,  277 ,95.5%
Network 1,610209,Alessandro Volta Elementary School,  894 ,  556 ,62.2%,  89 ,10.0%,  746 ,83.5%
Network 1,609836,Arthur E Canty Elementary School,  859 ,  166 ,19.3%,  93 ,10.8%,  418 ,48.7%
Network 1,609729,Carl Schurz High School,"  1,739 ",  342 ,19.7%,  361 ,20.8%,"  1,603 ",92.2%
Network 1,610083,Daniel C Beard Elementary School,  185 ,  86 ,46.5%,  118 ,63.8%,  86 ,46.5%
Network 1,610564,Disney II Magnet High School,  711 ,  15 ,2.1%,  94 ,13.2%,  429 ,60.3%
Network 1,610515,Disney II Magnet School,  432 ,  62 ,14.4%,  39 ,9.0%,  134 ,31.0%
Network 1,609901,Edgebrook Elementary School,  509 ,  17 ,3.3%,  48 ,9.4%,  62 ,12.2%
Network 1,610523,Edison Park Elementary School,  541 ,  34 ,6.3%,  84 ,15.5%,  102 ,18.9%
Network 1,610137,Ernst Prussing Elementary School,  738 ,  241 ,32.7%,  82 ,11.1%,  450 ,61.0%
Network 1,609874,Everett McKinley Dirksen Elementary School,  926 ,  491 ,53.0%,  99 ,10.7%,  616 ,66.5%
Network 1,610163,Frederick Stock Elementary School,  234 ,  40 ,17.1%,  92 ,39.3%,  36 ,15.4%
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"  1,726 ",  45 ,2.6%,  101 ,5.9%,"  1,289 ",74.7%
Network 1,609857,Grover Cleveland Elementary School,  560 ,  226 ,40.4%,  152 ,27.1%,  444 ,79.3%
Network 1,610182,Hannah G Solomon Elementary School,  349 ,  125 ,35.8%,  66 ,18.9%,  174 ,49.9%
Network 1,609972,Helge A Haugan Elementary School,  906 ,  591 ,65.2%,  117 ,12.9%,  786 ,86.8%
Network 1,609798,Hiram H Belding Elementary School,  580 ,  119 ,20.5%,  63 ,10.9%,  332 ,57.2%
Network 1,609766,Jacqueline B Vaughn Occupational High School,  230 ,  104 ,45.2%,  230 ,100.0%,  183 ,79.6%
Network 1,609912,James B Farnsworth Elementary School,  604 ,  212 ,35.1%,  147 ,24.3%,  353 ,58.4%
Network 1,609796,Jean Baptiste Beaubien Elementary School,"  1,100 ",  197 ,17.9%,  107 ,9.7%,  526 ,47.8%
Network 1,610089,John B Murphy Elementary School,  521 ,  179 ,34.4%,  79 ,15.2%,  370 ,71.0%
Network 1,610111,John Palmer Elementary School,  806 ,  299 ,37.1%,  114 ,14.1%,  604 ,74.9%
Network 1,609937,John W Garvy Elementary School,  831 ,  173 ,20.8%,  101 ,12.2%,  333 ,40.1%
Network 1,610159,Jonathan Y Scammon Elementary School,  745 ,  302 ,40.5%,  90 ,12.1%,  668 ,89.7%
Network 1,610127,Mary Gage Peterson Elementary School,  890 ,  274 ,30.8%,  101 ,11.4%,  583 ,65.5%
Network 1,609792,Newton Bateman Elementary School,"  1,008 ",  344 ,34.1%,  124 ,12.3%,  769 ,76.3%
Network 1,609810,Norman A Bridge Elementary School,"  1,116 ",  295 ,26.4%,  127 ,11.4%,  696 ,62.4%
Network 1,610354,North River Elementary School,  325 ,  161 ,49.5%,  75 ,23.1%,  265 ,81.5%
Network 1,609749,Northside College Preparatory High School,"  1,061 ",  11 ,1.0%,  61 ,5.8%,  469 ,44.2%
Network 1,609744,Northside Learning Center High School,  230 ,  107 ,46.5%,  230 ,100.0%,  194 ,84.4%
Network 1,610099,Norwood Park Elementary School,  436 ,  33 ,7.6%,  55 ,12.6%,  69 ,15.8%
Network 1,610105,Oriole Park Elementary School,  751 ,  61 ,8.1%,  74 ,9.9%,  183 ,24.4%
Network 1,609988,Patrick Henry Elementary School,  526 ,  291 ,55.3%,  71 ,13.5%,  430 ,81.8%
Network 1,610145,Peter A Reinberg Elementary School,  802 ,  335 ,41.8%,  163 ,20.3%,  606 ,75.6%
Network 1,610135,Portage Park Elementary School,  951 ,  168 ,17.7%,  135 ,14.2%,  690 ,72.6%
Network 1,609995,Rufus M Hitch Elementary School,  567 ,  128 ,22.6%,  75 ,13.2%,  314 ,55.4%
Network 1,610155,Sauganash Elementary School,  604 ,  95 ,15.7%,  65 ,10.8%,  178 ,29.5%
Network 1,609728,Theodore Roosevelt High School,"  1,099 ",  326 ,29.7%,  210 ,19.1%,"  1,021 ",92.9%
Network 1,609794,Thomas A Edison Regional Gifted Center ES,  271 ,,,  13 ,4.8%,  26 ,9.6%
Network 1,610230,Wildwood IB World Magnet School,  494 ,  29 ,5.9%,  54 ,10.9%,  67 ,13.6%
Network 1,609884,William E Dever Elementary School,  781 ,  226 ,28.9%,  99 ,12.7%,  456 ,58.4%
Network 1,609994,William G Hibbard Elementary School,  988 ,  549 ,55.6%,  123 ,12.5%,  813 ,82.3%
Network 1,609734,William Howard Taft High School,"  3,372 ",  259 ,7.7%,  391 ,11.6%,"  1,820 ",54.0%
Network 1,610104,William J Onahan Elementary School,  659 ,  60 ,9.1%,  80 ,12.1%,  227 ,34.5%
Network 1,609949,William P Gray Elementary School,"  1,160 ",  338 ,29.1%,  147 ,12.7%,  951 ,82.0%
Network 2,609804,Daniel Boone Elementary School,  832 ,  424 ,51.0%,  107 ,12.9%,  697 ,83.8%
Network 2,609859,DeWitt Clinton Elementary School,"  1,199 ",  604 ,50.4%,  76 ,6.3%,  959 ,80.0%
Network 2,609852,Eliza Chappell Elementary School,  576 ,  143 ,24.8%,  94 ,16.3%,  355 ,61.6%
