Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 2,609918,Eugene Field Elementary School,  158 ,  61 ,38.6%,  28 ,17.7%,  150 ,94.9%
Network 2,609779,George Armstrong International Studies ES,"  1,412 ",  514 ,36.4%,  138 ,9.8%,"  1,180 ",83.6%
Network 2,610196,George B Swift Elementary Specialty School,  687 ,  297 ,43.2%,  101 ,14.7%,  502 ,73.1%
Network 2,610122,Helen Peirce International Studies ES,"  1,010 ",  158 ,15.6%,  98 ,9.7%,  551 ,54.6%
Network 2,610070,James B McPherson Elementary School,  692 ,  203 ,29.3%,  166 ,24.0%,  554 ,80.1%
Network 2,609866,John C Coonley Elementary School,"  1,004 ",  63 ,6.3%,  111 ,11.1%,  187 ,18.6%
Network 2,610269,John T McCutcheon Elementary School,  377 ,  125 ,33.2%,  96 ,25.5%,  303 ,80.4%
Network 2,609865,Jordan Elementary Community School,  511 ,  258 ,50.5%,  69 ,13.5%,  430 ,84.2%
Network 2,610022,Joyce Kilmer Elementary School,  761 ,  430 ,56.5%,  157 ,20.6%,  662 ,87.0%
Network 2,609719,Lake View High School,"  1,389 ",  119 ,8.6%,  230 ,16.6%,"  1,119 ",80.6%
Network 2,609817,Lyman A Budlong Elementary School,  767 ,  358 ,46.7%,  67 ,8.7%,  558 ,72.8%
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,  400 ,  100 ,25.0%,  123 ,30.8%,  317 ,79.3%
Network 2,610011,Minnie Mars Jamieson Elementary School,  918 ,  270 ,29.4%,  131 ,14.3%,  624 ,68.0%
Network 2,610284,New Field Elementary School,  699 ,  324 ,46.4%,  96 ,13.7%,  509 ,72.8%
Network 2,609730,Nicholas Senn High School,"  1,443 ",  233 ,16.2%,  200 ,13.9%,"  1,161 ",80.5%
Network 2,610147,Philip Rogers Elementary School,  782 ,  269 ,34.4%,  100 ,12.8%,  530 ,67.8%
Network 2,610141,Ravenswood Elementary School,  552 ,  63 ,11.4%,  60 ,10.9%,  226 ,40.9%
Network 2,609733,Roger C Sullivan High School,  723 ,  299 ,41.4%,  161 ,22.3%,  645 ,89.2%
Network 2,609880,Stephen Decatur Classical Elementary School,  282 ,  2 ,0.7%,  10 ,3.6%,  46 ,16.3%
Network 2,609933,Stephen F Gale Elementary Community Academy,  308 ,  105 ,34.1%,  64 ,20.8%,  270 ,87.7%
Network 2,609976,Stephen K Hayt Elementary School,"  1,002 ",  423 ,42.2%,  117 ,11.7%,  789 ,78.7%
Network 2,609724,Stephen T Mather High School,"  1,442 ",  393 ,27.3%,  172 ,11.9%,"  1,213 ",84.1%
Network 2,610191,Stone Elementary Scholastic Academy,  629 ,  104 ,16.5%,  54 ,8.6%,  337 ,53.6%
Network 2,610220,Thomas J Waters Elementary School,  627 ,  73 ,11.6%,  47 ,7.5%,  222 ,35.4%
Network 2,610394,Uplift Community High School,  240 ,  27 ,11.3%,  87 ,36.3%,  225 ,93.8%
Network 2,610542,West Ridge Elementary School,  830 ,  328 ,39.5%,  101 ,12.2%,  660 ,79.5%
Network 2,609945,William C. Goudy Technology Academy,  708 ,  306 ,43.2%,  76 ,10.7%,  587 ,82.9%
Network 3,610518,Austin College and Career Academy High School,  219 ,  3 ,1.4%,  65 ,29.7%,  212 ,96.8%
Network 3,609922,Belmont-Cragin Elementary School,  570 ,  348 ,61.1%,  78 ,13.7%,  384 ,67.4%
Network 3,609679,Charles Allen Prosser Career Academy High School,"  1,394 ",  97 ,7.0%,  181 ,13.0%,"  1,312 ",94.1%
Network 3,609732,Charles P Steinmetz College Preparatory HS,"  1,278 ",  256 ,20.0%,  226 ,17.7%,"  1,123 ",87.9%
Network 3,609904,Edward K Ellington Elementary School,  522 ,  4 ,0.8%,  91 ,17.4%,  446 ,85.4%
Network 3,609708,Edwin G. Foreman College and Career Academy,  792 ,  218 ,27.5%,  169 ,21.3%,  739 ,93.3%
Network 3,610235,Ella Flagg Young Elementary School,  805 ,  61 ,7.6%,  92 ,11.4%,  717 ,89.1%
Network 3,610165,Franz Peter Schubert Elementary School,  755 ,  469 ,62.1%,  84 ,11.1%,  613 ,81.2%
Network 3,610245,Frederick A Douglass Academy High School,  101 ,  2 ,2.0%,  29 ,28.7%,  98 ,97.0%
Network 3,610305,George Leland Elementary School,  415 ,,,  68 ,16.4%,  360 ,86.8%
Network 3,609795,George Rogers Clark Elementary School,  236 ,  32 ,13.6%,  22 ,9.3%,  203 ,86.0%
Network 3,610068,Hanson Park Elementary School,"  1,483 ",  677 ,45.7%,  232 ,15.6%,"  1,305 ",88.0%
Network 3,610158,Harriet E Sayre Elementary Language Academy,  450 ,  51 ,11.3%,  54 ,12.0%,  301 ,66.9%
Network 3,610092,Henry H Nash Elementary School,  275 ,  2 ,0.7%,  32 ,11.6%,  257 ,93.5%
Network 3,609975,John Hay Elementary Community Academy,  383 ,  8 ,2.1%,  39 ,10.2%,  333 ,87.0%
Network 3,610043,Joseph Lovett Elementary School,  376 ,  24 ,6.4%,  37 ,9.8%,  315 ,83.8%
Network 3,610041,Josephine C Locke Elementary School,"  1,337 ",  494 ,37.0%,  200 ,15.0%,"  1,127 ",84.3%
Network 3,609910,Laughlin Falconer Elementary School,"  1,186 ",  535 ,45.1%,  139 ,11.7%,  988 ,83.3%
Network 3,609818,Luther Burbank Elementary School,  904 ,  454 ,50.2%,  125 ,13.8%,  792 ,87.6%
Network 3,610539,Marvin Camras Elementary School,  932 ,  374 ,40.1%,  125 ,13.4%,  777 ,83.4%
Network 3,610046,Mary Lyon Elementary School,"  1,410 ",  487 ,34.5%,  168 ,11.9%,"  1,282 ",90.9%
Network 3,610244,Michele Clark Academic Prep Magnet High School,  547 ,  6 ,1.1%,  67 ,12.3%,  511 ,93.4%
Network 3,609830,Milton Brunson Math & Science Specialty ES,  480 ,  16 ,3.3%,  66 ,13.8%,  435 ,90.6%
Network 3,610051,Northwest Middle School,  486 ,  137 ,28.2%,  77 ,15.8%,  463 ,95.3%
Network 3,610367,Oscar DePriest Elementary School,  544 ,  7 ,1.3%,  106 ,19.5%,  488 ,89.7%
Network 3,610183,Spencer Technology Academy,  557 ,  1 ,0.2%,  73 ,13.1%,  497 ,89.2%
Network 4,610038,Abraham Lincoln Elementary School,  895 ,  48 ,5.4%,  41 ,4.6%,  135 ,15.1%
Network 4,609720,Albert G Lane Technical High School,"  4,438 ",  32 ,0.7%,  193 ,4.4%,"  2,185 ",49.2%
Network 4,609799,Alexander Graham Bell Elementary School,  957 ,  49 ,5.1%,  111 ,11.6%,  132 ,13.8%
Network 4,609963,Alexander Hamilton Elementary School,  480 ,  20 ,4.2%,  44 ,9.2%,  78 ,16.3%
Network 4,610144,Frank W Reilly Elementary School,  923 ,  421 ,45.6%,  131 ,14.2%,  799 ,86.6%
Network 4,609930,Frederick Funston Elementary School,  464 ,  223 ,48.1%,  84 ,18.1%,  401 ,86.4%
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts,  311 ,  40 ,12.9%,  64 ,20.6%,  179 ,57.6%
Network 4,610048,George Manierre Elementary School,  344 ,  1 ,0.3%,  59 ,17.2%,  312 ,90.7%
Network 4,609974,Hawthorne Elementary Scholastic Academy,  567 ,  15 ,2.7%,  48 ,8.5%,  116 ,20.5%
Network 4,609850,Horace Greeley Elementary School,  568 ,  144 ,25.4%,  49 ,8.6%,  455 ,80.1%
Network 4,610078,Inter-American Elementary Magnet School,  710 ,  176 ,24.8%,  60 ,8.5%,  372 ,52.4%
Network 4,609803,James G Blaine Elementary School,  888 ,  65 ,7.3%,  104 ,11.7%,  145 ,16.3%
Network 4,610074,James Monroe Elementary School,  825 ,  289 ,35.0%,  112 ,13.6%,  749 ,90.8%
Network 4,609942,Johann W von Goethe Elementary School,  765 ,  178 ,23.3%,  97 ,12.7%,  519 ,67.8%
Network 4,609782,John J Audubon Elementary School,  574 ,  32 ,5.6%,  49 ,8.5%,  120 ,20.9%
Network 4,609716,Kelvyn Park High School,  451 ,  156 ,34.6%,  87 ,19.3%,  417 ,92.5%
Network 4,610033,LaSalle Elementary Language Academy,  561 ,  18 ,3.2%,  68 ,12.1%,  180 ,32.1%
Network 4,610325,Logandale Middle School,  716 ,  274 ,38.3%,  78 ,10.9%,  634 ,88.6%
Network 4,609809,Lorenz Brentano Math & Science Academy ES,  497 ,  82 ,16.5%,  57 ,11.5%,  312 ,62.8%
Network 4,610094,Louis Nettelhorst Elementary School,  789 ,  75 ,9.5%,  81 ,10.3%,  177 ,22.4%
Network 4,609774,Louisa May Alcott College Preparatory ES,  628 ,  27 ,4.3%,  62 ,9.9%,  106 ,16.9%
Network 4,610524,Louisa May Alcott College Preparatory HS,  311 ,  22 ,7.1%,  41 ,13.2%,  257 ,82.6%
Network 4,610059,Oscar F Mayer Elementary School,  760 ,  21 ,2.8%,  75 ,9.9%,  101 ,13.3%
Network 4,609853,Salmon P Chase Elementary School,  416 ,  142 ,34.1%,  108 ,26.0%,  354 ,85.1%
Network 4,609968,Sharon Christa McAuliffe Elementary School,  732 ,  268 ,36.6%,  86 ,11.8%,  634 ,86.6%
Network 4,610534,Skinner North,  494 ,,,  28 ,5.7%,  53 ,10.7%
Network 4,610095,Walter L Newberry Math & Science Academy ES,  563 ,  30 ,5.3%,  78 ,13.9%,  340 ,60.4%
Network 4,610136,William H Prescott Elementary School,  433 ,  52 ,12.0%,  56 ,12.9%,  183 ,42.3%
Network 4,610097,William P Nixon Elementary School,  833 ,  406 ,48.7%,  110 ,13.2%,  721 ,86.6%
Network 4,610088,Wolfgang A Mozart Elementary School,  640 ,  276 ,43.1%,  77 ,12.0%,  586 ,91.6%
Network 5,610334,Al Raby High School,  378 ,  10 ,2.7%,  101 ,26.7%,  373 ,98.7%
Network 5,610131,Ambrose Plamondon Elementary School,  138 ,  30 ,21.7%,  16 ,11.6%,  128 ,92.8%
Network 5,610005,Charles Evans Hughes Elementary School,  255 ,,,  36 ,14.1%,  232 ,91.0%
Network 5,610194,Charles Sumner  Math & Science Community Acad ES,  276 ,  2 ,0.7%,  25 ,9.1%,  223 ,80.8%
Network 5,609873,Crown Community Academy of Fine Arts Center ES,  255 ,  4 ,1.6%,  38 ,14.9%,  216 ,84.7%
Network 5,609835,Daniel R Cameron Elementary School,  773 ,  233 ,30.1%,  105 ,13.6%,  695 ,89.9%
Network 5,610221,Daniel Webster Elementary School,  298 ,,,  25 ,8.4%,  229 ,76.9%
Network 5,610503,Frazier Prospective IB Magnet ES,  205 ,,,  28 ,13.7%,  168 ,82.0%
Network 5,609854,Frederic Chopin Elementary School,  422 ,  113 ,26.8%,  112 ,26.5%,  365 ,86.5%
Network 5,610293,Genevieve Melody Elementary School,  477 ,,,  59 ,12.4%,  427 ,89.5%
Network 5,610202,George W Tilton Elementary School,  302 ,  1 ,0.3%,  41 ,13.6%,  261 ,86.4%
Network 5,609693,George Westinghouse College Prep,"  1,189 ",  19 ,1.6%,  78 ,6.6%,  970 ,81.6%
Network 5,610192,Harriet Beecher Stowe Elementary School,  674 ,  275 ,40.8%,  115 ,17.1%,  612 ,90.8%
Network 5,609985,Helen M Hefferan Elementary School,  349 ,,,  39 ,11.2%,  304 ,87.1%
Network 5,609797,Jacob Beidler Elementary School,  444 ,  2 ,0.5%,  60 ,13.5%,  371 ,83.6%
Network 5,610044,James Russell Lowell Elementary School,  445 ,  114 ,25.6%,  123 ,27.6%,  392 ,88.1%
Network 5,610271,Jensen Elementary Scholastic Academy,  417 ,  5 ,1.2%,  70 ,16.8%,  384 ,92.1%
Network 5,609723,John Marshall Metropolitan High School,  341 ,,,  94 ,27.6%,  333 ,97.7%
Network 5,609954,John Milton Gregory Elementary School,  354 ,,,  56 ,15.8%,  310 ,87.6%
Network 5,610313,Jose De Diego Elementary Community Academy,  561 ,  52 ,9.3%,  71 ,12.7%,  464 ,82.7%
Network 5,609925,Joseph Kellman Corporate Community ES,  337 ,  1 ,0.3%,  13 ,3.9%,  300 ,89.0%
Network 5,610133,Laura S Ward Elementary School,  465 ,  14 ,3.0%,  53 ,11.4%,  412 ,88.6%
Network 5,610034,Lawndale Elementary Community Academy,  263 ,,,  33 ,12.6%,  230 ,87.5%
Network 5,609907,Leif Ericson Elementary Scholastic Academy,  475 ,  2 ,0.4%,  32 ,6.7%,  409 ,86.1%
Network 5,609722,Manley Career Academy High School,  114 ,  1 ,0.9%,  37 ,32.5%,  105 ,92.1%
Network 5,610055,Michael Faraday Elementary School,  287 ,,,  37 ,12.9%,  243 ,84.7%
Network 5,609691,North-Grand High School,  958 ,  194 ,20.3%,  158 ,16.5%,  905 ,94.5%
Network 5,610234,Richard Yates Elementary School,  442 ,  146 ,33.0%,  134 ,30.3%,  360 ,81.5%
Network 5,609759,Roberto Clemente Community Academy High School,  754 ,  77 ,10.2%,  184 ,24.4%,  713 ,94.6%
Network 5,610056,Roswell B Mason Elementary School,  384 ,  4 ,1.0%,  61 ,15.9%,  333 ,86.7%
Network 5,610100,West Park Elementary Academy,  591 ,  209 ,35.4%,  72 ,12.2%,  519 ,87.8%
Network 5,610251,Willa Cather Elementary School,  380 ,  4 ,1.1%,  66 ,17.4%,  323 ,85.0%
Network 5,610123,William Penn Elementary School,  316 ,  12 ,3.8%,  78 ,24.7%,  280 ,88.6%
Network 6,610229,A.N. Pritzker School,  743 ,  58 ,7.8%,  67 ,9.0%,  325 ,43.7%
Network 6,610513,Air Force Academy High School,  262 ,  7 ,2.7%,  34 ,13.0%,  239 ,91.2%
Network 6,609947,Alexander Graham Elementary School,  415 ,  79 ,19.0%,  49 ,11.8%,  363 ,87.5%
Network 6,610060,Andrew Jackson Elementary Language Academy,  550 ,  59 ,10.7%,  34 ,6.2%,  230 ,41.8%
Network 6,609996,Charles N Holden Elementary School,  504 ,  97 ,19.3%,  62 ,12.3%,  412 ,81.8%
Network 6,609754,Chicago Military Academy High School,  310 ,  18 ,5.8%,  33 ,10.7%,  293 ,94.5%
Network 6,610012,Edward Jenner Elementary Academy of the Arts,  250 ,,,  35 ,14.0%,  221 ,88.4%
Network 6,610009,Galileo Math & Science Scholastic Academy ES,  573 ,  99 ,17.3%,  64 ,11.2%,  334 ,58.3%
Network 6,609760,George Washington Carver Military Academy HS,  479 ,  20 ,4.2%,  26 ,5.4%,  442 ,92.3%
Network 6,610107,James Otis Elementary School,  453 ,  164 ,36.2%,  117 ,25.8%,  392 ,86.5%
Network 6,609959,John Charles Haines Elementary School,  686 ,  220 ,32.1%,  19 ,2.8%,  569 ,82.9%
Network 6,610180,John M Smyth Elementary School,  463 ,  13 ,2.8%,  69 ,14.9%,  388 ,83.8%
Network 6,609828,Jonathan Burr Elementary School,  434 ,  45 ,10.4%,  58 ,13.4%,  160 ,36.9%
Network 6,610081,Mark Sheridan Math & Science Academy,  560 ,  45 ,8.0%,  36 ,6.4%,  270 ,48.2%
Network 6,610529,Ogden International High School,  884 ,  37 ,4.2%,  92 ,10.4%,  481 ,54.4%
Network 6,609777,Phillip D Armour Elementary School,  279 ,  86 ,30.8%,  34 ,12.2%,  223 ,79.9%
Network 6,610304,Phoenix Military Academy High School,  531 ,  25 ,4.7%,  34 ,6.4%,  501 ,94.4%
Network 6,610138,Pulaski International School of Chicago,  928 ,  162 ,17.5%,  77 ,8.3%,  620 ,66.8%
Network 6,609769,Ray Graham Training Center High School,  117 ,  40 ,34.2%,  117 ,100.0%,  110 ,94.0%
Network 6,610561,Richard T Crane Medical Preparatory HS,  487 ,  8 ,1.6%,  29 ,6.0%,  432 ,88.7%
Network 6,609979,Robert Healy Elementary School,"  1,413 ",  353 ,25.0%,  64 ,4.5%,"  1,158 ",82.0%
Network 6,610252,Robert Nathaniel Dett Elementary School,  312 ,  6 ,1.9%,  106 ,34.0%,  276 ,88.5%
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES,  203 ,  104 ,51.2%,  60 ,29.6%,  179 ,88.2%
Network 6,610250,Rueben Salazar Elementary Bilingual Center,  345 ,  103 ,29.9%,  65 ,18.8%,  275 ,79.7%
Network 6,609750,Simpson Academy HS for Young Women,  41 ,  3 ,7.3%,  6 ,14.6%,  40 ,97.6%
Network 6,610548,STEM Magnet Academy,  434 ,  42 ,9.7%,  27 ,6.2%,  169 ,38.9%
Network 6,610405,Suder Montessori Magnet ES,  413 ,  13 ,3.2%,  48 ,11.6%,  210 ,50.9%
Network 6,609896,Thomas Drummond Elementary School,  349 ,  16 ,4.6%,  21 ,6.0%,  94 ,26.9%
Network 6,610121,Washington Irving Elementary School,  443 ,  21 ,4.7%,  74 ,16.7%,  378 ,85.3%
Network 6,609740,Wells Community Academy High School,  381 ,  44 ,11.6%,  100 ,26.3%,  345 ,90.6%
Network 6,610101,William B Ogden Elementary School,  806 ,  131 ,16.3%,  56 ,7.0%,  191 ,23.7%
Network 6,609812,William H Brown Elementary School,  252 ,  12 ,4.8%,  75 ,29.8%,  223 ,88.5%
Network 6,610308,Wilma Rudolph Elementary Learning Center,  92 ,  40 ,43.5%,  81 ,88.0%,  71 ,77.2%
Network 7,609966,Charles G Hammond Elementary School,  438 ,  217 ,49.5%,  79 ,18.0%,  389 ,88.8%
Network 7,610063,Cyrus H McCormick Elementary School,  712 ,  357 ,50.1%,  62 ,8.7%,  619 ,86.9%
Network 7,609870,Daniel J Corkery Elementary School,  525 ,  228 ,43.4%,  79 ,15.1%,  441 ,84.0%
Network 7,609704,David G Farragut Career Academy High School,  728 ,  214 ,29.4%,  169 ,23.2%,  697 ,95.7%
Network 7,610227,Eli Whitney Elementary School,  986 ,  552 ,56.0%,  90 ,9.1%,  884 ,89.7%
Network 7,610215,Francisco I Madero Middle School,  334 ,  71 ,21.3%,  55 ,16.5%,  326 ,97.6%
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School,  628 ,  311 ,49.5%,  67 ,10.7%,  569 ,90.6%
Network 7,610383,Greater Lawndale High School For Social Justice,  286 ,  76 ,26.6%,  55 ,19.2%,  274 ,95.8%
Network 7,610384,Infinity Math Science and Technology High School,  418 ,  50 ,12.0%,  51 ,12.2%,  401 ,95.9%
Network 7,610125,Irma C Ruiz Elementary School,  694 ,  207 ,29.8%,  83 ,12.0%,  618 ,89.1%
Network 7,610216,John A Walsh Elementary School,  349 ,  105 ,30.1%,  66 ,18.9%,  271 ,77.7%
Network 7,610228,John Greenleaf Whittier Elementary School,  231 ,  146 ,63.2%,  33 ,14.3%,  211 ,91.3%
Network 7,610184,John Spry Elementary Community School,  538 ,  259 ,48.1%,  67 ,12.5%,  487 ,90.5%
Network 7,609950,Josefa Ortiz De Dominguez Elementary School,  535 ,  317 ,59.3%,  59 ,11.0%,  422 ,78.9%
Network 7,609938,Joseph E Gary Elementary School,"  1,114 ",  533 ,47.9%,  152 ,13.6%,"  1,045 ",93.8%
Network 7,610015,Joseph Jungman Elementary School,  286 ,  124 ,43.4%,  94 ,32.9%,  247 ,86.4%
Network 7,610129,Josiah Pickard Elementary School,  444 ,  201 ,45.3%,  68 ,15.3%,  399 ,89.9%
Network 7,609872,Manuel Perez Elementary School,  297 ,  98 ,33.0%,  40 ,13.5%,  271 ,91.3%
Network 7,610017,Maria Saucedo Elementary Scholastic Academy,"  1,007 ",  440 ,43.7%,  116 ,11.5%,  910 ,90.4%
Network 7,610385,Multicultural Academy of Scholarship,  230 ,  79 ,34.4%,  67 ,29.1%,  219 ,95.2%
Network 7,610329,Orozco Fine Arts & Sciences Elementary School,  540 ,  185 ,34.3%,  64 ,11.9%,  482 ,89.3%
Network 7,609867,Peter Cooper Elementary Dual Language Academy,  459 ,  283 ,61.7%,  72 ,15.7%,  404 ,88.0%
Network 7,610013,Pilsen Elementary Community Academy,  331 ,  125 ,37.8%,  78 ,23.6%,  246 ,74.3%
Network 7,610357,Spry Community Links High School,  129 ,  42 ,32.6%,  34 ,26.4%,  124 ,96.1%
Network 7,609921,Telpochcalli Elementary School,  282 ,  188 ,66.7%,  57 ,20.2%,  244 ,86.5%
Network 7,609967,William F Finkl Elementary School,  359 ,  154 ,42.9%,  77 ,21.5%,  317 ,88.3%
Network 7,610392,World Language Academy High School,  352 ,  90 ,25.6%,  54 ,15.3%,  337 ,95.7%
Network 8,609993,Agustin Lara Elementary Academy,  441 ,  167 ,37.9%,  54 ,12.2%,  396 ,89.8%
Network 8,610317,Brighton Park Elementary School,  453 ,  204 ,45.0%,  36 ,8.0%,  400 ,88.3%
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language,  807 ,  461 ,57.1%,  92 ,11.4%,  689 ,85.4%
Network 8,610170,Columbia Explorers Elementary Academy,"  1,064 ",  425 ,39.9%,  93 ,8.7%,  939 ,88.3%
Network 8,609909,Edward Everett Elementary School,  200 ,  67 ,33.5%,  33 ,16.5%,  152 ,76.0%
Network 8,609735,Edward Tilden Career Community Academy HS,  250 ,  21 ,8.4%,  90 ,36.0%,  234 ,93.6%
Network 8,609682,Ellen H Richards Career Academy High School,  217 ,  69 ,31.8%,  58 ,26.7%,  196 ,90.3%
Network 8,610319,Evergreen Academy Middle School,  315 ,  68 ,21.6%,  43 ,13.7%,  296 ,94.0%
Network 8,610096,Florence Nightingale Elementary School,"  1,254 ",  571 ,45.5%,  173 ,13.8%,"  1,095 ",87.3%
Network 8,609709,Gage Park High School,  328 ,  84 ,25.6%,  67 ,20.4%,  313 ,95.4%
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science,  997 ,  214 ,21.5%,  119 ,11.9%,  967 ,97.0%
Network 8,609983,James Hedges Elementary School,  665 ,  421 ,63.3%,  105 ,15.8%,  588 ,88.4%
Network 8,610174,James Shields Elementary School,  838 ,  381 ,45.5%,  74 ,8.8%,  716 ,85.4%
Network 8,610559,James Shields Middle School,  604 ,  127 ,21.0%,  105 ,17.4%,  586 ,97.0%
Network 8,609964,John H Hamline Elementary School,  537 ,  232 ,43.2%,  78 ,14.5%,  476 ,88.6%
Network 8,609694,John Hancock College Preparatory High School,  971 ,  21 ,2.2%,  32 ,3.3%,  856 ,88.2%
Network 8,609756,Marie Sklodowska Curie Metropolitan High School,"  2,916 ",  329 ,11.3%,  307 ,10.5%,"  2,705 ",92.8%
