School ID,Educational Unit,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
400175, EXCEL SOUTH SHORE HS , Options ,  222 ,  4 ,1.8%,  165 ,74.3%,  - ,0.0%,  - ,0.0%,  49 ,22.1%,  3 ,1.4%,  - ,0.0%,  - ,0.0%,  1 ,0.5%
400176, EXCEL SOUTHWEST HS , Options ,  125 ,  2 ,1.6%,  89 ,71.2%,  - ,0.0%,  - ,0.0%,  32 ,25.6%,  - ,0.0%,  - ,0.0%,  2 ,1.6%,  - ,0.0%
400043, HOPE LEARNING ACADEMY , Contract ,  241 ,  1 ,0.4%,  224 ,92.9%,  - ,0.0%,  - ,0.0%,  15 ,6.2%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400137, LITTLE BLACK PEARL HS , Options ,  83 ,  - ,0.0%,  79 ,95.2%,  - ,0.0%,  - ,0.0%,  3 ,3.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  1 ,1.2%
400068, PLATO , Contract ,  175 ,  - ,0.0%,  173 ,98.9%,  - ,0.0%,  - ,0.0%,  2 ,1.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610572, SAFE ACHIEVE ES , Options ,  2 ,  - ,0.0%,  2 ,100.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610573, SAFE ACHIEVE HS , Options ,  34 ,  - ,0.0%,  32 ,94.1%,  - ,0.0%,  - ,0.0%,  2 ,5.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610569, OMBUDSMAN - NORTHWEST HS , Options ,  133 ,  22 ,16.5%,  16 ,12.0%,  - ,0.0%,  2 ,1.5%,  74 ,55.6%,  2 ,1.5%,  16 ,12.0%,  1 ,0.8%,  - ,0.0%
610593, OMBUDSMAN - ROSELAND HS , Options ,  140 ,  - ,0.0%,  132 ,94.3%,  - ,0.0%,  - ,0.0%,  7 ,5.0%,  1 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610570, OMBUDSMAN - SOUTH HS , Options ,  231 ,  2 ,0.9%,  100 ,43.3%,  - ,0.0%,  1 ,0.4%,  128 ,55.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610571, OMBUDSMAN - WEST HS , Options ,  116 ,  1 ,0.9%,  94 ,81.0%,  - ,0.0%,  - ,0.0%,  19 ,16.4%,  1 ,0.9%,  1 ,0.9%,  - ,0.0%,  - ,0.0%
610557, PATHWAYS - ASHBURN HS , Options ,  259 ,  19 ,7.3%,  92 ,35.5%,  - ,0.0%,  - ,0.0%,  146 ,56.4%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  1 ,0.4%
610568, PATHWAYS - AVONDALE HS , Options ,  305 ,  25 ,8.2%,  36 ,11.8%,  - ,0.0%,  - ,0.0%,  234 ,76.7%,  5 ,1.6%,  5 ,1.6%,  - ,0.0%,  - ,0.0%
400173, PATHWAYS - BRIGHTON PARK HS , Options ,  418 ,  9 ,2.2%,  18 ,4.3%,  - ,0.0%,  4 ,1.0%,  385 ,92.1%,  - ,0.0%,  2 ,0.5%,  - ,0.0%,  - ,0.0%
610594, PATHWAYS - HUMBOLDT PARK HS , Options ,  150 ,  6 ,4.0%,  53 ,35.3%,  - ,0.0%,  - ,0.0%,  90 ,60.0%,  - ,0.0%,  1 ,0.7%,  - ,0.0%,  - ,0.0%
