School ID,Educational Unit,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
609818, BURBANK , Network 3 ,  698 ,  13 ,1.9%,  34 ,4.9%,  - ,0.0%,  4 ,0.6%,  641 ,91.8%,  2 ,0.3%,  4 ,0.6%,  - ,0.0%,  - ,0.0%
609819, BURKE , Network 9 ,  280 ,  4 ,1.4%,  261 ,93.2%,  - ,0.0%,  - ,0.0%,  10 ,3.6%,  5 ,1.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609820, BURLEY , ISP ,  493 ,  312 ,63.3%,  7 ,1.4%,  - ,0.0%,  - ,0.0%,  82 ,16.6%,  31 ,6.3%,  61 ,12.4%,  - ,0.0%,  - ,0.0%
609821, BURNHAM , Network 13 ,  429 ,  1 ,0.2%,  408 ,95.1%,  - ,0.0%,  1 ,0.2%,  17 ,4.0%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609827, BURNSIDE , Network 12 ,  308 ,  - ,0.0%,  301 ,97.7%,  - ,0.0%,  - ,0.0%,  5 ,1.6%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  1 ,0.3%
609828, BURR , Network 6 ,  479 ,  194 ,40.5%,  43 ,9.0%,  - ,0.0%,  1 ,0.2%,  168 ,35.1%,  46 ,9.6%,  27 ,5.6%,  - ,0.0%,  - ,0.0%
609829, BURROUGHS , Network 8 ,  320 ,  9 ,2.8%,  11 ,3.4%,  - ,0.0%,  - ,0.0%,  293 ,91.6%,  - ,0.0%,  7 ,2.2%,  - ,0.0%,  - ,0.0%
609832, BYRNE , Network 10 ,  614 ,  162 ,26.4%,  19 ,3.1%,  - ,0.0%,  2 ,0.3%,  425 ,69.2%,  5 ,0.8%,  - ,0.0%,  1 ,0.2%,  - ,0.0%
609833, CALDWELL , ISP ,  205 ,  - ,0.0%,  205 ,100.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610353, CALMECA , Network 8 ,  614 ,  4 ,0.7%,  7 ,1.1%,  - ,0.0%,  1 ,0.2%,  600 ,97.7%,  - ,0.0%,  2 ,0.3%,  - ,0.0%,  - ,0.0%
609835, CAMERON , Network 5 ,  565 ,  3 ,0.5%,  135 ,23.9%,  - ,0.0%,  1 ,0.2%,  422 ,74.7%,  3 ,0.5%,  1 ,0.2%,  - ,0.0%,  - ,0.0%
610539, CAMRAS , ISP ,  775 ,  37 ,4.8%,  13 ,1.7%,  - ,0.0%,  1 ,0.1%,  703 ,90.7%,  7 ,0.9%,  12 ,1.5%,  2 ,0.3%,  - ,0.0%
609836, CANTY , Network 1 ,  797 ,  334 ,41.9%,  17 ,2.1%,  - ,0.0%,  2 ,0.3%,  406 ,50.9%,  12 ,1.5%,  23 ,2.9%,  - ,0.0%,  3 ,0.4%
610024, CARDENAS , ISP ,  818 ,  6 ,0.7%,  25 ,3.1%,  - ,0.0%,  - ,0.0%,  784 ,95.8%,  2 ,0.2%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
609837, CARNEGIE , Network 9 ,  439 ,  3 ,0.7%,  423 ,96.4%,  - ,0.0%,  - ,0.0%,  8 ,1.8%,  3 ,0.7%,  2 ,0.5%,  - ,0.0%,  - ,0.0%
609839, CARROLL , Network 10 ,  417 ,  7 ,1.7%,  345 ,82.7%,  - ,0.0%,  1 ,0.2%,  61 ,14.6%,  3 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609842, CARSON , ISP ,  791 ,  2 ,0.3%,  22 ,2.8%,  - ,0.0%,  2 ,0.3%,  762 ,96.3%,  2 ,0.3%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
609844, CARTER , Network 9 ,  295 ,  - ,0.0%,  278 ,94.2%,  - ,0.0%,  - ,0.0%,  8 ,2.7%,  9 ,3.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609845, CARVER G , Network 13 ,  461 ,  - ,0.0%,  454 ,98.5%,  - ,0.0%,  - ,0.0%,  7 ,1.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609760, CARVER MILITARY HS , Network 17 ,  412 ,  3 ,0.7%,  170 ,41.3%,  - ,0.0%,  - ,0.0%,  236 ,57.3%,  3 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610021, CASALS , Network 5 ,  349 ,  7 ,2.0%,  117 ,33.5%,  - ,0.0%,  - ,0.0%,  223 ,63.9%,  1 ,0.3%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
609849, CASSELL , ISP ,  351 ,  234 ,66.7%,  23 ,6.6%,  - ,0.0%,  1 ,0.3%,  82 ,23.4%,  8 ,2.3%,  3 ,0.9%,  - ,0.0%,  - ,0.0%
610251, CATHER , Network 5 ,  340 ,  - ,0.0%,  323 ,95.0%,  - ,0.0%,  1 ,0.3%,  15 ,4.4%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609851, CHALMERS , Network 5 ,  218 ,  2 ,0.9%,  204 ,93.6%,  - ,0.0%,  - ,0.0%,  10 ,4.6%,  2 ,0.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609852, CHAPPELL , Network 2 ,  541 ,  226 ,41.8%,  33 ,6.1%,  - ,0.0%,  2 ,0.4%,  218 ,40.3%,  36 ,6.7%,  26 ,4.8%,  - ,0.0%,  - ,0.0%
609853, CHASE , Network 4 ,  376 ,  64 ,17.0%,  37 ,9.8%,  - ,0.0%,  - ,0.0%,  255 ,67.8%,  5 ,1.3%,  6 ,1.6%,  - ,0.0%,  9 ,2.4%
610148, CHAVEZ , ISP ,  823 ,  2 ,0.2%,  13 ,1.6%,  - ,0.0%,  3 ,0.4%,  804 ,97.7%,  - ,0.0%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
610248, CHICAGO ACADEMY ES , AUSL ,  565 ,  108 ,19.1%,  18 ,3.2%,  - ,0.0%,  1 ,0.2%,  413 ,73.1%,  8 ,1.4%,  15 ,2.7%,  2 ,0.4%,  - ,0.0%
610340, CHICAGO ACADEMY HS , AUSL ,  552 ,  83 ,15.0%,  30 ,5.4%,  - ,0.0%,  2 ,0.4%,  418 ,75.7%,  5 ,0.9%,  13 ,2.4%,  1 ,0.2%,  - ,0.0%
609753, CHICAGO AGRICULTURE HS , ISP ,  791 ,  204 ,25.8%,  401 ,50.7%,  - ,0.0%,  - ,0.0%,  171 ,21.6%,  8 ,1.0%,  4 ,0.5%,  3 ,0.4%,  - ,0.0%
609754, CHICAGO MILITARY HS , Network 17 ,  228 ,  4 ,1.8%,  142 ,62.3%,  - ,0.0%,  2 ,0.9%,  76 ,33.3%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  3 ,1.3%
609674, CHICAGO VOCATIONAL HS , Network 17 ,  626 ,  2 ,0.3%,  605 ,96.6%,  - ,0.0%,  - ,0.0%,  16 ,2.6%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  2 ,0.3%
610060, Chicago World Language Academy , Network 6 ,  454 ,  52 ,11.5%,  145 ,31.9%,  - ,0.0%,  1 ,0.2%,  143 ,31.5%,  23 ,5.1%,  90 ,19.8%,  - ,0.0%,  - ,0.0%
609854, CHOPIN , Network 5 ,  267 ,  19 ,7.1%,  83 ,31.1%,  - ,0.0%,  1 ,0.4%,  161 ,60.3%,  3 ,1.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609855, CHRISTOPHER , Network 8 ,  331 ,  10 ,3.0%,  41 ,12.4%,  - ,0.0%,  - ,0.0%,  279 ,84.3%,  - ,0.0%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
610347, CLAREMONT , Network 10 ,  340 ,  2 ,0.6%,  261 ,76.8%,  - ,0.0%,  - ,0.0%,  74 ,21.8%,  1 ,0.3%,  - ,0.0%,  2 ,0.6%,  - ,0.0%
609795, CLARK ES , ISP ,  146 ,  7 ,4.8%,  76 ,52.1%,  - ,0.0%,  - ,0.0%,  55 ,37.7%,  1 ,0.7%,  5 ,3.4%,  2 ,1.4%,  - ,0.0%
610244, CLARK HS , ISP ,  460 ,  - ,0.0%,  448 ,97.4%,  - ,0.0%,  1 ,0.2%,  10 ,2.2%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609856, CLAY , Network 13 ,  539 ,  33 ,6.1%,  99 ,18.4%,  - ,0.0%,  - ,0.0%,  391 ,72.5%,  14 ,2.6%,  1 ,0.2%,  - ,0.0%,  1 ,0.2%
609759, CLEMENTE HS , Network 15 ,  594 ,  19 ,3.2%,  204 ,34.3%,  - ,0.0%,  4 ,0.7%,  358 ,60.3%,  3 ,0.5%,  4 ,0.7%,  2 ,0.3%,  - ,0.0%
609857, CLEVELAND , Network 1 ,  462 ,  49 ,10.6%,  14 ,3.0%,  - ,0.0%,  4 ,0.9%,  366 ,79.2%,  11 ,2.4%,  18 ,3.9%,  - ,0.0%,  - ,0.0%
609859, CLINTON , ISP ,"  1,006 ",  125 ,12.4%,  146 ,14.5%,  - ,0.0%,  12 ,1.2%,  271 ,26.9%,  6 ,0.6%,  446 ,44.3%,  - ,0.0%,  - ,0.0%
609861, CLISSOLD , Network 10 ,  391 ,  60 ,15.3%,  285 ,72.9%,  - ,0.0%,  1 ,0.3%,  36 ,9.2%,  7 ,1.8%,  2 ,0.5%,  - ,0.0%,  - ,0.0%
610199, COLEMON , Network 13 ,  193 ,  - ,0.0%,  181 ,93.8%,  - ,0.0%,  - ,0.0%,  12 ,6.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609862, COLES , Network 12 ,  263 ,  - ,0.0%,  250 ,95.1%,  - ,0.0%,  - ,0.0%,  12 ,4.6%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610499, COLLINS HS , AUSL ,  223 ,  1 ,0.4%,  212 ,95.1%,  - ,0.0%,  - ,0.0%,  10 ,4.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610170, COLUMBIA EXPLORERS , ISP ,  748 ,  5 ,0.7%,  6 ,0.8%,  - ,0.0%,  1 ,0.1%,  732 ,97.9%,  1 ,0.1%,  3 ,0.4%,  - ,0.0%,  - ,0.0%
609863, COLUMBUS , ISP ,  278 ,  174 ,62.6%,  28 ,10.1%,  - ,0.0%,  - ,0.0%,  65 ,23.4%,  5 ,1.8%,  6 ,2.2%,  - ,0.0%,  - ,0.0%
609864, COOK , Network 11 ,  318 ,  - ,0.0%,  297 ,93.4%,  - ,0.0%,  - ,0.0%,  19 ,6.0%,  2 ,0.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609866, COONLEY , Network 2 ,  791 ,  538 ,68.0%,  13 ,1.6%,  - ,0.0%,  - ,0.0%,  127 ,16.1%,  77 ,9.7%,  34 ,4.3%,  2 ,0.3%,  - ,0.0%
609867, COOPER , Network 7 ,  408 ,  - ,0.0%,  9 ,2.2%,  - ,0.0%,  - ,0.0%,  397 ,97.3%,  - ,0.0%,  2 ,0.5%,  - ,0.0%,  - ,0.0%
609870, CORKERY , ISP ,  430 ,  6 ,1.4%,  64 ,14.9%,  - ,0.0%,  1 ,0.2%,  355 ,82.6%,  - ,0.0%,  2 ,0.5%,  2 ,0.5%,  - ,0.0%
609761, CORLISS HS , Network 17 ,  300 ,  1 ,0.3%,  285 ,95.0%,  - ,0.0%,  - ,0.0%,  12 ,4.0%,  2 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610355, COURTENAY , Network 2 ,  211 ,  15 ,7.1%,  112 ,53.1%,  - ,0.0%,  - ,0.0%,  70 ,33.2%,  5 ,2.4%,  9 ,4.3%,  - ,0.0%,  - ,0.0%
610561, CRANE MEDICAL HS , Network 15 ,  313 ,  2 ,0.6%,  267 ,85.3%,  - ,0.0%,  - ,0.0%,  41 ,13.1%,  2 ,0.6%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
609873, CROWN , Network 5 ,  125 ,  - ,0.0%,  113 ,90.4%,  - ,0.0%,  - ,0.0%,  11 ,8.8%,  1 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610003, CUFFE , Network 11 ,  228 ,  - ,0.0%,  225 ,98.7%,  - ,0.0%,  - ,0.0%,  3 ,1.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610004, CULLEN , Network 13 ,  164 ,  1 ,0.6%,  158 ,96.3%,  - ,0.0%,  - ,0.0%,  2 ,1.2%,  1 ,0.6%,  - ,0.0%,  - ,0.0%,  2 ,1.2%
609756, CURIE HS , Network 15 ,"  2,935 ",  32 ,1.1%,  295 ,10.1%,  - ,0.0%,  10 ,0.3%,"  2,532 ",86.3%,  1 ,0.0%,  63 ,2.1%,  2 ,0.1%,  - ,0.0%
609900, CURTIS , Network 13 ,  376 ,  3 ,0.8%,  352 ,93.6%,  - ,0.0%,  1 ,0.3%,  19 ,5.1%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610239, DALEY , Network 8 ,  488 ,  3 ,0.6%,  44 ,9.0%,  - ,0.0%,  1 ,0.2%,  440 ,90.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609875, DARWIN , Network 4 ,  504 ,  45 ,8.9%,  39 ,7.7%,  - ,0.0%,  2 ,0.4%,  405 ,80.4%,  6 ,1.2%,  6 ,1.2%,  1 ,0.2%,  - ,0.0%
610521, DAVIS M , ISP ,  133 ,  - ,0.0%,  113 ,85.0%,  - ,0.0%,  - ,0.0%,  19 ,14.3%,  1 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609876, DAVIS N , Network 8 ,  515 ,  11 ,2.1%,  10 ,1.9%,  - ,0.0%,  1 ,0.2%,  487 ,94.6%,  - ,0.0%,  5 ,1.0%,  - ,0.0%,  1 ,0.2%
609879, DAWES , Network 10 ,  985 ,  10 ,1.0%,  145 ,14.7%,  - ,0.0%,  2 ,0.2%,  821 ,83.4%,  5 ,0.5%,  - ,0.0%,  1 ,0.1%,  1 ,0.1%
610313, DE DIEGO , Network 5 ,  420 ,  16 ,3.8%,  108 ,25.7%,  - ,0.0%,  - ,0.0%,  285 ,67.9%,  8 ,1.9%,  3 ,0.7%,  - ,0.0%,  - ,0.0%
609880, DECATUR , Network 2 ,  323 ,  146 ,45.2%,  14 ,4.3%,  - ,0.0%,  1 ,0.3%,  45 ,13.9%,  27 ,8.4%,  90 ,27.9%,  - ,0.0%,  - ,0.0%
609883, DENEEN , Network 12 ,  465 ,  - ,0.0%,  458 ,98.5%,  - ,0.0%,  - ,0.0%,  7 ,1.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610367, DEPRIEST , Network 3 ,  465 ,  2 ,0.4%,  437 ,94.0%,  - ,0.0%,  - ,0.0%,  21 ,4.5%,  5 ,1.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610252, DETT , Network 6 ,  247 ,  - ,0.0%,  223 ,90.3%,  - ,0.0%,  1 ,0.4%,  21 ,8.5%,  2 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609884, DEVER , Network 1 ,  734 ,  218 ,29.7%,  12 ,1.6%,  - ,0.0%,  - ,0.0%,  442 ,60.2%,  11 ,1.5%,  17 ,2.3%,  3 ,0.4%,  31 ,4.2%
610402, DEVRY HS , Network 14 ,  134 ,  18 ,13.4%,  29 ,21.6%,  - ,0.0%,  - ,0.0%,  76 ,56.7%,  1 ,0.7%,  8 ,6.0%,  2 ,1.5%,  - ,0.0%
609885, DEWEY , Network 8 ,  242 ,  2 ,0.8%,  215 ,88.8%,  - ,0.0%,  - ,0.0%,  25 ,10.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609874, DIRKSEN , Network 1 ,"  1,047 ",  688 ,65.7%,  31 ,3.0%,  - ,0.0%,  3 ,0.3%,  142 ,13.6%,  9 ,0.9%,  173 ,16.5%,  1 ,0.1%,  - ,0.0%
610363, DISNEY , Network 2 ,"  1,461 ",  209 ,14.3%,  738 ,50.5%,  - ,0.0%,  8 ,0.5%,  302 ,20.7%,  63 ,4.3%,  139 ,9.5%,  2 ,0.1%,  - ,0.0%
610515, DISNEY II ES , Network 14 ,  434 ,  172 ,39.6%,  33 ,7.6%,  - ,0.0%,  2 ,0.5%,  179 ,41.2%,  20 ,4.6%,  28 ,6.5%,  - ,0.0%,  - ,0.0%
610564, DISNEY II HS , Network 14 ,  752 ,  124 ,16.5%,  164 ,21.8%,  - ,0.0%,  5 ,0.7%,  418 ,55.6%,  9 ,1.2%,  30 ,4.0%,  - ,0.0%,  2 ,0.3%
609887, DIXON , Network 12 ,  464 ,  1 ,0.2%,  452 ,97.4%,  - ,0.0%,  - ,0.0%,  11 ,2.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609891, DOOLITTLE , Network 9 ,  260 ,  - ,0.0%,  260 ,100.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609893, DORE , Network 10 ,  720 ,  149 ,20.7%,  19 ,2.6%,  - ,0.0%,  - ,0.0%,  536 ,74.4%,  5 ,0.7%,  8 ,1.1%,  3 ,0.4%,  - ,0.0%
610245, DOUGLASS HS , Network 15 ,  34 ,  - ,0.0%,  33 ,97.1%,  - ,0.0%,  - ,0.0%,  1 ,2.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609894, DRAKE , Network 9 ,  243 ,  1 ,0.4%,  231 ,95.1%,  - ,0.0%,  - ,0.0%,  10 ,4.1%,  - ,0.0%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
609896, DRUMMOND , Network 6 ,  305 ,  146 ,47.9%,  22 ,7.2%,  - ,0.0%,  - ,0.0%,  78 ,25.6%,  40 ,13.1%,  19 ,6.2%,  - ,0.0%,  - ,0.0%
610364, DUBOIS , Network 13 ,  202 ,  1 ,0.5%,  193 ,95.5%,  - ,0.0%,  - ,0.0%,  8 ,4.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610263, DULLES , Network 9 ,  668 ,  1 ,0.1%,  644 ,96.4%,  - ,0.0%,  - ,0.0%,  15 ,2.2%,  2 ,0.3%,  1 ,0.1%,  - ,0.0%,  5 ,0.7%
609676, DUNBAR HS , Network 17 ,  459 ,  - ,0.0%,  439 ,95.6%,  - ,0.0%,  1 ,0.2%,  16 ,3.5%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  2 ,0.4%
610188, DUNNE , Network 13 ,  206 ,  - ,0.0%,  204 ,99.0%,  - ,0.0%,  - ,0.0%,  1 ,0.5%,  1 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610352, DURKIN PARK , Network 10 ,  664 ,  25 ,3.8%,  74 ,11.1%,  - ,0.0%,  1 ,0.2%,  555 ,83.6%,  7 ,1.1%,  - ,0.0%,  2 ,0.3%,  - ,0.0%
610254, DVORAK , Network 7 ,  273 ,  - ,0.0%,  256 ,93.8%,  - ,0.0%,  - ,0.0%,  12 ,4.4%,  4 ,1.5%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
610587, DYETT ARTS HS , Network 17 ,  520 ,  2 ,0.4%,  508 ,97.7%,  - ,0.0%,  - ,0.0%,  8 ,1.5%,  2 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610316, EARHART , Network 12 ,  193 ,  - ,0.0%,  182 ,94.3%,  - ,0.0%,  - ,0.0%,  9 ,4.7%,  2 ,1.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609897, EARLE , Network 11 ,  251 ,  1 ,0.4%,  214 ,85.3%,  - ,0.0%,  - ,0.0%,  34 ,13.5%,  2 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609898, EBERHART , Network 10 ,"  1,028 ",  8 ,0.8%,  34 ,3.3%,  - ,0.0%,  3 ,0.3%,  981 ,95.4%,  2 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609899, EBINGER , Network 1 ,  729 ,  593 ,81.3%,  7 ,1.0%,  - ,0.0%,  1 ,0.1%,  88 ,12.1%,  12 ,1.6%,  27 ,3.7%,  1 ,0.1%,  - ,0.0%
609901, EDGEBROOK , Network 1 ,  455 ,  262 ,57.6%,  5 ,1.1%,  - ,0.0%,  - ,0.0%,  89 ,19.6%,  42 ,9.2%,  57 ,12.5%,  - ,0.0%,  - ,0.0%
609794, EDISON , Network 1 ,  263 ,  149 ,56.7%,  9 ,3.4%,  - ,0.0%,  1 ,0.4%,  29 ,11.0%,  31 ,11.8%,  44 ,16.7%,  - ,0.0%,  - ,0.0%
610523, EDISON PARK , Network 1 ,  413 ,  284 ,68.8%,  4 ,1.0%,  - ,0.0%,  - ,0.0%,  98 ,23.7%,  8 ,1.9%,  19 ,4.6%,  - ,0.0%,  - ,0.0%
609903, EDWARDS , Network 8 ,"  1,250 ",  24 ,1.9%,  17 ,1.4%,  - ,0.0%,  3 ,0.2%,"  1,191 ",95.3%,  2 ,0.2%,  7 ,0.6%,  1 ,0.1%,  5 ,0.4%
609904, ELLINGTON , Network 3 ,  435 ,  1 ,0.2%,  418 ,96.1%,  - ,0.0%,  2 ,0.5%,  14 ,3.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610592, ENGLEWOOD STEM HS , Network 16 ,  778 ,  2 ,0.3%,  701 ,90.1%,  - ,0.0%,  - ,0.0%,  71 ,9.1%,  3 ,0.4%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
609907, ERICSON , Network 5 ,  367 ,  1 ,0.3%,  363 ,98.9%,  - ,0.0%,  - ,0.0%,  3 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609908, ESMOND , Network 10 ,  247 ,  1 ,0.4%,  240 ,97.2%,  - ,0.0%,  - ,0.0%,  6 ,2.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609909, EVERETT , ISP ,  118 ,  6 ,5.1%,  2 ,1.7%,  - ,0.0%,  - ,0.0%,  97 ,82.2%,  4 ,3.4%,  9 ,7.6%,  - ,0.0%,  - ,0.0%
610319, EVERGREEN , Network 8 ,  201 ,  6 ,3.0%,  9 ,4.5%,  - ,0.0%,  1 ,0.5%,  178 ,88.6%,  2 ,1.0%,  5 ,2.5%,  - ,0.0%,  - ,0.0%
610362, EVERS , Network 11 ,  212 ,  1 ,0.5%,  204 ,96.2%,  - ,0.0%,  - ,0.0%,  6 ,2.8%,  1 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610057, FAIRFIELD , Network 10 ,  469 ,  - ,0.0%,  87 ,18.6%,  - ,0.0%,  - ,0.0%,  381 ,81.2%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609910, FALCONER , Network 3 ,  884 ,  25 ,2.8%,  13 ,1.5%,  - ,0.0%,  1 ,0.1%,  833 ,94.2%,  3 ,0.3%,  9 ,1.0%,  - ,0.0%,  - ,0.0%
610055, FARADAY , Network 5 ,  160 ,  - ,0.0%,  157 ,98.1%,  - ,0.0%,  - ,0.0%,  3 ,1.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609912, FARNSWORTH , Network 1 ,  473 ,  168 ,35.5%,  16 ,3.4%,  - ,0.0%,  1 ,0.2%,  207 ,43.8%,  12 ,2.5%,  69 ,14.6%,  - ,0.0%,  - ,0.0%
609704, FARRAGUT HS , Network 16 ,  445 ,  5 ,1.1%,  55 ,12.4%,  - ,0.0%,  1 ,0.2%,  383 ,86.1%,  - ,0.0%,  1 ,0.2%,  - ,0.0%,  - ,0.0%
609705, FENGER HS , Network 17 ,  230 ,  - ,0.0%,  221 ,96.1%,  - ,0.0%,  - ,0.0%,  9 ,3.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609917, FERNWOOD , Network 13 ,  265 ,  - ,0.0%,  259 ,97.7%,  - ,0.0%,  - ,0.0%,  5 ,1.9%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609918, FIELD , Network 2 ,  150 ,  8 ,5.3%,  62 ,41.3%,  - ,0.0%,  - ,0.0%,  72 ,48.0%,  6 ,4.0%,  1 ,0.7%,  1 ,0.7%,  - ,0.0%
609967, FINKL , Network 7 ,  208 ,  9 ,4.3%,  33 ,15.9%,  - ,0.0%,  - ,0.0%,  165 ,79.3%,  - ,0.0%,  - ,0.0%,  1 ,0.5%,  - ,0.0%
609919, FISKE , Network 9 ,  338 ,  1 ,0.3%,  317 ,93.8%,  - ,0.0%,  - ,0.0%,  16 ,4.7%,  3 ,0.9%,  1 ,0.3%,  - ,0.0%,  - ,0.0%
609708, FOREMAN HS , Network 14 ,  571 ,  24 ,4.2%,  94 ,16.5%,  - ,0.0%,  1 ,0.2%,  447 ,78.3%,  1 ,0.2%,  3 ,0.5%,  1 ,0.2%,  - ,0.0%
609924, FORT DEARBORN , Network 11 ,  328 ,  - ,0.0%,  317 ,96.6%,  - ,0.0%,  - ,0.0%,  9 ,2.7%,  2 ,0.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609927, FOSTER PARK , Network 11 ,  294 ,  - ,0.0%,  282 ,95.9%,  - ,0.0%,  - ,0.0%,  8 ,2.7%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  3 ,1.0%
609926, FRANKLIN , Network 4 ,  368 ,  94 ,25.5%,  192 ,52.2%,  - ,0.0%,  - ,0.0%,  50 ,13.6%,  17 ,4.6%,  15 ,4.1%,  - ,0.0%,  - ,0.0%
610503, FRAZIER PROSPECTIVE , ISP ,  131 ,  - ,0.0%,  125 ,95.4%,  - ,0.0%,  - ,0.0%,  6 ,4.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609928, FULLER , Network 9 ,  311 ,  - ,0.0%,  302 ,97.1%,  - ,0.0%,  1 ,0.3%,  5 ,1.6%,  2 ,0.6%,  - ,0.0%,  - ,0.0%,  1 ,0.3%
609929, FULTON , Network 8 ,  293 ,  1 ,0.3%,  90 ,30.7%,  - ,0.0%,  2 ,0.7%,  198 ,67.6%,  1 ,0.3%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
609930, FUNSTON , Network 4 ,  414 ,  7 ,1.7%,  33 ,8.0%,  - ,0.0%,  - ,0.0%,  371 ,89.6%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  1 ,0.2%
609709, GAGE PARK HS , Network 16 ,  338 ,  3 ,0.9%,  109 ,32.2%,  - ,0.0%,  - ,0.0%,  223 ,66.0%,  2 ,0.6%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
609933, GALE , Network 2 ,  215 ,  11 ,5.1%,  145 ,67.4%,  - ,0.0%,  - ,0.0%,  46 ,21.4%,  6 ,2.8%,  7 ,3.3%,  - ,0.0%,  - ,0.0%
610009, GALILEO , Network 6 ,  541 ,  55 ,10.2%,  137 ,25.3%,  - ,0.0%,  - ,0.0%,  307 ,56.7%,  22 ,4.1%,  19 ,3.5%,  1 ,0.2%,  - ,0.0%
609935, GALLISTEL , Network 13 ,  622 ,  6 ,1.0%,  43 ,6.9%,  - ,0.0%,  3 ,0.5%,  570 ,91.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
