Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,Albany Park Multicultural Academy,  282 ,  74 ,26.2%,  48 ,17.0%,  264 ,93.6%
Network 1,610209,Alessandro Volta Elementary School,  826 ,  545 ,66.0%,  81 ,9.8%,  713 ,86.3%
Network 1,609836,Arthur E Canty Elementary School,  825 ,  168 ,20.4%,  99 ,12.0%,  395 ,47.9%
Network 1,610083,Daniel C Beard Elementary School,  228 ,  117 ,51.3%,  121 ,53.1%,  98 ,43.0%
Network 1,609901,Edgebrook Elementary School,  509 ,  29 ,5.7%,  52 ,10.2%,  63 ,12.4%
Network 1,610523,Edison Park Elementary School,  545 ,  44 ,8.1%,  88 ,16.2%,  92 ,16.9%
Network 1,610137,Ernst Prussing Elementary School,  727 ,  240 ,33.0%,  89 ,12.2%,  504 ,69.3%
Network 1,609874,Everett McKinley Dirksen Elementary School,  936 ,  507 ,54.2%,  102 ,10.9%,  603 ,64.4%
Network 1,610163,Frederick Stock Elementary School,  229 ,  31 ,13.5%,  104 ,45.4%,  24 ,10.5%
Network 1,609857,Grover Cleveland Elementary School,  555 ,  223 ,40.2%,  148 ,26.7%,  427 ,76.9%
Network 1,610182,Hannah G Solomon Elementary School,  362 ,  134 ,37.0%,  75 ,20.7%,  171 ,47.2%
Network 1,609972,Helge A Haugan Elementary School,  891 ,  567 ,63.6%,  118 ,13.2%,  752 ,84.4%
Network 1,609798,Hiram H Belding Elementary School,  583 ,  145 ,24.9%,  81 ,13.9%,  300 ,51.5%
Network 1,609912,James B Farnsworth Elementary School,  585 ,  228 ,39.0%,  154 ,26.3%,  328 ,56.1%
Network 1,609796,Jean Baptiste Beaubien Elementary School,"  1,047 ",  188 ,18.0%,  108 ,10.3%,  475 ,45.4%
Network 1,610089,John B Murphy Elementary School,  543 ,  185 ,34.1%,  80 ,14.7%,  372 ,68.5%
Network 1,610111,John Palmer Elementary School,  758 ,  294 ,38.8%,  108 ,14.3%,  548 ,72.3%
Network 1,609937,John W Garvy Elementary School,  830 ,  167 ,20.1%,  92 ,11.1%,  342 ,41.2%
Network 1,610159,Jonathan Y Scammon Elementary School,  710 ,  318 ,44.8%,  78 ,11.0%,  578 ,81.4%
Network 1,610127,Mary Gage Peterson Elementary School,  888 ,  324 ,36.5%,  110 ,12.4%,  577 ,65.0%
Network 1,609792,Newton Bateman Elementary School,  948 ,  314 ,33.1%,  129 ,13.6%,  714 ,75.3%
Network 1,609810,Norman A Bridge Elementary School,"  1,112 ",  329 ,29.6%,  141 ,12.7%,  674 ,60.6%
Network 1,610354,North River Elementary School,  300 ,  165 ,55.0%,  73 ,24.3%,  248 ,82.7%
Network 1,610099,Norwood Park Elementary School,  442 ,  37 ,8.4%,  43 ,9.7%,  72 ,16.3%
Network 1,610105,Oriole Park Elementary School,  739 ,  61 ,8.3%,  71 ,9.6%,  181 ,24.5%
Network 1,609988,Patrick Henry Elementary School,  522 ,  276 ,52.9%,  86 ,16.5%,  462 ,88.5%
Network 1,610145,Peter A Reinberg Elementary School,  746 ,  315 ,42.2%,  156 ,20.9%,  574 ,76.9%
Network 1,610135,Portage Park Elementary School,  910 ,  154 ,16.9%,  129 ,14.2%,  629 ,69.1%
Network 1,609995,Rufus M Hitch Elementary School,  571 ,  118 ,20.7%,  80 ,14.0%,  303 ,53.1%
Network 1,609794,Thomas A Edison Regional Gifted Center ES,  265 ,,,  11 ,4.2%,  17 ,6.4%
Network 1,610230,Wildwood IB World Magnet School,  476 ,  28 ,5.9%,  44 ,9.2%,  54 ,11.3%
Network 1,609884,William E Dever Elementary School,  741 ,  231 ,31.2%,  88 ,11.9%,  442 ,59.7%
Network 1,609994,William G Hibbard Elementary School,  960 ,  544 ,56.7%,  103 ,10.7%,  780 ,81.3%
Network 1,610104,William J Onahan Elementary School,  662 ,  77 ,11.6%,  89 ,13.4%,  195 ,29.5%
Network 1,609949,William P Gray Elementary School,"  1,170 ",  369 ,31.5%,  155 ,13.3%,  923 ,78.9%
Network 2,609804,Daniel Boone Elementary School,  782 ,  384 ,49.1%,  87 ,11.1%,  667 ,85.3%
Network 2,609859,DeWitt Clinton Elementary School,"  1,152 ",  647 ,56.2%,  80 ,6.9%,  981 ,85.2%
Network 2,609918,Eugene Field Elementary School,  157 ,  69 ,44.0%,  26 ,16.6%,  142 ,90.5%
Network 2,609779,George Armstrong International Studies ES,"  1,360 ",  548 ,40.3%,  152 ,11.2%,"  1,119 ",82.3%
Network 2,610196,George B Swift Elementary Specialty School,  682 ,  304 ,44.6%,  110 ,16.1%,  484 ,71.0%
Network 2,610122,Helen Peirce International Studies ES,"  1,048 ",  196 ,18.7%,  117 ,11.2%,  582 ,55.5%
Network 2,610070,James B McPherson Elementary School,  682 ,  201 ,29.5%,  160 ,23.5%,  495 ,72.6%
Network 2,609866,John C Coonley Elementary School,"  1,027 ",  51 ,5.0%,  113 ,11.0%,  159 ,15.5%
Network 2,610269,John T McCutcheon Elementary School,  374 ,  134 ,35.8%,  106 ,28.3%,  299 ,80.0%
Network 2,609865,Jordan Elementary Community School,  474 ,  245 ,51.7%,  66 ,13.9%,  409 ,86.3%
Network 2,610022,Joyce Kilmer Elementary School,  776 ,  427 ,55.0%,  165 ,21.3%,  644 ,83.0%
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,  365 ,  87 ,23.8%,  115 ,31.5%,  272 ,74.5%
Network 2,610011,Minnie Mars Jamieson Elementary School,  883 ,  256 ,29.0%,  126 ,14.3%,  586 ,66.4%
Network 2,610284,New Field Elementary School,  664 ,  326 ,49.1%,  102 ,15.4%,  483 ,72.7%
Network 2,609880,Stephen Decatur Classical Elementary School,  284 ,,,  12 ,4.2%,  44 ,15.5%
Network 2,609933,Stephen F Gale Elementary Community Academy,  301 ,  90 ,29.9%,  60 ,19.9%,  252 ,83.7%
Network 2,609976,Stephen K Hayt Elementary School,  954 ,  475 ,49.8%,  138 ,14.5%,  779 ,81.7%
Network 2,610191,Stone Elementary Scholastic Academy,  622 ,  106 ,17.0%,  55 ,8.8%,  299 ,48.1%
Network 2,610220,Thomas J Waters Elementary School,  641 ,  70 ,10.9%,  63 ,9.8%,  200 ,31.2%
Network 3,609904,Edward K Ellington Elementary School,  483 ,  4 ,0.8%,  96 ,19.9%,  411 ,85.1%
Network 3,610235,Ella Flagg Young Elementary School,  724 ,  40 ,5.5%,  92 ,12.7%,  646 ,89.2%
Network 3,610165,Franz Peter Schubert Elementary School,  665 ,  407 ,61.2%,  88 ,13.2%,  572 ,86.0%
Network 3,610305,George Leland Elementary School,  386 ,,,  70 ,18.1%,  330 ,85.5%
Network 3,610068,Hanson Park Elementary School,"  1,471 ",  654 ,44.5%,  234 ,15.9%,"  1,253 ",85.2%
Network 3,610158,Harriet E Sayre Elementary Language Academy,  439 ,  56 ,12.8%,  55 ,12.5%,  292 ,66.5%
Network 3,610092,Henry H Nash Elementary School,  242 ,,,  27 ,11.2%,  208 ,86.0%
Network 3,609975,John Hay Elementary Community Academy,  360 ,  9 ,2.5%,  44 ,12.2%,  304 ,84.4%
Network 3,610043,Joseph Lovett Elementary School,  342 ,  22 ,6.4%,  32 ,9.4%,  272 ,79.5%
Network 3,610041,Josephine C Locke Elementary School,"  1,240 ",  487 ,39.3%,  187 ,15.1%,"  1,025 ",82.7%
Network 3,609910,Laughlin Falconer Elementary School,"  1,107 ",  481 ,43.5%,  151 ,13.6%,  944 ,85.3%
Network 3,609818,Luther Burbank Elementary School,  887 ,  440 ,49.6%,  118 ,13.3%,  759 ,85.6%
Network 3,610539,Marvin Camras Elementary School,  946 ,  380 ,40.2%,  136 ,14.4%,  765 ,80.9%
Network 3,610046,Mary Lyon Elementary School,"  1,347 ",  506 ,37.6%,  158 ,11.7%,"  1,195 ",88.7%
Network 3,609830,Milton Brunson Math & Science Specialty ES,  481 ,  18 ,3.7%,  69 ,14.4%,  423 ,87.9%
Network 3,610051,Northwest Middle School,  541 ,  162 ,29.9%,  87 ,16.1%,  511 ,94.5%
Network 3,610367,Oscar DePriest Elementary School,  558 ,  10 ,1.8%,  123 ,22.0%,  496 ,88.9%
Network 3,610183,Spencer Technology Academy,  494 ,  3 ,0.6%,  63 ,12.8%,  441 ,89.3%
Network 4,609799,Alexander Graham Bell Elementary School,"  1,003 ",  55 ,5.5%,  111 ,11.1%,  137 ,13.7%
Network 4,609963,Alexander Hamilton Elementary School,  509 ,  16 ,3.1%,  47 ,9.2%,  70 ,13.8%
Network 4,610144,Frank W Reilly Elementary School,  852 ,  383 ,45.0%,  126 ,14.8%,  726 ,85.2%
Network 4,609930,Frederick Funston Elementary School,  464 ,  239 ,51.5%,  85 ,18.3%,  400 ,86.2%
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts,  318 ,  66 ,20.8%,  63 ,19.8%,  161 ,50.6%
Network 4,610048,George Manierre Elementary School,  357 ,  2 ,0.6%,  64 ,17.9%,  318 ,89.1%
Network 4,609974,Hawthorne Elementary Scholastic Academy,  566 ,  16 ,2.8%,  50 ,8.8%,  120 ,21.2%
Network 4,609850,Horace Greeley Elementary School,  547 ,  143 ,26.1%,  51 ,9.3%,  441 ,80.6%
Network 4,610078,Inter-American Elementary Magnet School,  695 ,  205 ,29.5%,  61 ,8.8%,  357 ,51.4%
Network 4,609803,James G Blaine Elementary School,  823 ,  53 ,6.4%,  103 ,12.5%,  121 ,14.7%
Network 4,610074,James Monroe Elementary School,  765 ,  272 ,35.6%,  118 ,15.4%,  683 ,89.3%
Network 4,609942,Johann W von Goethe Elementary School,  749 ,  167 ,22.3%,  95 ,12.7%,  467 ,62.4%
Network 4,609782,John J Audubon Elementary School,  571 ,  28 ,4.9%,  46 ,8.1%,  87 ,15.2%
Network 4,610033,LaSalle Elementary Language Academy,  516 ,  14 ,2.7%,  68 ,13.2%,  176 ,34.1%
Network 4,610325,Logandale Middle School,  706 ,  284 ,40.2%,  80 ,11.3%,  597 ,84.6%
Network 4,609809,Lorenz Brentano Math & Science Academy ES,  565 ,  78 ,13.8%,  63 ,11.2%,  305 ,54.0%
Network 4,610094,Louis Nettelhorst Elementary School,  757 ,  84 ,11.1%,  68 ,9.0%,  162 ,21.4%
Network 4,609774,Louisa May Alcott College Preparatory ES,  649 ,  30 ,4.6%,  65 ,10.0%,  86 ,13.3%
Network 4,610524,Louisa May Alcott College Preparatory HS,  318 ,  25 ,7.9%,  60 ,18.9%,  268 ,84.3%
Network 4,610059,Oscar F Mayer Elementary School,  758 ,  21 ,2.8%,  70 ,9.2%,  91 ,12.0%
