Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 4,609853,Salmon P Chase Elementary School,  407 ,  183 ,45.0%,  101 ,24.8%,  327 ,80.3%
Network 4,609968,Sharon Christa McAuliffe Elementary School,  680 ,  290 ,42.7%,  83 ,12.2%,  605 ,89.0%
Network 4,610534,Skinner North,  523 ,,,  26 ,5.0%,  61 ,11.7%
Network 4,610095,Walter L Newberry Math & Science Academy ES,  493 ,  31 ,6.3%,  71 ,14.4%,  310 ,62.9%
Network 4,610136,William H Prescott Elementary School,  450 ,  43 ,9.6%,  63 ,14.0%,  181 ,40.2%
Network 4,610097,William P Nixon Elementary School,  743 ,  396 ,53.3%,  105 ,14.1%,  648 ,87.2%
Network 4,610088,Wolfgang A Mozart Elementary School,  566 ,  257 ,45.4%,  69 ,12.2%,  510 ,90.1%
Network 5,610131,Ambrose Plamondon Elementary School,  134 ,  33 ,24.6%,  15 ,11.2%,  117 ,87.3%
Network 5,610005,Charles Evans Hughes Elementary School,  265 ,,,  44 ,16.6%,  232 ,87.6%
Network 5,610194,Charles Sumner  Math & Science Community Acad ES,  282 ,  1 ,0.4%,  32 ,11.4%,  244 ,86.5%
Network 5,609873,Crown Community Academy of Fine Arts Center ES,  212 ,  5 ,2.4%,  30 ,14.2%,  189 ,89.2%
Network 5,610221,Daniel Webster Elementary School,  280 ,,,  19 ,6.8%,  226 ,80.7%
Network 5,610073,Ellen Mitchell Elementary School,  420 ,  53 ,12.6%,  45 ,10.7%,  193 ,46.0%
Network 5,610503,Frazier Prospective IB Magnet ES,  203 ,  1 ,0.5%,  22 ,10.8%,  177 ,87.2%
Network 5,609854,Frederic Chopin Elementary School,  391 ,  145 ,37.1%,  102 ,26.1%,  343 ,87.7%
Network 5,610293,Genevieve Melody Elementary School,  430 ,,,  50 ,11.6%,  384 ,89.3%
Network 5,610202,George W Tilton Elementary School,  308 ,  1 ,0.3%,  38 ,12.3%,  264 ,85.7%
Network 5,610192,Harriet Beecher Stowe Elementary School,  635 ,  256 ,40.3%,  101 ,15.9%,  549 ,86.5%
Network 5,609797,Jacob Beidler Elementary School,  397 ,  2 ,0.5%,  40 ,10.1%,  329 ,82.9%
Network 5,610044,James Russell Lowell Elementary School,  400 ,  100 ,25.0%,  111 ,27.8%,  342 ,85.5%
Network 5,610271,Jensen Elementary Scholastic Academy,  376 ,  1 ,0.3%,  44 ,11.7%,  316 ,84.0%
Network 5,609954,John Milton Gregory Elementary School,  341 ,  1 ,0.3%,  50 ,14.7%,  307 ,90.0%
Network 5,610313,Jose De Diego Elementary Community Academy,  588 ,  66 ,11.2%,  83 ,14.1%,  486 ,82.7%
Network 5,609925,Joseph Kellman Corporate Community ES,  304 ,  4 ,1.3%,  10 ,3.3%,  269 ,88.5%
Network 5,610133,Laura S Ward Elementary School,  388 ,  10 ,2.6%,  43 ,11.1%,  347 ,89.4%
Network 5,610034,Lawndale Elementary Community Academy,  231 ,,,  31 ,13.4%,  203 ,87.9%
Network 5,609907,Leif Ericson Elementary Scholastic Academy,  498 ,  2 ,0.4%,  42 ,8.4%,  424 ,85.1%
Network 5,610055,Michael Faraday Elementary School,  245 ,,,  29 ,11.8%,  219 ,89.4%
Network 5,610234,Richard Yates Elementary School,  375 ,  138 ,36.8%,  111 ,29.6%,  300 ,80.0%
Network 5,610056,Roswell B Mason Elementary School,  361 ,  7 ,1.9%,  52 ,14.4%,  326 ,90.3%
Network 5,610100,West Park Elementary Academy,  558 ,  206 ,36.9%,  67 ,12.0%,  487 ,87.3%
Network 5,610251,Willa Cather Elementary School,  369 ,  3 ,0.8%,  61 ,16.5%,  317 ,85.9%
Network 5,610123,William Penn Elementary School,  280 ,  13 ,4.6%,  61 ,21.8%,  245 ,87.5%
Network 6,610229,A.N. Pritzker School,  733 ,  51 ,7.0%,  55 ,7.5%,  299 ,40.8%
Network 6,609947,Alexander Graham Elementary School,  411 ,  79 ,19.2%,  53 ,12.9%,  353 ,85.9%
Network 6,610060,Andrew Jackson Elementary Language Academy,  530 ,  63 ,11.9%,  42 ,7.9%,  233 ,44.0%
Network 6,610009,Galileo Math & Science Scholastic Academy ES,  565 ,  98 ,17.4%,  63 ,11.2%,  319 ,56.5%
Network 6,610107,James Otis Elementary School,  405 ,  158 ,39.0%,  114 ,28.2%,  352 ,86.9%
Network 6,609959,John Charles Haines Elementary School,  682 ,  191 ,28.0%,  27 ,4.0%,  544 ,79.8%
Network 6,610180,John M Smyth Elementary School,  482 ,  7 ,1.5%,  84 ,17.4%,  408 ,84.7%
Network 6,609828,Jonathan Burr Elementary School,  476 ,  50 ,10.5%,  60 ,12.6%,  143 ,30.0%
Network 6,609777,Phillip D Armour Elementary School,  265 ,  83 ,31.3%,  36 ,13.6%,  206 ,77.7%
Network 6,610138,Pulaski International School of Chicago,  898 ,  136 ,15.1%,  76 ,8.5%,  533 ,59.4%
Network 6,609979,Robert Healy Elementary School,"  1,410 ",  350 ,24.8%,  57 ,4.0%,"  1,096 ",77.7%
Network 6,610252,Robert Nathaniel Dett Elementary School,  310 ,  6 ,1.9%,  89 ,28.7%,  272 ,87.7%
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES,  186 ,  89 ,47.9%,  65 ,35.0%,  155 ,83.3%
Network 6,610405,Suder Montessori Magnet ES,  379 ,  26 ,6.9%,  50 ,13.2%,  190 ,50.1%
Network 6,609896,Thomas Drummond Elementary School,  351 ,  17 ,4.8%,  28 ,8.0%,  81 ,23.1%
Network 6,610121,Washington Irving Elementary School,  385 ,  18 ,4.7%,  67 ,17.4%,  326 ,84.7%
Network 6,609812,William H Brown Elementary School,  226 ,  13 ,5.8%,  76 ,33.6%,  211 ,93.4%
Network 6,610308,Wilma Rudolph Elementary Learning Center,  78 ,  37 ,47.4%,  74 ,94.9%,  60 ,76.9%
Network 7,609966,Charles G Hammond Elementary School,  384 ,  202 ,52.6%,  78 ,20.3%,  354 ,92.2%
Network 7,610063,Cyrus H McCormick Elementary School,  610 ,  327 ,53.6%,  66 ,10.8%,  560 ,91.8%
Network 7,610227,Eli Whitney Elementary School,  899 ,  492 ,54.7%,  91 ,10.1%,  817 ,90.9%
Network 7,610215,Francisco I Madero Middle School,  321 ,  85 ,26.5%,  51 ,15.9%,  314 ,97.8%
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School,  544 ,  260 ,47.8%,  56 ,10.3%,  500 ,91.9%
Network 7,610125,Irma C Ruiz Elementary School,  666 ,  230 ,34.5%,  81 ,12.2%,  566 ,85.0%
Network 7,610216,John A Walsh Elementary School,  300 ,  103 ,34.3%,  67 ,22.3%,  236 ,78.7%
Network 7,610228,John Greenleaf Whittier Elementary School,  204 ,  123 ,60.3%,  30 ,14.7%,  183 ,89.7%
Network 7,610184,John Spry Elementary Community School,  510 ,  254 ,49.8%,  61 ,12.0%,  465 ,91.2%
Network 7,609950,Josefa Ortiz De Dominguez Elementary School,  519 ,  273 ,52.6%,  84 ,16.2%,  417 ,80.4%
Network 7,609938,Joseph E Gary Elementary School,"  1,111 ",  542 ,48.8%,  159 ,14.3%,"  1,029 ",92.6%
Network 7,609872,Manuel Perez Elementary School,  316 ,  122 ,38.6%,  45 ,14.2%,  268 ,84.8%
Network 7,610017,Maria Saucedo Elementary Scholastic Academy,  940 ,  429 ,45.6%,  116 ,12.3%,  833 ,88.6%
Network 7,610329,Orozco Fine Arts & Sciences Elementary School,  542 ,  213 ,39.3%,  57 ,10.5%,  481 ,88.8%
Network 7,609867,Peter Cooper Elementary Dual Language Academy,  418 ,  255 ,61.0%,  70 ,16.8%,  366 ,87.6%
Network 7,610013,Pilsen Elementary Community Academy,  307 ,  126 ,41.0%,  58 ,18.9%,  275 ,89.6%
Network 7,609921,Telpochcalli Elementary School,  275 ,  182 ,66.2%,  55 ,20.0%,  223 ,81.1%
Network 7,609967,William F Finkl Elementary School,  318 ,  139 ,43.7%,  74 ,23.3%,  276 ,86.8%
Network 8,609993,Agustin Lara Elementary Academy,  410 ,  188 ,45.9%,  62 ,15.1%,  362 ,88.3%
Network 8,610317,Brighton Park Elementary School,  399 ,  194 ,48.6%,  44 ,11.0%,  363 ,91.0%
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language,  777 ,  463 ,59.6%,  97 ,12.5%,  675 ,86.9%
Network 8,610170,Columbia Explorers Elementary Academy,  985 ,  389 ,39.5%,  110 ,11.2%,  865 ,87.8%
Network 8,609909,Edward Everett Elementary School,  153 ,  85 ,55.6%,  37 ,24.2%,  130 ,85.0%
Network 8,610319,Evergreen Academy Middle School,  307 ,  71 ,23.1%,  49 ,16.0%,  287 ,93.5%
Network 8,610096,Florence Nightingale Elementary School,"  1,243 ",  605 ,48.7%,  196 ,15.8%,"  1,097 ",88.3%
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science,"  1,005 ",  272 ,27.1%,  111 ,11.0%,  956 ,95.1%
Network 8,609983,James Hedges Elementary School,  610 ,  405 ,66.4%,  94 ,15.4%,  557 ,91.3%
Network 8,610174,James Shields Elementary School,  689 ,  319 ,46.3%,  60 ,8.7%,  593 ,86.1%
Network 8,610559,James Shields Middle School,  592 ,  159 ,26.9%,  108 ,18.2%,  573 ,96.8%
Network 8,609964,John H Hamline Elementary School,  547 ,  336 ,61.4%,  92 ,16.8%,  487 ,89.0%
Network 8,609876,Nathan S Davis Elementary School,  733 ,  384 ,52.4%,  105 ,14.3%,  629 ,85.8%
Network 8,609952,Nathanael Greene Elementary School,  414 ,  207 ,50.0%,  42 ,10.1%,  349 ,84.3%
Network 8,610239,Richard J Daley Elementary Academy,  563 ,  295 ,52.4%,  62 ,11.0%,  527 ,93.6%
Network 8,610157,Sidney Sawyer Elementary School,"  1,457 ",  559 ,38.4%,  133 ,9.1%,"  1,315 ",90.3%
Network 8,610226,Socorro Sandoval Elementary School,  891 ,  519 ,58.3%,  74 ,8.3%,  739 ,82.9%
Network 8,610589,Sor Juana Ines de la Cruz ES,  92 ,  19 ,20.7%,  6 ,6.5%,  38 ,41.3%
Network 8,609855,Walter S Christopher Elementary School,  375 ,  217 ,57.9%,  197 ,52.5%,  336 ,89.6%
Network 8,610167,William H Seward Communication Arts Academy ES,  616 ,  297 ,48.2%,  67 ,10.9%,  562 ,91.2%
Network 9,610175,Beulah Shoesmith Elementary School,  355 ,  22 ,6.2%,  34 ,9.6%,  256 ,72.1%
Network 9,609969,Bret Harte Elementary School,  329 ,  14 ,4.3%,  41 ,12.5%,  227 ,69.0%
Network 9,610590,Bronzeville Classical Elementary School,  89 ,  1 ,1.1%,  2 ,2.3%,  31 ,34.8%
Network 9,610345,Carter G Woodson South Elementary School,  334 ,  3 ,0.9%,  72 ,21.6%,  301 ,90.1%
Network 9,610030,Charles Kozminski Elementary Community Academy,  258 ,  4 ,1.6%,  28 ,10.9%,  194 ,75.2%
Network 9,609819,Edmond Burke Elementary School,  414 ,  5 ,1.2%,  64 ,15.5%,  353 ,85.3%
Network 9,610246,Edward Beasley Elementary Magnet Academic Center,"  1,044 ",,,  72 ,6.9%,  846 ,81.0%
Network 9,610065,Emmett Louis Till Math and Science Academy,  330 ,,,  56 ,17.0%,  290 ,87.9%
Network 9,610110,Ida B Wells Preparatory Elementary Academy,  364 ,  2 ,0.6%,  26 ,7.1%,  299 ,82.1%
Network 9,610276,Irvin C Mollison Elementary School,  281 ,  1 ,0.4%,  26 ,9.3%,  238 ,84.7%
Network 9,610256,Jackie Robinson Elementary School,  137 ,,,  10 ,7.3%,  94 ,68.6%
Network 9,609891,James R Doolittle Jr Elementary School,  263 ,  2 ,0.8%,  29 ,11.0%,  225 ,85.6%
Network 9,609894,John B Drake Elementary School,  333 ,  3 ,0.9%,  54 ,16.2%,  277 ,83.2%
Network 9,609919,John Fiske Elementary School,  433 ,  1 ,0.2%,  41 ,9.5%,  376 ,86.8%
Network 9,610126,John J Pershing Elementary Humanities Magnet,  575 ,  11 ,1.9%,  60 ,10.4%,  430 ,74.8%
Network 9,610237,Ludwig Van Beethoven Elementary School,  322 ,  1 ,0.3%,  45 ,14.0%,  282 ,87.6%
Network 9,610090,Phillip Murray Elementary Language Academy,  495 ,  17 ,3.4%,  55 ,11.1%,  303 ,61.2%
Network 9,609987,Thomas A Hendricks Elementary Community Academy,  238 ,  5 ,2.1%,  78 ,32.8%,  210 ,88.2%
Network 9,610143,William C Reavis Math & Science Specialty ES,  257 ,  10 ,3.9%,  44 ,17.1%,  205 ,79.8%
Network 9,610142,William H Ray Elementary School,  712 ,  64 ,9.0%,  77 ,10.8%,  318 ,44.7%
Network 9,609977,Woodlawn Community Elementary School,  207 ,  3 ,1.5%,  13 ,6.3%,  164 ,79.2%
Network 10,610185,Adlai E Stevenson Elementary School,"  1,210 ",  498 ,41.2%,  196 ,16.2%,  993 ,82.1%
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES,  264 ,,,  32 ,12.1%,  210 ,79.6%
Network 10,610084,Annie Keller Regional Gifted Center,  225 ,  5 ,2.2%,  2 ,0.9%,  57 ,25.3%
Network 10,610287,Ashburn Community Elementary School,  452 ,  26 ,5.8%,  72 ,15.9%,  324 ,71.7%
Network 10,609871,Barbara Vick Early Childhood & Family Center,  339 ,  90 ,26.6%,  148 ,43.7%,  85 ,25.1%
Network 10,610087,Blair Early Childhood Center,  231 ,  70 ,30.3%,  168 ,72.7%,  101 ,43.7%
Network 10,609839,Carroll-Rosenwald Specialty Elementary School,  489 ,  11 ,2.3%,  67 ,13.7%,  389 ,79.6%
Network 10,609879,Charles Gates Dawes Elementary School,  964 ,  260 ,27.0%,  157 ,16.3%,  874 ,90.7%
Network 10,610347,Claremont Academy Elementary School,  458 ,  38 ,8.3%,  98 ,21.4%,  413 ,90.2%
Network 10,610077,Donald Morrill Math & Science Elementary School,  599 ,  239 ,39.9%,  64 ,10.7%,  524 ,87.5%
Network 10,610352,Durkin Park Elementary School,  676 ,  231 ,34.2%,  90 ,13.3%,  536 ,79.3%
Network 10,610006,Edward N Hurley Elementary School,  852 ,  327 ,38.4%,  100 ,11.7%,  716 ,84.0%
Network 10,610195,Elizabeth H Sutherland Elementary School,  604 ,,,  72 ,11.9%,  247 ,40.9%
Network 10,609908,Esmond Elementary School,  256 ,  2 ,0.8%,  46 ,18.0%,  212 ,82.8%
Network 10,610057,Fairfield Elementary Academy,  562 ,  264 ,47.0%,  59 ,10.5%,  511 ,90.9%
Network 10,610067,Francis M McKay Elementary School,  775 ,  109 ,14.1%,  113 ,14.6%,  644 ,83.1%
Network 10,609861,Henry R Clissold Elementary School,  511 ,  8 ,1.6%,  90 ,17.6%,  197 ,38.6%
Network 10,609893,John C Dore Elementary School,  701 ,  91 ,13.0%,  116 ,16.6%,  309 ,44.1%
Network 10,610207,John H Vanderpoel Elementary Magnet School,  255 ,  1 ,0.4%,  31 ,12.2%,  163 ,63.9%
Network 10,610016,Kate S Kellogg Elementary School,  269 ,  1 ,0.4%,  42 ,15.6%,  101 ,37.6%
Network 10,609807,Lionel Hampton Fine & Performing Arts ES,  521 ,  133 ,25.5%,  96 ,18.4%,  448 ,86.0%
Network 10,610206,Mark Twain Elementary School,"  1,086 ",  238 ,21.9%,  106 ,9.8%,  820 ,75.5%
Network 10,609832,Michael M Byrne Elementary School,  687 ,  85 ,12.4%,  104 ,15.1%,  366 ,53.3%
Network 10,609960,Nathan Hale Elementary School,  900 ,  174 ,19.3%,  118 ,13.1%,  589 ,65.4%
Network 10,609981,Phoebe Apperson Hearst Elementary School,  356 ,  104 ,29.2%,  102 ,28.7%,  299 ,84.0%
Network 10,610588,Robert J. Richardson Middle School,"  1,127 ",  286 ,25.4%,  122 ,10.8%,"  1,064 ",94.4%
Network 10,609956,Robert L Grimes Elementary School,  442 ,  147 ,33.3%,  55 ,12.4%,  336 ,76.0%
Network 10,610109,William Bishop Owen Scholastic Academy ES,  259 ,  2 ,0.8%,  28 ,10.8%,  138 ,53.3%
Network 11,609869,Anna R. Langford Community Academy,  238 ,,,  21 ,8.8%,  206 ,86.6%
Network 11,610037,Arthur A Libby Elementary School,  344 ,  67 ,19.5%,  65 ,18.9%,  318 ,92.4%
Network 11,609941,Asa Philip Randolph Elementary School,  498 ,  20 ,4.0%,  51 ,10.2%,  449 ,90.2%
Network 11,610290,Benjamin E Mays Elementary Academy,  400 ,  2 ,0.5%,  61 ,15.3%,  339 ,84.8%
Network 11,610238,Carrie Jacobs Bond Elementary School,  268 ,  1 ,0.4%,  59 ,22.0%,  222 ,82.8%
Network 11,609986,Charles R Henderson Elementary School,  280 ,  31 ,11.1%,  36 ,12.9%,  236 ,84.3%
Network 11,609897,Charles W Earle Elementary School,  352 ,  7 ,2.0%,  53 ,15.1%,  294 ,83.5%
Network 11,609790,Clara Barton Elementary School,  386 ,  2 ,0.5%,  82 ,21.2%,  342 ,88.6%
Network 11,610223,Daniel S Wentworth Elementary School,  433 ,  11 ,2.5%,  89 ,20.6%,  377 ,87.1%
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice,  229 ,  1 ,0.4%,  42 ,18.3%,  196 ,85.6%
