School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
610139,PULLMAN,Network 13,314,34,10.8%,34,10.8%,246,78.3%
610334,RABY HS,Network 15,149,13,8.7%,79,53.0%,146,98.0%
609941,RANDOLPH,Network 11,294,31,10.5%,33,11.2%,247,84.0%
610141,RAVENSWOOD,Network 2,505,62,12.3%,62,12.3%,160,31.7%
610142,RAY,Network 9,612,44,7.2%,77,12.6%,278,45.4%
610143,REAVIS,Network 9,272,8,2.9%,74,27.2%,196,72.1%
610144,REILLY,Network 4,527,274,52.0%,81,15.4%,361,68.5%
610145,REINBERG,Network 1,776,384,49.5%,184,23.7%,513,66.1%
610146,REVERE,Network 12,194,0,0.0%,25,12.9%,160,82.5%
609682,RICHARDS HS,Network 16,278,121,43.5%,51,18.3%,229,82.4%
610588,RICHARDSON,Network 10,841,319,37.9%,112,13.3%,782,93.0%
610390,RICKOVER MILITARY HS,ISP,506,126,24.9%,80,15.8%,363,71.7%
610256,ROBINSON,Network 9,113,1,0.9%,12,10.6%,78,69.0%
610147,ROGERS,ISP,721,234,32.5%,127,17.6%,392,54.4%
609728,ROOSEVELT HS,Network 14,1084,655,60.4%,184,17.0%,894,82.5%
400096,ROWE,Charter,703,210,29.9%,87,12.4%,581,82.6%
610308,RUDOLPH,Network 6,99,33,33.3%,98,99.0%,68,68.7%
610152,RUGGLES,Network 12,319,0,0.0%,41,12.9%,273,85.6%
610125,RUIZ,Network 7,441,198,44.9%,108,24.5%,333,75.5%
610153,RYDER,Network 11,359,3,0.8%,117,32.6%,288,80.2%
610342,SABIN,Network 6,351,132,37.6%,31,8.8%,226,64.4%
610586,SADLOWSKI,Network 13,660,321,48.6%,158,23.9%,488,73.9%
610572,SAFE ACHIEVE ES,Options,2,0,0.0%,0,0.0%,2,100.0%
610573,SAFE ACHIEVE HS,Options,27,3,11.1%,1,3.7%,25,92.6%
610250,SALAZAR,ISP,370,194,52.4%,33,8.9%,239,64.6%
610226,SANDOVAL,ISP,723,527,72.9%,65,9.0%,594,82.2%
610017,SAUCEDO,Network 7,852,389,45.7%,170,20.0%,710,83.3%
610155,SAUGANASH,Network 1,663,97,14.6%,61,9.2%,107,16.1%
610157,SAWYER,Network 8,924,477,51.6%,105,11.4%,801,86.7%
610158,SAYRE,Network 3,400,82,20.5%,55,13.8%,236,59.0%
610159,SCAMMON,Network 1,627,303,48.3%,74,11.8%,521,83.1%
610178,SCHMID,Network 12,178,2,1.1%,40,22.5%,133,74.7%
610165,SCHUBERT,Network 3,555,387,69.7%,68,12.3%,436,78.6%
609729,SCHURZ HS,Network 14,1217,527,43.3%,277,22.8%,1020,83.8%
609730,SENN HS,Network 14,1453,382,26.3%,198,13.6%,1048,72.1%
610167,SEWARD,Network 8,413,218,52.8%,69,16.7%,347,84.0%
610081,SHERIDAN,ISP,532,58,10.9%,47,8.8%,286,53.8%
610172,SHERMAN,Network 8,207,14,6.8%,30,14.5%,182,87.9%
610173,SHERWOOD,ISP,211,8,3.8%,69,32.7%,179,84.8%
610174,SHIELDS,Network 8,483,218,45.1%,91,18.8%,383,79.3%
610559,SHIELDS MIDDLE,ISP,373,161,43.2%,69,18.5%,355,95.2%
610175,SHOESMITH,Network 9,327,25,7.6%,46,14.1%,206,63.0%
610176,SHOOP,Network 13,416,1,0.2%,81,19.5%,343,82.5%
609692,SIMEON HS,Network 17,1077,6,0.6%,165,15.3%,1004,93.2%
609750,SIMPSON HS,Options,22,4,18.2%,5,22.7%,19,86.4%
610177,SKINNER,Network 6,1049,119,11.3%,66,6.3%,277,26.4%
610534,SKINNER NORTH,Network 4,512,6,1.2%,33,6.4%,61,11.9%
609978,SMITH,Network 13,363,5,1.4%,58,16.0%,314,86.5%
610179,SMYSER,Network 1,753,184,24.4%,96,12.7%,447,59.4%
610180,SMYTH,Network 6,370,5,1.4%,70,18.9%,321,86.8%
610383,SOCIAL JUSTICE HS,Network 15,302,112,37.1%,44,14.6%,270,89.4%
610182,SOLOMON,Network 1,340,133,39.1%,77,22.6%,134,39.4%
610543,SOLORIO HS,Network 15,1230,377,30.7%,145,11.8%,1118,90.9%
610589,SOR JUANA,Network 8,489,99,20.2%,35,7.2%,221,45.2%
609990,SOUTH LOOP,ISP,839,72,8.6%,96,11.4%,192,22.9%
610530,SOUTH SHORE ES,Network 12,241,2,0.8%,91,37.8%,179,74.3%
610547,SOUTH SHORE INTL HS,Network 17,565,8,1.4%,68,12.0%,461,81.6%
609745,SOUTHSIDE HS,ISP,370,101,27.3%,370,100.0%,316,85.4%
610183,SPENCER,Network 3,387,21,5.4%,51,13.2%,308,79.6%
610184,SPRY ES,Network 7,303,152,50.2%,50,16.5%,243,80.2%
610357,SPRY HS,Network 16,62,41,66.1%,21,33.9%,55,88.7%
610339,STAGG,Network 11,389,9,2.3%,74,19.0%,306,78.7%
609732,STEINMETZ HS,Network 14,1158,486,42.0%,193,16.7%,988,85.3%
610548,STEM,ISP,403,50,12.4%,32,7.9%,182,45.2%
610185,STEVENSON,Network 10,1161,534,46.0%,234,20.2%,875,75.4%
610163,STOCK,Network 1,212,48,22.6%,83,39.2%,30,14.2%
610191,STONE,Network 2,554,175,31.6%,53,9.6%,317,57.2%
610192,STOWE,Network 5,511,250,48.9%,106,20.7%,423,82.8%
610405,SUDER,Network 6,463,21,4.5%,58,12.5%,194,41.9%
609733,SULLIVAN HS,Network 14,723,402,55.6%,152,21.0%,581,80.4%
610194,SUMNER,Network 5,203,1,0.5%,35,17.2%,170,83.7%
610195,SUTHERLAND,Network 10,629,5,0.8%,96,15.3%,230,36.6%
610196,SWIFT,Network 2,602,356,59.1%,118,19.6%,346,57.5%
609734,TAFT HS,Network 14,4228,834,19.7%,523,12.4%,2367,56.0%
610197,TALCOTT,Network 6,465,239,51.4%,98,21.1%,289,62.2%
610249,TALMAN,ISP,347,200,57.6%,75,21.6%,282,81.3%
610279,TANNER,Network 12,250,1,0.4%,56,22.4%,215,86.0%
610396,TARKINGTON,Network 10,854,384,45.0%,142,16.6%,725,84.9%
610198,TAYLOR,Network 13,324,152,46.9%,74,22.8%,272,84.0%
609921,TELPOCHCALLI,Network 7,226,147,65.0%,52,23.0%,172,76.1%
610504,THOMAS,ISP,128,78,60.9%,53,41.4%,46,35.9%
610200,THORP J,Network 12,323,45,13.9%,104,32.2%,271,83.9%
610201,THORP O,ISP,823,76,9.2%,144,17.5%,315,38.3%
609735,TILDEN HS,Network 16,223,69,30.9%,71,31.8%,182,81.6%
610065,TILL,Network 9,329,0,0.0%,45,13.7%,270,82.1%
610202,TILTON,Network 5,239,11,4.6%,33,13.8%,217,90.8%
609773,TUBMAN,Network 4,279,16,5.7%,58,20.8%,98,35.1%
609895,TURNER-DREW,ISP,193,0,0.0%,39,20.2%,149,77.2%
610206,TWAIN,Network 10,870,225,25.9%,132,15.2%,622,71.5%
400075,U OF C - DONOGHUE,Charter,500,23,4.6%,36,7.2%,386,77.2%
400076,U OF C - NKO,Charter,305,3,1.0%,29,9.5%,220,72.1%
400077,U OF C - WOODLAWN HS,Charter,607,5,0.8%,85,14.0%,528,87.0%
610394,UPLIFT HS,Network 14,161,42,26.1%,66,41.0%,118,73.3%
400105,URBAN PREP - BRONZEVILLE HS,Charter,164,3,1.8%,41,25.0%,144,87.8%
400086,URBAN PREP - ENGLEWOOD HS,Charter,93,2,2.2%,22,23.7%,84,90.3%
610207,VANDERPOEL,Network 10,239,0,0.0%,23,9.6%,142,59.4%
609766,VAUGHN HS,Network 14,214,110,51.4%,214,100.0%,171,79.9%
609871,VICK,Network 10,420,88,21.0%,185,44.0%,96,22.9%
610209,VOLTA,Network 1,742,579,78.0%,63,8.5%,542,73.0%
610039,VON LINNE,Network 4,676,197,29.1%,98,14.5%,351,51.9%
609737,VON STEUBEN HS,Network 14,1670,222,13.3%,118,7.1%,1120,67.1%
610366,WACKER,ISP,220,2,0.9%,37,16.8%,158,71.8%
610213,WADSWORTH,Network 9,475,5,1.1%,59,12.4%,347,73.1%
610216,WALSH,Network 7,250,111,44.4%,88,35.2%,164,65.6%
610217,WARD J,Network 6,500,253,50.6%,46,9.2%,353,70.6%
610133,WARD L,Network 5,258,21,8.1%,58,22.5%,200,77.5%
610218,WARREN,Network 12,281,3,1.1%,41,14.6%,227,80.8%
610219,WASHINGTON G ES,Network 13,617,119,19.3%,105,17.0%,428,69.4%
610124,WASHINGTON H ES,Network 12,233,0,0.0%,24,10.3%,199,85.4%
609739,WASHINGTON HS,Network 17,1492,412,27.6%,269,18.0%,1273,85.3%
610220,WATERS,Network 2,655,73,11.1%,70,10.7%,123,18.8%
610221,WEBSTER,Network 5,206,0,0.0%,35,17.0%,147,71.4%
610110,WELLS ES,Network 9,323,2,0.6%,35,10.8%,253,78.3%
609740,WELLS HS,Network 15,339,125,36.9%,61,18.0%,250,73.7%
610223,WENTWORTH,Network 11,383,28,7.3%,97,25.3%,324,84.6%
610100,WEST PARK,Network 5,425,196,46.1%,68,16.0%,349,82.1%
610542,WEST RIDGE,ISP,617,316,51.2%,107,17.3%,454,73.6%
610300,WESTCOTT,Network 11,401,5,1.2%,88,21.9%,330,82.3%
609693,WESTINGHOUSE HS,Network 15,1236,77,6.2%,109,8.8%,995,80.5%
610225,WHISTLER,Network 13,252,1,0.4%,63,25.0%,219,86.9%
610315,WHITE,Network 13,124,2,1.6%,13,10.5%,98,79.0%
610227,WHITNEY,Network 7,598,326,54.5%,52,8.7%,474,79.3%
610228,WHITTIER,Network 7,177,122,68.9%,31,17.5%,127,71.8%
610230,WILDWOOD,Network 1,494,38,7.7%,60,12.1%,67,13.6%
610380,WILLIAMS HS,Network 17,79,1,1.3%,12,15.2%,73,92.4%
609977,WOODLAWN,Network 9,166,2,1.2%,15,9.0%,139,83.7%
610345,WOODSON,Network 9,293,8,2.7%,82,28.0%,251,85.7%
610392,WORLD LANGUAGE HS,Network 15,326,170,52.1%,82,25.2%,301,92.3%
610234,YATES,Network 5,310,125,40.3%,90,29.0%,233,75.2%
400125,YCCS - ASPIRA PANTOJA,Options,202,76,37.6%,32,15.8%,164,81.2%
400126,YCCS - ASSOCIATION HOUSE,Options,98,19,19.4%,21,21.4%,95,96.9%
400131,YCCS - CAMPOS,Options,156,25,16.0%,30,19.2%,142,91.0%
400128,YCCS - CCA ACADEMY,Options,72,1,1.4%,19,26.4%,70,97.2%
400150,YCCS - CHATHAM,Options,100,0,0.0%,19,19.0%,99,99.0%
400133,YCCS - INNOVATIONS,Options,502,14,2.8%,114,22.7%,490,97.6%
400135,YCCS - LATINO YOUTH,Options,160,59,36.9%,32,20.0%,144,90.0%
400124,YCCS - MCKINLEY,Options,93,1,1.1%,24,25.8%,87,93.5%
400136,YCCS - OLIVE HARVEY,Options,131,7,5.3%,14,10.7%,118,90.1%
400129,YCCS - PROGRESSIVE LEADERSHIP,Options,132,2,1.5%,24,18.2%,128,97.0%
400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options,114,0,0.0%,23,20.2%,109,95.6%
400139,YCCS - SULLIVAN,Options,326,4,1.2%,63,19.3%,317,97.2%
400141,YCCS - TRUMAN,Options,180,36,20.0%,24,13.3%,134,74.4%
400144,YCCS - WEST,Options,65,2,3.1%,16,24.6%,63,96.9%
400143,YCCS - WEST TOWN,Options,84,3,3.6%,18,21.4%,78,92.9%
400145,YCCS - YOUTH CONNECTION,Options,131,4,3.1%,29,22.1%,117,89.3%
400130,YCCS - YOUTH DEVELOPMENT,Options,83,4,4.8%,19,22.9%,79,95.2%
609748,YORK HS,Options,165,5,3.0%,61,37.0%,159,96.4%
610235,YOUNG ES,Network 3,395,69,17.5%,47,11.9%,337,85.3%
609755,YOUNG HS,Network 15,2224,74,3.3%,220,9.9%,826,37.1%
609973,ZAPATA,Network 7,520,307,59.0%,108,20.8%,418,80.4%
