School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
610078,INTER-AMERICAN,Network 4,641,212,33.1%,91,14.2%,299,46.6%
400162,INTRINSIC HS,Charter,941,315,33.5%,164,17.4%,837,88.9%
610121,IRVING,Network 6,273,15,5.5%,53,19.4%,220,80.6%
610369,JACKSON M,Network 11,313,5,1.6%,88,28.1%,274,87.5%
610010,JAHN,Network 4,316,42,13.3%,60,19.0%,122,38.6%
610011,JAMIESON,Network 2,806,331,41.1%,117,14.5%,471,58.4%
609783,JEFFERSON HS,Options,174,8,4.6%,56,32.2%,154,88.5%
610271,JENSEN,Network 5,253,3,1.2%,34,13.4%,226,89.3%
610274,JOHNSON,Network 5,210,1,0.5%,30,14.3%,184,87.6%
609678,JONES HS,Network 15,1967,61,3.1%,180,9.2%,810,41.2%
609805,JOPLIN,Network 11,272,5,1.8%,39,14.3%,231,84.9%
609865,JORDAN,Network 2,502,338,67.3%,105,20.9%,354,70.5%
609764,JUAREZ HS,Network 15,1547,600,38.8%,219,14.2%,1429,92.4%
609762,JULIAN HS,Network 16,470,3,0.6%,127,27.0%,436,92.8%
610015,JUNGMAN,ISP,299,114,38.1%,98,32.8%,206,68.9%
609920,KANOON,Network 7,371,210,56.6%,42,11.3%,306,82.5%
610084,KELLER,Network 10,220,6,2.7%,6,2.7%,73,33.2%
609925,KELLMAN,Network 5,189,1,0.5%,23,12.2%,167,88.4%
610016,KELLOGG,Network 10,289,3,1.0%,45,15.6%,113,39.1%
609715,KELLY HS,Network 16,1711,774,45.2%,304,17.8%,1572,91.9%
609716,KELVYN PARK HS,Network 14,479,245,51.1%,92,19.2%,405,84.6%
609718,KENNEDY HS,Network 16,1601,365,22.8%,319,19.9%,1156,72.2%
609746,KENWOOD HS,Network 17,2298,36,1.6%,123,5.4%,1394,60.7%
610019,KERSHAW,Network 11,210,6,2.9%,52,24.8%,174,82.9%
610022,KILMER,Network 2,784,430,54.8%,185,23.6%,587,74.9%
610299,KING ES,Network 11,240,3,1.3%,29,12.1%,199,82.9%
609751,KING HS,Network 17,704,10,1.4%,93,13.2%,596,84.7%
610026,KINZIE,ISP,673,108,16.0%,158,23.5%,376,55.9%
610027,KIPLING,ISP,223,0,0.0%,29,13.0%,177,79.4%
400146,KIPP - ACADEMY,Charter,671,33,4.9%,96,14.3%,548,81.7%
400044,KIPP - ASCEND,Charter,945,30,3.2%,111,11.7%,796,84.2%
400163,KIPP - BLOOM,Charter,925,10,1.1%,117,12.6%,788,85.2%
400180,KIPP - ONE,Charter,1032,248,24.0%,102,9.9%,880,85.3%
610030,KOZMINSKI,Network 9,255,34,13.3%,48,18.8%,169,66.3%
609719,LAKE VIEW HS,Network 14,1410,320,22.7%,228,16.2%,1141,80.9%
609720,LANE TECH HS,Network 14,4520,135,3.0%,413,9.1%,1716,38.0%
609869,LANGFORD,Network 11,179,20,11.2%,27,15.1%,145,81.0%
609993,LARA,ISP,332,200,60.2%,67,20.2%,275,82.8%
610033,LASALLE,Network 4,488,7,1.4%,59,12.1%,165,33.8%
610520,LASALLE II,ISP,582,65,11.2%,86,14.8%,188,32.3%
610208,LAVIZZO,Network 13,332,4,1.2%,44,13.3%,285,85.8%
610034,LAWNDALE,Network 5,192,1,0.5%,27,14.1%,170,88.5%
400151,LEARN - 7,Charter,150,0,0.0%,18,12.0%,122,81.3%
400046,LEARN - BUTLER,Charter,464,0,0.0%,43,9.3%,410,88.4%
400047,LEARN - CAMPBELL,Charter,359,5,1.4%,44,12.3%,299,83.3%
400048,LEARN - EXCEL,Charter,402,3,0.7%,38,9.5%,323,80.3%
400165,LEARN - MIDDLE,Charter,186,2,1.1%,25,13.4%,169,90.9%
400111,LEARN - PERKINS,Charter,476,1,0.2%,55,11.6%,362,76.1%
400107,LEARN - SOUTH CHICAGO,Charter,407,29,7.1%,39,9.6%,328,80.6%
