Network,School ID,Educational Unit,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
Network 1,610212,ALBANY PARK,  242 ,10,4.1,13,5.4,0,0.0,2,0.8,206,85.1,1,0.4,10,4.1,0,0.0,0,0.0
Network 1,609792,BATEMAN,  879 ,173,19.7,25,2.8,0,0.0,6,0.7,627,71.3,17,1.9,29,3.3,2,0.2,0,0.0
Network 1,610083,BEARD,  288 ,97,33.7,14,4.9,0,0.0,1,0.3,139,48.3,9,3.1,26,9.0,1,0.3,1,0.3
Network 1,609796,BEAUBIEN,  964 ,363,37.7,28,2.9,0,0.0,2,0.2,323,33.5,75,7.8,164,17.0,9,0.9,0,0.0
Network 1,609798,BELDING,  533 ,266,49.9,33,6.2,0,0.0,2,0.4,177,33.2,20,3.8,31,5.8,4,0.8,0,0.0
Network 1,609810,BRIDGE,"  1,045 ",385,36.8,18,1.7,0,0.0,2,0.2,575,55.0,19,1.8,44,4.2,2,0.2,0,0.0
Network 1,609836,CANTY,  774 ,360,46.5,14,1.8,0,0.0,1,0.1,358,46.3,13,1.7,28,3.6,0,0.0,0,0.0
Network 1,609857,CLEVELAND,  520 ,55,10.6,21,4.0,0,0.0,6,1.2,401,77.1,14,2.7,23,4.4,0,0.0,0,0.0
Network 1,609884,DEVER,  751 ,254,33.8,15,2.0,0,0.0,0,0.0,439,58.5,16,2.1,24,3.2,3,0.4,0,0.0
Network 1,609874,DIRKSEN,  890 ,610,68.5,33,3.7,0,0.0,0,0.0,107,12.0,9,1.0,125,14.0,1,0.1,5,0.6
Network 1,609901,EDGEBROOK,  453 ,259,57.2,6,1.3,0,0.0,0,0.0,96,21.2,42,9.3,47,10.4,0,0.0,3,0.7
Network 1,609794,EDISON,  256 ,146,57.0,10,3.9,0,0.0,1,0.4,28,10.9,30,11.7,41,16.0,0,0.0,0,0.0
Network 1,610523,EDISON PARK,  465 ,320,68.8,5,1.1,0,0.0,0,0.0,106,22.8,10,2.2,24,5.2,0,0.0,0,0.0
Network 1,609912,FARNSWORTH,  521 ,189,36.3,15,2.9,0,0.0,0,0.0,234,44.9,8,1.5,70,13.4,3,0.6,2,0.4
Network 1,609937,GARVY,  706 ,367,52.0,9,1.3,0,0.0,3,0.4,242,34.3,20,2.8,50,7.1,15,2.1,0,0.0
Network 1,609949,GRAY,"  1,000 ",68,6.8,23,2.3,0,0.0,6,0.6,852,85.2,11,1.1,19,1.9,0,0.0,21,2.1
Network 1,609988,HENRY,  506 ,28,5.5,20,4.0,0,0.0,8,1.6,426,84.2,3,0.6,10,2.0,1,0.2,10,2.0
Network 1,609994,HIBBARD,  836 ,63,7.5,42,5.0,0,0.0,7,0.8,670,80.1,4,0.5,48,5.7,1,0.1,1,0.1
Network 1,609995,HITCH,  490 ,176,35.9,8,1.6,0,0.0,1,0.2,234,47.8,29,5.9,42,8.6,0,0.0,0,0.0
Network 1,610089,MURPHY,  481 ,141,29.3,14,2.9,0,0.0,2,0.4,301,62.6,11,2.3,10,2.1,1,0.2,1,0.2
Network 1,610354,NORTH RIVER,  259 ,8,3.1,5,1.9,0,0.0,0,0.0,208,80.3,0,0.0,4,1.5,2,0.8,32,12.4
Network 1,610099,NORWOOD PARK,  382 ,216,56.5,1,0.3,0,0.0,0,0.0,130,34.0,16,4.2,19,5.0,0,0.0,0,0.0
Network 1,610104,ONAHAN,  662 ,407,61.5,10,1.5,0,0.0,3,0.5,199,30.1,18,2.7,22,3.3,0,0.0,3,0.5
Network 1,610105,ORIOLE PARK,  621 ,383,61.7,8,1.3,0,0.0,1,0.2,172,27.7,12,1.9,44,7.1,1,0.2,0,0.0
Network 1,610127,PETERSON,  865 ,250,28.9,75,8.7,0,0.0,1,0.1,312,36.1,35,4.1,180,20.8,1,0.1,11,1.3
Network 1,610135,PORTAGE PARK,  787 ,229,29.1,27,3.4,0,0.0,12,1.5,480,61.0,19,2.4,13,1.7,6,0.8,1,0.1
Network 1,610137,PRUSSING,  642 ,282,43.9,11,1.7,0,0.0,2,0.3,287,44.7,11,1.7,44,6.9,3,0.5,2,0.3
Network 1,610145,REINBERG,  739 ,103,13.9,27,3.7,0,0.0,5,0.7,572,77.4,7,1.0,23,3.1,1,0.1,1,0.1
Network 1,610155,SAUGANASH,  632 ,317,50.2,11,1.7,0,0.0,0,0.0,120,19.0,33,5.2,148,23.4,2,0.3,1,0.2
Network 1,610159,SCAMMON,  653 ,40,6.1,22,3.4,0,0.0,1,0.2,574,87.9,8,1.2,8,1.2,0,0.0,0,0.0
Network 1,610182,SOLOMON,  350 ,144,41.1,19,5.4,0,0.0,1,0.3,60,17.1,7,2.0,119,34.0,0,0.0,0,0.0
Network 1,610163,STOCK,  241 ,149,61.8,6,2.5,0,0.0,0,0.0,62,25.7,8,3.3,16,6.6,0,0.0,0,0.0
Network 1,610209,VOLTA,  701 ,42,6.0,25,3.6,0,0.0,1,0.1,487,69.5,8,1.1,138,19.7,0,0.0,0,0.0
Network 1,610230,WILDWOOD,  443 ,264,59.6,9,2.0,0,0.0,0,0.0,96,21.7,33,7.5,41,9.3,0,0.0,0,0.0
Network 2,609804,BOONE,  737 ,104,14.1,77,10.4,0,0.0,1,0.1,298,40.4,9,1.2,248,33.7,0,0.0,0,0.0
Network 2,610242,BRENNEMANN,  433 ,20,4.6,237,54.7,0,0.0,4,0.9,107,24.7,12,2.8,17,3.9,1,0.2,35,8.1
Network 2,609866,COONLEY,  877 ,593,67.6,15,1.7,0,0.0,0,0.0,143,16.3,79,9.0,43,4.9,4,0.5,0,0.0
Network 2,610355,COURTENAY,  208 ,12,5.8,118,56.7,0,0.0,1,0.5,67,32.2,2,1.0,8,3.8,0,0.0,0,0.0
Network 2,609880,DECATUR,  311 ,141,45.3,15,4.8,0,0.0,1,0.3,37,11.9,24,7.7,93,29.9,0,0.0,0,0.0
Network 2,610363,DISNEY,"  1,467 ",217,14.8,716,48.8,0,0.0,9,0.6,303,20.7,66,4.5,155,10.6,1,0.1,0,0.0
Network 2,609918,FIELD,  140 ,3,2.1,56,40.0,0,0.0,0,0.0,72,51.4,6,4.3,3,2.1,0,0.0,0,0.0
Network 2,609933,GALE,  223 ,15,6.7,146,65.5,0,0.0,0,0.0,46,20.6,8,3.6,8,3.6,0,0.0,0,0.0
Network 2,609976,HAYT,  886 ,77,8.7,166,18.7,0,0.0,11,1.2,393,44.4,25,2.8,212,23.9,2,0.2,0,0.0
Network 2,610011,JAMIESON,  781 ,238,30.5,65,8.3,0,0.0,0,0.0,254,32.5,22,2.8,202,25.9,0,0.0,0,0.0
Network 2,609865,JORDAN,  463 ,27,5.8,134,28.9,0,0.0,4,0.9,267,57.7,5,1.1,17,3.7,4,0.9,5,1.1
Network 2,610022,KILMER,  716 ,92,12.8,201,28.1,0,0.0,7,1.0,319,44.6,24,3.4,72,10.1,1,0.1,0,0.0
Network 2,610269,MCCUTCHEON,  309 ,25,8.1,143,46.3,0,0.0,3,1.0,74,23.9,12,3.9,52,16.8,0,0.0,0,0.0
Network 2,610070,MCPHERSON,  650 ,148,22.8,40,6.2,0,0.0,0,0.0,391,60.2,40,6.2,31,4.8,0,0.0,0,0.0
Network 2,610284,NEW FIELD,  544 ,75,13.8,179,32.9,0,0.0,2,0.4,219,40.3,27,5.0,37,6.8,2,0.4,3,0.6
Network 2,610141,RAVENSWOOD,  516 ,234,45.3,44,8.5,0,0.0,0,0.0,155,30.0,57,11.1,25,4.8,1,0.2,0,0.0
Network 2,610191,STONE,  548 ,138,25.2,138,25.2,0,0.0,3,0.5,79,14.4,23,4.2,166,30.3,1,0.2,0,0.0
Network 2,610196,SWIFT,  549 ,94,17.1,134,24.4,0,0.0,5,0.9,144,26.2,16,2.9,156,28.4,0,0.0,0,0.0
Network 2,610220,WATERS,  630 ,376,59.7,17,2.7,0,0.0,1,0.2,143,22.7,52,8.3,38,6.0,1,0.2,2,0.3
Network 3,609922,BELMONT-CRAGIN,  454 ,6,1.3,15,3.3,0,0.0,2,0.4,430,94.7,1,0.2,0,0.0,0,0.0,0,0.0
Network 3,609830,BRUNSON,  417 ,0,0.0,364,87.3,0,0.0,0,0.0,52,12.5,0,0.0,0,0.0,1,0.2,0,0.0
Network 3,609818,BURBANK,  739 ,12,1.6,31,4.2,0,0.0,5,0.7,683,92.4,0,0.0,3,0.4,0,0.0,5,0.7
Network 3,610367,DEPRIEST,  464 ,1,0.2,434,93.5,0,0.0,0,0.0,26,5.6,3,0.7,0,0.0,0,0.0,0,0.0
Network 3,609904,ELLINGTON,  409 ,2,0.5,386,94.4,0,0.0,1,0.2,20,4.9,0,0.0,0,0.0,0,0.0,0,0.0
