School ID,School Name,Network,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
609769,Ray Graham Training Center High School,Network 6,128.0,36.0,28.29,128.0,100.0,114.5,89.36
609772,Jane Addams Elementary School,Network 13,878.0,231.5,26.36,71.5,8.13,791.5,90.17
609773,Louis A Agassiz Elementary School,Network 4,497.0,41.0,8.26,109.0,21.91,233.5,46.92
609774,Louisa May Alcott Elementary School,Network 4,538.5,24.5,4.52,46.0,8.58,92.0,17.1
609777,Phillip D Armour Elementary School,Network 6,316.5,89.0,28.13,38.0,12.02,302.5,95.6
609779,George Armstrong International Studies ES,Network 2,,408.0,28.08,165.5,11.4,,93.32
609780,Ames Middle School,Network 4,651.0,110.0,17.54,65.0,10.09,635.0,97.66
609781,Crispus Attucks Elementary School,Network 9,150.0,0.0,0.0,23.0,15.64,149.5,99.62
609782,John J Audubon Elementary School,Network 4,588.5,32.0,5.44,50.0,8.51,161.5,27.42
609783,Nancy B Jefferson Alternative High School,Options,292.5,7.0,2.48,93.5,31.6,237.5,80.88
609786,Avalon Park Elementary School,Network 12,330.0,0.5,0.14,29.5,8.82,321.0,97.34
609788,Alice L Barnard Computer Math & Science Ctr ES,OS4,304.0,0.0,0.0,36.0,11.83,247.5,81.4
609789,John Barry Elementary School,Network 4,835.0,313.5,37.57,81.0,9.7,804.5,96.35
609790,Clara Barton Elementary School,Network 11,561.0,0.5,0.1,69.5,12.39,476.5,85.18
609791,Perkins Bass Elementary School,Network 11,544.0,1.5,0.27,59.5,10.95,535.0,98.36
609792,Newton Bateman Elementary School,Network 1,,366.0,35.75,117.0,11.43,934.5,91.3
609793,Nicholson Technology Academy,Network 11,564.5,0.0,0.0,64.0,11.35,554.5,98.24
609794,Thomas A Edison Regional Gifted Center ES,Network 1,276.5,3.0,1.08,14.5,5.24,35.0,12.65
609795,George Rogers Clark Elementary School,Network 3,284.5,44.5,15.58,41.5,14.59,268.0,94.21
609796,Jean Baptiste Beaubien Elementary School,Network 1,,185.0,16.01,97.0,8.4,634.0,54.86
609797,Jacob Beidler Elementary School,OS4,484.0,0.5,0.11,61.5,12.7,461.5,95.52
609798,Hiram H Belding Elementary School,Network 1,611.5,139.0,22.74,61.5,10.06,441.0,72.12
609799,Alexander Graham Bell Elementary School,Network 4,,39.0,3.75,117.5,11.32,177.5,17.12
609800,Frank I Bennett Elementary School,Network 13,396.0,0.5,0.14,39.5,9.94,380.0,95.98
609803,James G Blaine Elementary School,Network 4,920.5,64.5,7.04,83.5,9.09,163.0,17.77
609804,Daniel Boone Elementary School,Network 2,811.5,349.0,42.98,87.5,10.78,751.0,92.54
609805,Scott Joplin Elementary School,OS4,472.0,0.5,0.1,67.5,14.31,461.0,97.68
609806,Myra Bradwell Communications Arts & Sciences ES,AUSL,785.0,3.0,0.39,101.0,12.84,735.5,94.0
609807,Lionel Hampton Fine & Performing Arts ES,Network 10,588.5,124.5,21.12,84.0,14.28,554.0,94.09
609808,Alex Haley Elementary Academy,Network 13,634.0,3.0,0.46,63.0,9.92,619.5,97.7
609809,Lorenz Brentano Math & Science Academy ES,OS4,418.5,153.0,36.58,63.0,15.06,368.5,88.08
609810,Norman A Bridge Elementary School,Network 1,,318.0,29.9,120.0,11.27,808.5,76.0
609811,Orville T Bright Elementary School,Network 13,293.0,30.5,10.4,78.0,26.64,290.0,98.98
609812,William H Brown Elementary School,OS4,235.5,2.0,0.81,62.0,26.22,232.0,98.5
609813,Charles S Brownell Elementary School,Network 12,259.5,0.0,0.0,24.5,9.45,258.5,99.62
609815,Edward A Bouchet Math & Science Academy ES,Network 12,676.0,10.0,1.48,95.5,14.14,673.0,99.56
609817,Lyman A Budlong Elementary School,Network 2,870.0,410.0,47.14,72.5,8.34,754.0,86.67
609818,Luther Burbank Elementary School,Network 3,975.0,429.0,43.99,118.0,12.1,947.0,97.12
609819,Edmond Burke Elementary School,OS4,405.5,0.0,0.0,39.0,9.61,391.0,96.41
609820,Augustus H Burley Elementary School,Network 4,534.0,21.5,4.0,77.0,14.42,112.5,21.08
609821,Burnham Elementary Inclusive Academy,Network 13,576.5,8.5,1.48,61.5,10.68,547.5,94.98
609826,Rosario Castellanos Elementary School,Network 7,581.0,140.5,24.2,82.0,14.12,575.5,99.06
609827,Burnside Elementary Scholastic Academy,Network 12,639.5,2.5,0.4,76.5,11.96,554.0,86.71
609828,Jonathan Burr Elementary School,Network 6,393.0,37.0,9.36,38.5,9.78,187.0,47.54
609829,John C Burroughs Elementary School,Network 8,504.5,178.5,35.4,51.0,10.12,483.0,95.74
609830,Milton Brunson Math & Science Specialty ES,Network 3,632.5,14.5,2.3,68.5,10.82,626.0,98.97
609832,Michael M Byrne Elementary School,Network 10,654.0,52.0,7.96,93.5,14.32,394.5,60.36
609833,Charles P Caldwell Academy of Math & Science ES,Network 12,291.5,0.0,0.0,39.5,13.55,268.5,92.24
609834,Little Village Elementary School,Network 7,880.0,458.5,52.11,81.0,9.2,870.5,98.92
609835,Daniel R Cameron Elementary School,Network 5,833.0,208.0,24.98,93.5,11.2,827.5,99.34
609836,Arthur E Canty Elementary School,Network 1,805.5,119.0,14.79,87.0,10.8,417.5,51.86
609837,Andrew Carnegie Elementary School,OS4,639.0,1.5,0.24,45.5,7.17,549.5,86.04
609839,Carroll-Rosenwald Specialty Elementary School,Network 10,516.0,2.0,0.4,75.5,14.64,466.0,90.3
609842,Rachel Carson Elementary School,Network 8,,591.5,49.54,91.0,7.64,,98.75
609844,William W Carter Elementary School,AUSL,442.5,0.0,0.0,43.0,9.72,418.0,94.42
609845,George Washington Carver Primary School,OS4,477.0,0.5,0.11,50.5,10.61,474.5,99.47
609848,Ira F Aldridge Elementary School,OS4,237.5,0.0,0.0,17.5,7.38,235.5,99.16
609849,George F Cassell Elementary School,Network 10,380.5,11.0,2.92,76.0,19.92,97.0,25.49
609850,Horace Greeley Elementary School,Network 4,660.0,161.5,24.42,69.0,10.48,568.5,86.12
609851,Thomas Chalmers Specialty Elementary School,AUSL,385.5,1.0,0.28,52.5,13.56,382.0,99.11
609852,Eliza Chappell Elementary School,Network 2,552.5,193.0,34.94,109.0,19.73,453.5,82.07
609853,Salmon P Chase Elementary School,Network 4,483.5,209.0,43.24,88.0,18.2,469.0,97.0
609854,Frederic Chopin Elementary School,Network 5,569.0,115.0,20.16,112.0,19.69,544.0,95.65
609855,Walter S Christopher Elementary School,Network 8,362.5,147.5,40.69,218.0,60.14,336.5,92.83
609856,Henry Clay Elementary School,Network 13,581.5,161.5,27.81,62.5,10.74,554.0,95.28
609857,Grover Cleveland Elementary School,Network 1,674.0,271.0,40.26,124.0,18.41,609.0,90.36
609859,DeWitt Clinton Elementary School,Network 2,,516.0,45.26,76.0,6.66,979.0,88.59
609861,Henry R Clissold Elementary School,Network 10,553.0,5.5,1.0,73.5,13.28,261.5,47.36
609862,Edward Coles Elementary Language Academy,Network 12,547.5,0.5,0.09,54.0,9.86,493.0,90.04
609863,Christopher Columbus Elementary School,Network 5,289.5,87.0,30.12,14.0,4.83,221.0,76.34
609864,John W Cook Elementary School,Network 11,420.5,1.0,0.25,69.5,16.54,402.5,95.56
609865,Jordan Elementary Community School,Network 2,628.5,231.5,36.78,82.0,13.07,617.0,98.18
609866,John C Coonley Elementary School,Network 2,783.0,75.0,9.57,103.0,13.2,225.0,28.76
609867,Peter Cooper Elementary Dual Language Academy,Network 7,612.0,374.0,61.08,89.5,14.62,598.5,97.8
609869,Anna R. Langford Community Academy,Network 11,426.5,1.5,0.36,44.0,10.34,424.5,99.54
609870,Daniel J Corkery Elementary School,Network 7,602.0,247.5,41.12,69.0,11.46,583.0,96.84
609871,Barbara Vick Early Childhood & Family Center,Network 10,337.5,88.0,26.04,126.5,37.51,182.0,54.04
609872,Manuel Perez Elementary School,Network 7,343.5,131.0,38.1,40.5,11.81,342.0,99.56
609873,Crown Community Academy of Fine Arts Center ES,OS4,328.0,4.0,1.23,50.5,15.49,312.0,95.02
609874,Everett McKinley Dirksen Elementary School,Network 1,824.5,388.5,47.05,90.0,10.93,648.0,78.54
609875,Charles R Darwin Elementary School,Network 4,580.5,229.5,39.53,86.5,14.9,541.5,93.3
609876,Nathan S Davis Elementary School,Network 8,914.5,451.5,49.36,76.0,8.32,902.5,98.69
609879,Charles Gates Dawes Elementary School,Network 10,,206.5,19.77,140.0,13.41,994.0,96.74
609880,Stephen Decatur Classical Elementary School,Network 2,287.5,1.5,0.52,18.0,6.26,36.5,12.69
