School ID,Network,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
400104,INSTITUTO - HEALTH,Charter, 631 , 322 ,51.0%, 127 ,20.1%, 592 ,93.8%
400164,INSTITUTO - JUSTICE HS,Options, 92 , 31 ,33.7%, 14 ,15.2%, 82 ,89.1%
400162,INTRINSIC HS,Charter, 990 , 273 ,27.6%, 186 ,18.8%, 884 ,89.3%
400146,KIPP - ACADEMY,Charter, 619 , 1 ,0.2%, 79 ,12.8%, 533 ,86.1%
400044,KIPP - ASCEND,Charter, 944 , 11 ,1.2%, 113 ,12.0%, 833 ,88.2%
400163,KIPP - BLOOM,Charter, 865 , 9 ,1.0%, 101 ,11.7%, 755 ,87.3%
400180,KIPP - ONE,Charter," 1,003 ", 194 ,19.3%, 103 ,10.3%, 849 ,84.6%
400151,LEARN - 7,Charter, 179 , 1 ,0.6%, 23 ,12.8%, 146 ,81.6%
400046,LEARN - BUTLER,Charter, 515 , 0 ,0.0%, 36 ,7.0%, 443 ,86.0%
400047,LEARN - CAMPBELL,Charter, 369 , 1 ,0.3%, 38 ,10.3%, 318 ,86.2%
400048,LEARN - EXCEL,Charter, 376 , 4 ,1.1%, 26 ,6.9%, 319 ,84.8%
400165,LEARN - MIDDLE,Charter, 282 , 3 ,1.1%, 48 ,17.0%, 261 ,92.6%
400111,LEARN - PERKINS,Charter, 476 , 1 ,0.2%, 40 ,8.4%, 371 ,77.9%
400107,LEARN - SOUTH CHICAGO,Charter, 416 , 29 ,7.0%, 35 ,8.4%, 349 ,83.9%
400049,LEGACY,Charter, 455 , 5 ,1.1%, 68 ,14.9%, 411 ,90.3%
400119,LEGAL PREP HS,Charter, 262 , 2 ,0.8%, 49 ,18.7%, 251 ,95.8%
400011,LOCKE A,Charter, 323 , 0 ,0.0%, 47 ,14.6%, 277 ,85.8%
400116,MONTESSORI ENGLEWOOD,Charter, 330 , 33 ,10.0%, 59 ,17.9%, 291 ,88.2%
400178,MOVING EVEREST,Charter, 781 , 13 ,1.7%, 78 ,10.0%, 679 ,86.9%
400050,NAMASTE,Charter, 422 , 225 ,53.3%, 92 ,21.8%, 325 ,77.0%
400058,NLCP - CHRISTIANA HS,Charter, 323 , 3 ,0.9%, 75 ,23.2%, 312 ,96.6%
400059,NLCP - COLLINS HS,Charter, 432 , 2 ,0.5%, 73 ,16.9%, 423 ,97.9%
400170,NOBLE - ACADEMY HS,Charter, 593 , 108 ,18.2%, 80 ,13.5%, 512 ,86.3%
400157,NOBLE - BAKER HS,Charter, 273 , 32 ,11.7%, 64 ,23.4%, 242 ,88.6%
400097,NOBLE - BULLS HS,Charter," 1,178 ", 201 ,17.1%, 215 ,18.3%," 1,065 ",90.4%
400156,NOBLE - BUTLER HS,Charter, 652 , 19 ,2.9%, 114 ,17.5%, 591 ,90.6%
400052,NOBLE - COMER,Charter," 1,040 ", 18 ,1.7%, 148 ,14.2%, 935 ,89.9%
400118,NOBLE - DRW HS,Charter, 353 , 2 ,0.6%, 92 ,26.1%, 334 ,94.6%
400053,NOBLE - GOLDER HS,Charter, 638 , 150 ,23.5%, 98 ,15.4%, 571 ,89.5%
400117,NOBLE - HANSBERRY HS,Charter, 500 , 4 ,0.8%, 105 ,21.0%, 463 ,92.6%
400169,NOBLE - ITW SPEER HS,Charter," 1,111 ", 308 ,27.7%, 168 ,15.1%, 901 ,81.1%
400106,NOBLE - JOHNSON HS,Charter, 476 , 7 ,1.5%, 106 ,22.3%, 453 ,95.2%
400179,NOBLE - MANSUETO HS,Charter," 1,045 ", 363 ,34.7%, 153 ,14.6%, 956 ,91.5%
400098,NOBLE - MUCHIN HS,Charter, 861 , 131 ,15.2%, 110 ,12.8%, 715 ,83.0%
400051,NOBLE - NOBLE HS,Charter, 662 , 145 ,21.9%, 104 ,15.7%, 533 ,80.5%
400054,NOBLE - PRITZKER HS,Charter, 969 , 295 ,30.4%, 121 ,12.5%, 895 ,92.4%
400055,NOBLE - RAUNER HS,Charter, 666 , 131 ,19.7%, 107 ,16.1%, 576 ,86.5%
400056,NOBLE - ROWE CLARK HS,Charter, 397 , 31 ,7.8%, 88 ,22.2%, 386 ,97.2%
400057,NOBLE - UIC HS,Charter, 903 , 135 ,15.0%, 149 ,16.5%, 764 ,84.6%
400064,PERSPECTIVES - JOSLIN HS,Charter, 380 , 4 ,1.1%, 83 ,21.8%, 341 ,89.7%
400061,PERSPECTIVES - LEADERSHIP HS,Charter, 707 , 1 ,0.1%, 105 ,14.9%, 638 ,90.2%
400066,PERSPECTIVES - MATH & SCI HS,Charter, 413 , 5 ,1.2%, 49 ,11.9%, 379 ,91.8%
400062,PERSPECTIVES - TECH HS,Charter, 361 , 3 ,0.8%, 57 ,15.8%, 330 ,91.4%
