School ID,School Name,School Network,School Year,Time Period,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification
400105,URBAN PREP - BRONZEVILLE HS,Charter,2014-2015,S1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
400086,URBAN PREP - ENGLEWOOD HS,Charter,2014-2015,S1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
400102,URBAN PREP - WEST HS,Charter,2014-2015,S1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
610207,VANDERPOEL,Network 10,2014-2015,S1,2.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609766,VAUGHN HS,Network 1,2014-2015,S1,5.0,0,4,1,3,60,1,20,1,0.5,1,2,40,2,1,3,0,0,0,0
610518,VOISE HS,Network 3,2014-2015,S1,620.0,480,107,33,524,84.5,447,72.1,129,52.6,1.13,77,12.4,60,24.5,2.36,17,2.7,17,6.9
610209,VOLTA,Network 1,2014-2015,S1,27.0,18,9,0,4,14.8,3,11.1,3,0.3,1,1,3.7,1,0.1,1,2,7.4,2,0.2
610039,VON LINNE,Network 4,2014-2015,S1,1.0,0,1,0,1,100,1,100,1,0.2,1,0,0,0,0,0,0,0,0,0
609737,VON STEUBEN HS,Network 1,2014-2015,S1,80.0,50,21,9,42,52.5,23,28.8,23,1.4,1,19,23.8,17,1,2.21,14,17.5,13,0.8
610366,WACKER,Network 11,2014-2015,S1,6.0,2,2,2,1,16.7,0,0,0,0,0,1,16.7,1,0.4,5,0,0,0,0
610213,WADSWORTH,Network 9,2014-2015,S1,14.0,9,2,3,9,64.3,4,28.6,4,0.7,1,5,35.7,5,0.9,2,0,0,0,0
610216,WALSH,Network 7,2014-2015,S1,28.0,21,6,1,1,3.6,1,3.6,1,0.2,3,0,0,0,0,0,0,0,0,0
610217,"WARD, J",Network 6,2014-2015,S1,5.0,2,3,0,3,60,1,20,1,0.2,1,2,40,2,0.4,1,0,0,0,0
610133,"WARD, L",Network 5,2014-2015,S1,111.0,39,67,5,61,55,29,26.1,28,4.4,1.52,32,28.8,23,3.6,2.28,14,12.6,14,2.2
610218,WARREN,Network 12,2014-2015,S1,21.0,2,18,1,13,61.9,7,33.3,7,2.4,2.43,6,28.6,6,2,3,3,14.3,3,1
609739,WASHINGTON HS,Network 13,2014-2015,S1,2135.0,1787,309,39,696,32.6,560,26.2,256,17.9,1.04,136,6.4,81,5.7,2.29,58,2.7,33,2.3
610219,"WASHINGTON, G",Network 13,2014-2015,S1,9.0,3,6,0,6,66.7,6,66.7,4,0.5,2.17,0,0,0,0,0,1,11.1,1,0.1
610124,"WASHINGTON, H",Network 12,2014-2015,S1,36.0,12,22,2,17,47.2,5,13.9,5,1.1,1,12,33.3,10,2.2,2.33,2,5.6,2,0.4
610221,WEBSTER,Network 5,2014-2015,S1,2.0,0,2,0,1,50,0,0,0,0,0,1,50,1,0.3,3,2,100,1,0.3
609740,WELLS HS,Network 6,2014-2015,S1,103.0,38,56,9,72,69.9,45,43.7,41,7.7,1.42,27,26.2,23,4.3,3.41,17,16.5,16,3
610110,"WELLS, I",Network 9,2014-2015,S1,88.0,11,70,7,53,60.2,25,28.4,23,5,1.2,28,31.8,22,4.8,1.46,0,0,0,0
610223,WENTWORTH,Network 11,2014-2015,S1,72.0,13,53,6,6,8.3,1,1.4,1,0.2,3,5,6.9,5,0.9,4.4,5,6.9,5,0.9
610100,WEST PARK,Network 5,2014-2015,S1,129.0,110,14,5,22,17.1,14,10.9,11,1.7,1.07,8,6.2,6,0.9,1.75,3,2.3,3,0.5
610542,WEST RIDGE,Network 2,2014-2015,S1,8.0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610300,WESTCOTT,Network 11,2014-2015,S1,18.0,0,12,6,13,72.2,10,55.6,8,2.1,1.3,3,16.7,2,0.5,1.67,4,22.2,3,0.8
610225,WHISTLER,Network 13,2014-2015,S1,118.0,95,15,8,13,11,0,0,0,0,0,13,11,10,3.5,1.77,0,0,0,0
610315,WHITE,Network 13,2014-2015,S1,18.0,1,16,1,5,27.8,0,0,0,0,0,5,27.8,4,2.2,2.4,0,0,0,0
610227,WHITNEY,Network 7,2014-2015,S1,44.0,24,19,1,11,25,10,22.7,10,0.9,1,1,2.3,1,0.1,3,0,0,0,0
610228,WHITTIER,Network 7,2014-2015,S1,11.0,5,5,1,13,118.2,9,81.8,7,2.2,1.33,4,36.4,4,1.2,2.25,0,0,0,0
610230,WILDWOOD,Network 1,2014-2015,S1,9.0,3,6,0,1,11.1,0,0,0,0,0,1,11.1,1,0.2,2,1,11.1,1,0.2
610380,"WILLIAMS, D",Network 9,2014-2015,S1,265.0,106,152,7,92,34.7,13,4.9,11,3.8,1.46,79,29.8,60,20.8,2.34,49,18.5,41,14.2
610345,WOODSON,Network 9,2014-2015,S1,46.0,3,38,5,30,65.2,2,4.3,2,0.6,1,28,60.9,23,6.7,1.36,0,0,0,0
610392,WORLD LANGUAGE HS,Network 7,2014-2015,S1,20.0,6,14,0,10,50,7,35,7,2.1,1,3,15,3,0.9,1,0,0,0,0
