School ID,School Name,School Network,School Year,Time Period,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification
610242,BRENNEMANN,Network 2,2023-2024,EOY,153.0,51,82,20,79,51.6,26,17,19,3.9,1.08,53,34.6,31,6.3,1.51,6,3.9,6,1.2
609809,BRENTANO,Network 4,2023-2024,EOY,20.0,1,16,3,18,90,16,80,14,1.9,1.13,2,10,2,0.3,2,,,,
609810,BRIDGE,Network 1,2023-2024,EOY,417.0,288,117,12,47,11.3,37,8.9,30,2.7,1.03,10,2.4,5,0.4,1.3,,,,
609811,BRIGHT,Network 13,2023-2024,EOY,30.0,12,17,1,2,6.7,2,6.7,2,0.9,1,,,,,,3,10,3,1.4
610317,BRIGHTON PARK,Network 8,2023-2024,EOY,1.0,,,1,,,,,,,,,,,,,1,100,1,0.3
610590,BRONZEVILLE CLASSICAL,Network 9,2023-2024,EOY,55.0,34,19,2,11,20,4,7.3,3,0.7,1.25,7,12.7,6,1.4,1.43,,,,
610381,BRONZEVILLE HS,Network 17,2023-2024,EOY,65.0,22,26,17,28,43.1,15,23.1,13,12.2,1.13,13,20,12,11.3,1.77,,,,
609726,BROOKS HS,ISP,2023-2024,EOY,63.0,13,41,9,49,77.8,28,44.4,27,2.8,1.39,21,33.3,18,1.9,1.76,,,,
610091,BROWN R,Network 13,2023-2024,EOY,25.0,13,12,,6,24,2,8,2,0.7,1,4,16,4,1.3,1.5,,,,
609812,BROWN W,Network 6,2023-2024,EOY,21.0,5,15,1,6,28.6,5,23.8,5,1.9,1,1,4.8,1,0.4,3,,,,
609813,BROWNELL,Network 12,2023-2024,EOY,109.0,72,33,4,15,13.8,7,6.4,6,4.3,1.43,8,7.3,7,5,1.25,1,0.9,1,0.7
609830,BRUNSON,Network 3,2023-2024,EOY,17.0,,13,4,15,88.2,,,,,,15,88.2,14,3.2,2.4,10,58.8,10,2.3
609817,BUDLONG,ISP,2023-2024,EOY,38.0,13,24,1,17,44.7,12,31.6,9,1.2,1,5,13.2,5,0.7,1.4,2,5.3,2,0.3
609818,BURBANK,Network 3,2023-2024,EOY,125.0,88,37,,45,36,26,20.8,20,2.8,1.38,19,15.2,14,1.9,1.37,2,1.6,2,0.3
609819,BURKE,Network 9,2023-2024,EOY,7.0,,6,1,7,100,5,71.4,5,1.8,2,2,28.6,2,0.7,3,,,,
609820,BURLEY,Network 4,2023-2024,EOY,8.0,5,3,,1,12.5,1,12.5,1,0.2,1,,,,,,,,,
609821,BURNHAM,Network 13,2023-2024,EOY,163.0,52,106,5,32,19.6,27,16.6,17,4.2,1.26,5,3.1,3,0.7,1.2,,,,
609827,BURNSIDE,Network 12,2023-2024,EOY,35.0,18,14,3,3,8.6,3,8.6,3,1,1,,,,,,,,,
609828,BURR,Network 6,2023-2024,EOY,17.0,7,10,,8,47.1,2,11.8,2,0.4,1,6,35.3,5,1.1,1.83,,,,
609829,BURROUGHS,Network 8,2023-2024,EOY,37.0,16,21,,12,32.4,4,10.8,3,1,1.25,8,21.6,5,1.6,1.88,,,,
609832,BYRNE,Network 10,2023-2024,EOY,120.0,95,19,6,9,7.5,9,7.5,8,1.4,1.67,,,,,,,,,
610353,CALMECA,Network 8,2023-2024,EOY,120.0,62,52,6,18,15,9,7.5,8,1.3,1,9,7.5,8,1.3,1.44,2,1.7,2,0.3
609835,CAMERON,Network 5,2023-2024,EOY,218.0,104,108,6,87,39.9,43,19.7,30,4.5,1.21,44,20.2,32,4.8,1.64,1,0.5,1,0.2
610539,CAMRAS,ISP,2023-2024,EOY,6.0,1,4,1,5,83.3,5,83.3,5,0.7,1.2,,,,,,1,16.7,1,0.1
609836,CANTY,Network 1,2023-2024,EOY,87.0,42,39,6,19,21.8,19,21.8,14,1.7,1.16,,,,,,,,,
610024,CARDENAS,ISP,2023-2024,EOY,52.0,34,18,,17,32.7,17,32.7,15,1.9,1.65,,,,,,,,,
609837,CARNEGIE,Network 9,2023-2024,EOY,46.0,25,18,3,3,6.5,1,2.2,1,0.3,1,2,4.3,2,0.5,2,3,6.5,2,0.5
609839,CARROLL,Network 10,2023-2024,EOY,145.0,70,66,9,31,21.4,2,1.4,2,0.5,1,29,20,22,5.2,1.34,5,3.4,3,0.7
609842,CARSON,ISP,2023-2024,EOY,35.0,20,14,1,15,42.9,4,11.4,3,0.4,1,11,31.4,10,1.3,1,,,,
609844,CARTER,Network 9,2023-2024,EOY,61.0,7,45,9,40,65.6,1,1.6,1,0.4,1,39,63.9,30,10.8,2.13,,,,
609845,CARVER G,Network 13,2023-2024,EOY,207.0,81,112,14,38,18.4,22,10.6,19,3.9,1,16,7.7,15,3.1,1.75,8,3.9,8,1.7
609760,CARVER MILITARY HS,Network 17,2023-2024,EOY,148.0,30,110,8,110,74.3,64,43.2,48,11.9,1.14,46,31.1,38,9.4,1.83,8,5.4,8,2
610021,CASALS,Network 5,2023-2024,EOY,14.0,2,11,1,11,78.6,8,57.1,7,1.9,1.25,3,21.4,1,0.3,2,1,7.1,1,0.3
609849,CASSELL,ISP,2023-2024,EOY,15.0,7,5,3,,,,,,,,,,,,,,,,
610251,CATHER,Network 5,2023-2024,EOY,57.0,10,46,1,26,45.6,18,31.6,16,4.8,1.06,8,14,7,2.1,2,2,3.5,2,0.6
609851,CHALMERS,Network 5,2023-2024,EOY,75.0,27,46,2,27,36,26,34.7,15,6.7,1.23,1,1.3,1,0.4,2,1,1.3,1,0.4
609852,CHAPPELL,Network 2,2023-2024,EOY,64.0,38,23,3,11,17.2,9,14.1,8,1.4,1.44,2,3.1,2,0.4,1.5,,,,
609853,CHASE,Network 4,2023-2024,EOY,4.0,,3,1,2,50,2,50,2,0.5,1,,,,,,,,,
610148,CHAVEZ,ISP,2023-2024,EOY,75.0,10,48,17,36,48,27,36,18,2.3,2.04,9,12,7,0.9,1.67,2,2.7,2,0.3
400022,CHIARTS HS,Contract,2023-2024,EOY,98.0,73,23,2,23,23.5,2,2,2,0.3,1,21,21.4,17,2.9,2,,,,
610248,CHICAGO ACADEMY ES,Network 1,2023-2024,EOY,18.0,5,12,1,10,55.6,10,55.6,10,1.8,1,,,,,,,,,
610340,CHICAGO ACADEMY HS,Network 14,2023-2024,EOY,249.0,148,94,7,85,34.1,68,27.3,47,8.5,1.01,17,6.8,16,2.9,1.76,4,1.6,4,0.7
609753,CHICAGO AGRICULTURE HS,ISP,2023-2024,EOY,103.0,26,68,9,62,60.2,11,10.7,10,1.3,1,51,49.5,40,5.2,2.33,4,3.9,4,0.5
400147,CHICAGO EXCEL HS,Options,2023-2024,EOY,,,,,,,,,,,,,,,,,,,,
609754,CHICAGO MILITARY HS,Network 17,2023-2024,EOY,179.0,117,51,11,35,19.6,6,3.4,6,3,1.67,29,16.2,23,11.4,2.28,,,,
400091,CHICAGO TECH HS,Contract,2023-2024,EOY,60.0,18,29,13,35,58.3,1,1.7,1,0.3,2,34,56.7,26,7.3,3.09,8,13.3,7,2
609674,CHICAGO VOCATIONAL HS,Network 17,2023-2024,EOY,575.0,190,246,139,228,39.7,,,,,,228,39.7,148,25.6,2.8,55,9.6,46,7.9
610060,CHICAGO WORLD LANGUAGE ACADEMY,Network 6,2023-2024,EOY,21.0,17,3,1,1,4.8,1,4.8,1,0.2,1,,,,,,,,,
609855,CHRISTOPHER,Network 8,2023-2024,EOY,28.0,,20,8,26,92.9,9,32.1,6,1.9,1.33,17,60.7,11,3.4,1.71,3,10.7,3,0.9
400032,CICS - ELLISON HS,Charter,2023-2024,EOY,,,,,,,,,,,,,,,,,,,,
610347,CLAREMONT,Network 10,2023-2024,EOY,16.0,9,7,,5,31.3,2,12.5,2,0.6,2,3,18.8,3,0.9,2.33,1,6.3,1,0.3
609795,CLARK ES,ISP,2023-2024,EOY,138.0,93,43,2,25,18.1,21,15.2,12,8.4,1.05,4,2.9,2,1.4,1.25,,,,
610244,CLARK HS,ISP,2023-2024,EOY,546.0,327,207,12,90,16.5,6,1.1,6,1.6,1.17,84,15.4,61,15.8,1.79,4,0.7,4,1
609856,CLAY,Network 13,2023-2024,EOY,81.0,50,29,2,6,7.4,,,,,,6,7.4,5,0.8,1.5,3,3.7,3,0.5
609759,CLEMENTE HS,Network 15,2023-2024,EOY,1699.0,1047,626,26,457,26.9,368,21.7,199,26.3,1,89,5.2,67,8.9,2.2,8,0.5,8,1.1
609857,CLEVELAND,Network 1,2023-2024,EOY,8.0,6,,2,,,,,,,,,,,,,1,12.5,1,0.2
609859,CLINTON,ISP,2023-2024,EOY,52.0,31,20,1,3,5.8,3,5.8,3,0.3,1.33,,,,,,,,,
609861,CLISSOLD,Network 10,2023-2024,EOY,110.0,29,79,2,35,31.8,21,19.1,18,3.7,1.14,14,12.7,5,1,1.43,1,0.9,1,0.2
610199,COLEMON,Network 13,2023-2024,EOY,70.0,27,42,1,21,30,12,17.1,9,4.9,1.08,9,12.9,5,2.7,1.33,,,,
609862,COLES,Network 12,2023-2024,EOY,309.0,197,110,2,17,5.5,3,1,3,1.2,1.67,14,4.5,13,5.1,1.71,,,,
610499,COLLINS HS,Network 15,2023-2024,EOY,64.0,7,48,9,26,40.6,8,12.5,7,3.5,2,18,28.1,12,6,2,2,3.1,2,1
610170,COLUMBIA EXPLORERS,ISP,2023-2024,EOY,55.0,39,16,,,,,,,,,,,,,,,,,
609863,COLUMBUS,ISP,2023-2024,EOY,346.0,249,92,5,15,4.3,9,2.6,8,2.9,1,6,1.7,4,1.4,1,,,,
609864,COOK,Network 11,2023-2024,EOY,43.0,23,19,1,3,7,,,,,,3,7,2,0.7,1.67,,,,
609866,COONLEY,Network 2,2023-2024,EOY,24.0,12,11,1,6,25,3,12.5,3,0.4,1.33,3,12.5,3,0.4,1.33,,,,
609867,COOPER,Network 7,2023-2024,EOY,4.0,,3,1,,,,,,,,,,,,,1,25,1,0.2
609870,CORKERY,ISP,2023-2024,EOY,158.0,72,74,12,43,27.2,31,19.6,19,4.4,1.06,12,7.6,10,2.3,1.5,3,1.9,3,0.7
609761,CORLISS HS,Network 17,2023-2024,EOY,736.0,594,109,33,98,13.3,11,1.5,11,3.9,1,87,11.8,64,22.7,1.74,11,1.5,11,3.9
610355,COURTENAY,Network 2,2023-2024,EOY,62.0,49,13,,3,4.8,2,3.2,2,0.7,1,1,1.6,1,0.3,1,1,1.6,1,0.3
610561,CRANE MEDICAL HS,Network 15,2023-2024,EOY,62.0,5,9,48,46,74.2,,,,,,46,74.2,40,14.6,2.65,,,,
609873,CROWN,Network 5,2023-2024,EOY,32.0,,28,4,33,103.1,20,62.5,15,13.3,1.35,13,40.6,9,8,1.62,,,,
610003,CUFFE,Network 11,2023-2024,EOY,14.0,,10,4,11,78.6,,,,,,11,78.6,8,3.4,1.73,,,,
610004,CULLEN,Network 13,2023-2024,EOY,54.0,47,7,,,,,,,,,,,,,,,,,
609756,CURIE HS,Network 15,2023-2024,EOY,1548.0,854,599,95,384,24.8,81,5.2,76,2.7,1.01,303,19.6,184,6.4,1.8,32,2.1,31,1.1
609900,CURTIS,Network 13,2023-2024,EOY,356.0,134,204,18,28,7.9,15,4.2,12,3.6,1.4,13,3.7,9,2.7,1.62,5,1.4,5,1.5
610239,DALEY,Network 8,2023-2024,EOY,27.0,3,23,1,23,85.2,20,74.1,20,4,1.2,3,11.1,3,0.6,1,,,,
609875,DARWIN,Network 4,2023-2024,EOY,192.0,114,69,9,36,18.8,21,10.9,11,2.2,1.48,15,7.8,8,1.6,1.6,14,7.3,9,1.8
610521,DAVIS M,ISP,2023-2024,EOY,10.0,1,7,2,4,40,,,,,,4,40,4,2.7,1.5,,,,
609876,DAVIS N,Network 8,2023-2024,EOY,168.0,30,120,18,6,3.6,2,1.2,2,0.4,1,4,2.4,4,0.7,2,6,3.6,6,1.1
609879,DAWES,Network 10,2023-2024,EOY,137.0,68,63,6,55,40.1,23,16.8,19,2,1.39,32,23.4,27,2.8,1.84,3,2.2,3,0.3
610313,DE DIEGO,Network 5,2023-2024,EOY,185.0,92,82,11,38,20.5,11,5.9,10,1.7,1,27,14.6,12,2.1,1.48,10,5.4,4,0.7
609880,DECATUR,Network 2,2023-2024,EOY,23.0,6,17,,3,13,3,13,3,0.9,1,,,,,,,,,
609883,DENEEN,Network 12,2023-2024,EOY,56.0,20,28,8,26,46.4,2,3.6,2,0.4,1,24,42.9,13,2.8,1.79,5,8.9,5,1.1
610367,DEPRIEST,Network 3,2023-2024,EOY,176.0,77,90,9,55,31.3,22,12.5,15,3.3,1.05,33,18.8,28,6.1,1.42,2,1.1,2,0.4
610252,DETT,Network 6,2023-2024,EOY,36.0,5,19,12,16,44.4,5,13.9,5,1.7,1.4,11,30.6,11,3.7,2.18,1,2.8,1,0.3
609884,DEVER,Network 1,2023-2024,EOY,31.0,5,17,9,12,38.7,5,16.1,5,0.7,1,7,22.6,6,0.8,1.43,3,9.7,3,0.4
610402,DEVRY HS,Network 14,2023-2024,EOY,22.0,11,11,,1,4.5,1,4.5,1,0.8,1,,,,,,,,,
609874,DIRKSEN,Network 1,2023-2024,EOY,86.0,42,34,10,11,12.8,4,4.7,4,0.3,1.5,7,8.1,6,0.5,2.14,8,9.3,7,0.6
610363,DISNEY,Network 2,2023-2024,EOY,76.0,17,54,5,30,39.5,13,17.1,13,0.9,1.15,17,22.4,12,0.9,1.41,,,,
610515,DISNEY II ES,Network 14,2023-2024,EOY,11.0,2,8,1,2,18.2,1,9.1,1,0.2,1,1,9.1,1,0.2,1,,,,
610564,DISNEY II HS,Network 14,2023-2024,EOY,177.0,91,74,12,31,17.5,7,4,4,0.5,1.14,24,13.6,15,2.1,1.63,8,4.5,6,0.8
609887,DIXON,Network 12,2023-2024,EOY,77.0,53,21,3,20,26,13,16.9,11,2.3,2.69,7,9.1,5,1.1,2.57,,,,
609891,DOOLITTLE,Network 9,2023-2024,EOY,143.0,19,111,13,109,76.2,58,40.6,41,15.6,1.33,51,35.7,35,13.3,1.65,2,1.4,2,0.8
609893,DORE,Network 10,2023-2024,EOY,202.0,157,39,6,29,14.4,12,5.9,11,1.5,1.08,17,8.4,10,1.4,1.06,5,2.5,5,0.7
610245,DOUGLASS HS,Network 15,2023-2024,EOY,19.0,8,10,1,2,10.5,1,5.3,1,3.2,2,1,5.3,1,3.2,3,1,5.3,1,3.2
609894,DRAKE,Network 9,2023-2024,EOY,86.0,38,44,4,31,36,2,2.3,2,0.6,2,29,33.7,18,5.8,1.93,4,4.7,4,1.3
609896,DRUMMOND,Network 6,2023-2024,EOY,4.0,3,1,,,,,,,,,,,,,,,,,
610364,DUBOIS,Network 13,2023-2024,EOY,8.0,7,1,,1,12.5,1,12.5,1,0.5,2,,,,,,,,,
610263,DULLES,Network 9,2023-2024,EOY,169.0,61,101,7,80,47.3,29,17.2,26,3.8,1.03,51,30.2,36,5.3,1.96,10,5.9,8,1.2
609676,DUNBAR HS,Network 17,2023-2024,EOY,199.0,97,76,26,46,23.1,2,1,2,0.6,2,44,22.1,34,9.6,2.71,20,10.1,17,4.8
610188,DUNNE,Network 13,2023-2024,EOY,1.0,,,1,1,100,,,,,,1,100,1,0.5,1,,,,
610352,DURKIN PARK,Network 10,2023-2024,EOY,107.0,53,52,2,12,11.2,,,,,,12,11.2,8,1.2,1.33,,,,
610254,DVORAK,Network 7,2023-2024,EOY,23.0,4,12,7,9,39.1,,,,,,9,39.1,7,2.3,2,2,8.7,2,0.7
610587,DYETT ARTS HS,Network 17,2023-2024,EOY,408.0,285,113,10,95,23.3,13,3.2,13,2.6,1.23,82,20.1,60,12,2.01,13,3.2,12,2.4
610316,EARHART,Network 12,2023-2024,EOY,6.0,1,5,,,,,,,,,,,,,,,,,
609897,EARLE,Network 11,2023-2024,EOY,29.0,18,11,,6,20.7,4,13.8,4,1.5,1,2,6.9,2,0.7,2,,,,
609898,EBERHART,Network 10,2023-2024,EOY,543.0,347,153,43,131,24.1,50,9.2,34,3.3,1.28,81,14.9,38,3.7,1.57,6,1.1,5,0.5
609899,EBINGER,Network 1,2023-2024,EOY,1.0,,1,,,,,,,,,,,,,,,,,
609901,EDGEBROOK,Network 1,2023-2024,EOY,37.0,24,13,,1,2.7,1,2.7,1,0.2,1,,,,,,2,5.4,2,0.4
609794,EDISON,Network 1,2023-2024,EOY,8.0,1,7,,1,12.5,1,12.5,1,0.4,1,,,,,,,,,
610523,EDISON PARK,Network 1,2023-2024,EOY,2.0,,2,,,,,,,,,,,,,,,,,
609903,EDWARDS,Network 8,2023-2024,EOY,16.0,2,12,2,3,18.8,3,18.8,3,0.2,2,,,,,,,,,
609904,ELLINGTON,Network 3,2023-2024,EOY,273.0,113,153,7,66,24.2,23,8.4,22,4.3,1.04,43,15.8,35,6.8,1.74,4,1.5,4,0.8
610592,ENGLEWOOD STEM HS,Network 16,2023-2024,EOY,1457.0,808,447,202,603,41.4,169,11.6,128,21,1.34,434,29.8,210,34.5,2.4,69,4.7,54,8.9
609907,ERICSON,Network 5,2023-2024,EOY,116.0,32,81,3,31,26.7,25,21.6,19,6.1,1,6,5.2,5,1.6,1,,,,
609908,ESMOND,Network 10,2023-2024,EOY,49.0,13,34,2,15,30.6,5,10.2,5,2,1.4,10,20.4,8,3.1,1.6,,,,
609909,EVERETT,ISP,2023-2024,EOY,26.0,26,,,,,,,,,,,,,,,,,,
610319,EVERGREEN,Network 8,2023-2024,EOY,5.0,2,,3,1,20,1,20,1,0.5,2,,,,,,,,,
610362,EVERS,Network 11,2023-2024,EOY,78.0,66,9,3,8,10.3,3,3.8,3,1.5,1,5,6.4,3,1.5,1.6,1,1.3,1,0.5
400175,EXCEL SOUTH SHORE HS,Options,2023-2024,EOY,25.0,5,19,1,,,,,,,,,,,,,,,,
400176,EXCEL SOUTHWEST HS,Options,2023-2024,EOY,32.0,1,13,18,24,75,,,,,,24,75,22,16.6,2.88,9,28.1,8,6
610057,FAIRFIELD,Network 10,2023-2024,EOY,754.0,457,225,72,70,9.3,28,3.7,23,4.7,1,42,5.6,21,4.3,1.24,3,0.4,3,0.6
609910,FALCONER,Network 3,2023-2024,EOY,46.0,36,10,,3,6.5,3,6.5,2,0.2,1,,,,,,,,,
609912,FARNSWORTH,Network 1,2023-2024,EOY,24.0,12,10,2,5,20.8,3,12.5,3,0.6,1.67,2,8.3,2,0.4,1.5,,,,
609704,FARRAGUT HS,Network 16,2023-2024,EOY,1946.0,1645,290,11,128,6.6,63,3.2,62,12.4,1,65,3.3,58,11.6,1.92,30,1.5,25,5
609705,FENGER HS,Network 17,2023-2024,EOY,454.0,225,201,28,154,33.9,32,7,24,11.8,1.06,122,26.9,76,37.4,2.57,4,0.9,3,1.5
609918,FIELD,Network 2,2023-2024,EOY,1.0,,1,,,,,,,,,,,,,,,,,
609967,FINKL,Network 7,2023-2024,EOY,23.0,3,13,7,20,87,3,13,3,1.2,1,17,73.9,11,4.3,1.35,,,,
610595,FISHER,Network 4,2023-2024,EOY,1.0,,,1,,,,,,,,,,,,,,,,
609919,FISKE,Network 9,2023-2024,EOY,122.0,28,88,6,21,17.2,2,1.6,2,0.5,2,19,15.6,18,4.7,1.95,8,6.6,8,2.1
609708,FOREMAN HS,Network 14,2023-2024,EOY,2073.0,1206,856,11,752,36.3,557,26.9,139,22.5,1.03,195,9.4,86,13.9,1.27,2,0.1,2,0.3
609924,FORT DEARBORN,Network 11,2023-2024,EOY,21.0,11,9,1,7,33.3,3,14.3,3,0.9,2.33,4,19,4,1.2,1.5,,,,
609927,FOSTER PARK,Network 11,2023-2024,EOY,281.0,212,63,6,25,8.9,17,6,15,4.4,1.47,8,2.8,5,1.5,2.13,6,2.1,4,1.2
609926,FRANKLIN,Network 4,2023-2024,EOY,510.0,479,31,,4,0.8,4,0.8,4,1.1,1,,,,,,,,,
610503,FRAZIER PROSPECTIVE,ISP,2023-2024,EOY,62.0,14,48,,50,80.6,37,59.7,26,19.6,1.16,13,21,8,6,1.23,,,,
609928,FULLER,Network 9,2023-2024,EOY,40.0,23,17,,7,17.5,3,7.5,3,1,1.33,4,10,4,1.3,2,4,10,3,1
609929,FULTON,Network 8,2023-2024,EOY,6.0,5,1,,2,33.3,1,16.7,1,0.3,1,1,16.7,1,0.3,2,,,,
609930,FUNSTON,Network 4,2023-2024,EOY,31.0,19,12,,9,29,8,25.8,8,1.8,1.5,1,3.2,1,0.2,1,1,3.2,1,0.2
609709,GAGE PARK HS,Network 16,2023-2024,EOY,77.0,39,31,7,26,33.8,4,5.2,4,1.2,1,22,28.6,20,5.9,1.95,,,,
609933,GALE,Network 2,2023-2024,EOY,17.0,15,2,,1,5.9,1,5.9,1,0.3,1,,,,,,,,,
610009,GALILEO,Network 6,2023-2024,EOY,26.0,4,16,6,5,19.2,1,3.8,1,0.2,1,4,15.4,2,0.4,1.75,1,3.8,1,0.2
609935,GALLISTEL,Network 13,2023-2024,EOY,138.0,117,20,1,4,2.9,4,2.9,4,0.7,1,,,,,,,,,
610128,GARVEY,Network 13,2023-2024,EOY,21.0,6,15,,11,52.4,11,52.4,9,3.7,1.36,,,,,,,,,
609937,GARVY,Network 1,2023-2024,EOY,116.0,52,61,3,15,12.9,3,2.6,3,0.4,1.33,12,10.3,10,1.3,1.42,3,2.6,1,0.1
609938,GARY,Network 7,2023-2024,EOY,153.0,70,74,9,6,3.9,5,3.3,5,0.7,1.2,1,0.7,1,0.1,1,2,1.3,2,0.3
609939,GILLESPIE,Network 12,2023-2024,EOY,33.0,12,21,,15,45.5,6,18.2,5,1.5,1.33,9,27.3,6,1.8,1.78,7,21.2,4,1.2
609942,GOETHE,Network 4,2023-2024,EOY,10.0,5,3,2,2,20,1,10,1,0.1,2,1,10,1,0.1,2,1,10,1,0.1
610558,GOODE HS,Network 16,2023-2024,EOY,1821.0,1544,259,18,216,11.9,175,9.6,97,10.5,1,41,2.3,35,3.8,1.51,11,0.6,11,1.2
609945,GOUDY,Network 2,2023-2024,EOY,5.0,,3,2,5,100,2,40,2,0.4,1,3,60,3,0.5,1,1,20,1,0.2
609947,GRAHAM ES,Network 6,2023-2024,EOY,22.0,4,13,5,19,86.4,11,50,7,2,2.27,8,36.4,6,1.7,2.38,6,27.3,4,1.1
609769,GRAHAM HS,Network 14,2023-2024,EOY,5.0,2,3,,1,20,,,,,,1,20,1,0.4,2,,,,
609949,GRAY,Network 1,2023-2024,EOY,171.0,68,79,24,90,52.6,55,32.2,42,4.1,1.07,35,20.5,28,2.8,1.31,,,,
400168,GREAT LAKES,Charter,2023-2024,EOY,,,,,,,,,,,,,,,,,,,,
609850,GREELEY,Network 4,2023-2024,EOY,84.0,47,34,3,12,14.3,6,7.1,5,1.3,1.33,6,7.1,4,1,1.33,1,1.2,1,0.3
609952,GREENE,Network 8,2023-2024,EOY,4.0,,4,,,,,,,,,,,,,,,,,
609954,GREGORY,Network 5,2023-2024,EOY,70.0,13,50,7,34,48.6,10,14.3,9,3.6,1.4,24,34.3,22,8.7,1.38,9,12.9,5,2
609955,GRESHAM,Network 11,2023-2024,EOY,80.0,4,48,28,29,36.3,10,12.5,9,2.7,1,19,23.8,11,3.4,1.32,2,2.5,1,0.3
609956,GRIMES,Network 10,2023-2024,EOY,20.0,6,13,1,6,30,5,25,5,1.3,1.2,1,5,1,0.3,1,,,,
609944,GRISSOM,Network 13,2023-2024,EOY,40.0,18,21,1,11,27.5,6,15,4,1.4,1,5,12.5,4,1.4,1.4,,,,
609958,GUNSAULUS,Network 8,2023-2024,EOY,14.0,6,8,,,,,,,,,,,,,,1,7.1,1,0.2
609959,HAINES,Network 6,2023-2024,EOY,27.0,12,15,,3,11.1,3,11.1,3,0.6,2,,,,,,,,,
609960,HALE,Network 10,2023-2024,EOY,215.0,145,68,2,55,25.6,50,23.3,39,5,1.36,5,2.3,3,0.4,1.2,8,3.7,7,0.9
609808,HALEY,Network 13,2023-2024,EOY,95.0,57,34,4,15,15.8,1,1.1,1,0.2,2,14,14.7,14,3.1,1.21,6,6.3,6,1.3
609963,HAMILTON,Network 4,2023-2024,EOY,1.0,,,1,,,,,,,,,,,,,,,,
609964,HAMLINE,Network 8,2023-2024,EOY,5.0,,4,1,,,,,,,,,,,,,,,,
609966,HAMMOND,Network 7,2023-2024,EOY,11.0,3,8,,5,45.5,4,36.4,4,1.5,1,1,9.1,1,0.4,1,,,,
609807,HAMPTON,Network 10,2023-2024,EOY,162.0,24,122,16,46,28.4,20,12.3,16,3.6,1.25,26,16,15,3.4,1.65,4,2.5,4,0.9
609694,HANCOCK HS,Network 15,2023-2024,EOY,32.0,18,14,,4,12.5,2,6.3,2,0.2,1,2,6.3,2,0.2,1,,,,
610068,HANSON PARK,Network 3,2023-2024,EOY,108.0,47,51,10,11,10.2,1,0.9,1,0.1,1,10,9.3,7,0.6,1.9,1,0.9,1,0.1
609710,HARLAN HS,Network 17,2023-2024,EOY,1994.0,1724,179,91,208,10.4,43,2.2,39,18.9,1.42,165,8.3,78,37.9,2.81,11,0.6,10,4.9
609969,HARTE,Network 9,2023-2024,EOY,65.0,17,37,11,20,30.8,7,10.8,7,2,1,13,20,9,2.6,1.31,2,3.1,2,0.6
609971,HARVARD,Network 11,2023-2024,EOY,131.0,61,59,11,7,5.3,,,,,,7,5.3,5,1.4,1.57,1,0.8,1,0.3
609972,HAUGAN,ISP,2023-2024,EOY,135.0,48,84,3,20,14.8,19,14.1,18,1.7,1.53,1,0.7,1,0.1,3,,,,
609974,HAWTHORNE,Network 4,2023-2024,EOY,167.0,112,52,3,6,3.6,6,3.6,6,1,1,,,,,,,,,
609975,HAY,Network 3,2023-2024,EOY,43.0,23,18,2,15,34.9,3,7,3,1.1,1,12,27.9,7,2.7,1.58,1,2.3,1,0.4
609976,HAYT,Network 2,2023-2024,EOY,82.0,40,42,,24,29.3,23,28,17,1.9,1.22,1,1.2,1,0.1,1,1,1.2,1,0.1
609979,HEALY,Network 6,2023-2024,EOY,134.0,104,30,,7,5.2,7,5.2,6,0.5,1,,,,,,,,,
609981,HEARST,Network 10,2023-2024,EOY,85.0,34,45,6,16,18.8,,,,,,16,18.8,12,4,1.38,,,,
609983,HEDGES,Network 8,2023-2024,EOY,27.0,18,8,1,3,11.1,1,3.7,1,0.2,2,2,7.4,2,0.4,1,2,7.4,1,0.2
609985,HEFFERAN,Network 5,2023-2024,EOY,98.0,28,64,6,47,48,14,14.3,12,6.1,1.43,33,33.7,20,10.2,2.12,,,,
609987,HENDRICKS,Network 9,2023-2024,EOY,123.0,63,51,9,32,26,7,5.7,5,2.4,2,25,20.3,14,6.7,1.76,4,3.3,4,1.9
609988,HENRY,Network 1,2023-2024,EOY,52.0,25,26,1,5,9.6,5,9.6,5,1.1,1,,,,,,,,,
610532,HERNANDEZ,ISP,2023-2024,EOY,107.0,43,57,7,62,57.9,61,57,53,7,2.34,1,0.9,1,0.1,3,3,2.8,3,0.4
609991,HERZL,Network 7,2023-2024,EOY,59.0,9,46,4,32,54.2,10,16.9,9,2.1,1.1,22,37.3,18,4.3,1.77,2,3.4,1,0.2
609994,HIBBARD,Network 1,2023-2024,EOY,182.0,90,89,3,12,6.6,11,6,10,1.1,1.64,1,0.5,1,0.1,1,,,,
610295,HIGGINS,Network 13,2023-2024,EOY,222.0,136,85,1,18,8.1,11,5,10,3.6,1.18,7,3.2,5,1.8,1.14,1,0.5,1,0.4
