Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,ALBANY PARK,  242 ,  87 ,36.0%,  33 ,13.6%,  216 ,89.3%
Network 1,609792,BATEMAN,  879 ,  323 ,36.8%,  133 ,15.1%,  521 ,59.3%
Network 1,610083,BEARD,  288 ,  54 ,18.8%,  133 ,46.2%,  73 ,25.4%
Network 1,609796,BEAUBIEN,  964 ,  175 ,18.2%,  128 ,13.3%,  368 ,38.2%
Network 1,609798,BELDING,  533 ,  93 ,17.5%,  64 ,12.0%,  242 ,45.4%
Network 1,609810,BRIDGE,"  1,045 ",  293 ,28.0%,  130 ,12.4%,  577 ,55.2%
Network 1,609836,CANTY,  774 ,  190 ,24.6%,  119 ,15.4%,  320 ,41.3%
Network 1,609857,CLEVELAND,  520 ,  198 ,38.1%,  142 ,27.3%,  352 ,67.7%
Network 1,609884,DEVER,  751 ,  274 ,36.5%,  82 ,10.9%,  366 ,48.7%
Network 1,609874,DIRKSEN,  890 ,  493 ,55.4%,  82 ,9.2%,  506 ,56.9%
Network 1,609901,EDGEBROOK,  453 ,  35 ,7.7%,  51 ,11.3%,  55 ,12.1%
Network 1,609794,EDISON,  256 ,  1 ,0.4%,  15 ,5.9%,  28 ,10.9%
Network 1,610523,EDISON PARK,  465 ,  46 ,9.9%,  86 ,18.5%,  79 ,17.0%
Network 1,609912,FARNSWORTH,  521 ,  202 ,38.8%,  145 ,27.8%,  281 ,53.9%
Network 1,609937,GARVY,  706 ,  165 ,23.4%,  69 ,9.8%,  226 ,32.0%
Network 1,609949,GRAY,"  1,000 ",  364 ,36.4%,  142 ,14.2%,  719 ,71.9%
Network 1,609988,HENRY,  506 ,  263 ,52.0%,  77 ,15.2%,  385 ,76.1%
Network 1,609994,HIBBARD,  836 ,  543 ,65.0%,  83 ,9.9%,  616 ,73.7%
Network 1,609995,HITCH,  490 ,  91 ,18.6%,  83 ,16.9%,  219 ,44.7%
Network 1,610089,MURPHY,  481 ,  144 ,29.9%,  84 ,17.5%,  266 ,55.3%
Network 1,610354,NORTH RIVER,  259 ,  134 ,51.7%,  62 ,23.9%,  190 ,73.4%
Network 1,610099,NORWOOD PARK,  382 ,  29 ,7.6%,  50 ,13.1%,  65 ,17.0%
