Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610104,ONAHAN,  662 ,  50 ,7.6%,  106 ,16.0%,  177 ,26.7%
Network 1,610105,ORIOLE PARK,  621 ,  55 ,8.9%,  58 ,9.3%,  120 ,19.3%
Network 1,610127,PETERSON,  865 ,  313 ,36.2%,  110 ,12.7%,  482 ,55.7%
Network 1,610135,PORTAGE PARK,  787 ,  161 ,20.5%,  113 ,14.4%,  465 ,59.1%
Network 1,610137,PRUSSING,  642 ,  220 ,34.3%,  76 ,11.8%,  382 ,59.5%
Network 1,610145,REINBERG,  739 ,  285 ,38.6%,  142 ,19.2%,  493 ,66.7%
Network 1,610155,SAUGANASH,  632 ,  102 ,16.1%,  54 ,8.5%,  97 ,15.4%
Network 1,610159,SCAMMON,  653 ,  293 ,44.9%,  67 ,10.3%,  525 ,80.4%
Network 1,610182,SOLOMON,  350 ,  123 ,35.1%,  71 ,20.3%,  137 ,39.1%
Network 1,610163,STOCK,  241 ,  23 ,9.5%,  95 ,39.4%,  20 ,8.3%
Network 1,610209,VOLTA,  701 ,  495 ,70.6%,  74 ,10.6%,  546 ,77.9%
Network 1,610230,WILDWOOD,  443 ,  22 ,5.0%,  59 ,13.3%,  41 ,9.3%
Network 2,609804,BOONE,  737 ,  418 ,56.7%,  72 ,9.8%,  560 ,76.0%
Network 2,610242,BRENNEMANN,  433 ,  158 ,36.5%,  84 ,19.4%,  285 ,65.8%
Network 2,609866,COONLEY,  877 ,  36 ,4.1%,  85 ,9.7%,  100 ,11.4%
Network 2,610355,COURTENAY,  208 ,  51 ,24.5%,  79 ,38.0%,  151 ,72.6%
Network 2,609880,DECATUR,  311 ,,,  14 ,4.5%,  36 ,11.6%
Network 2,610363,DISNEY,"  1,467 ",  235 ,16.0%,  130 ,8.9%,  836 ,57.0%
Network 2,609918,FIELD,  140 ,  60 ,42.9%,  31 ,22.1%,  117 ,83.6%
Network 2,609933,GALE,  223 ,  74 ,33.2%,  56 ,25.1%,  180 ,80.7%
Network 2,609976,HAYT,  886 ,  408 ,46.1%,  131 ,14.8%,  639 ,72.1%
Network 2,610011,JAMIESON,  781 ,  258 ,33.0%,  105 ,13.4%,  477 ,61.1%
Network 2,609865,JORDAN,  463 ,  243 ,52.5%,  85 ,18.4%,  366 ,79.1%
Network 2,610022,KILMER,  716 ,  374 ,52.2%,  151 ,21.1%,  563 ,78.6%
Network 2,610269,MCCUTCHEON,  309 ,  139 ,45.0%,  103 ,33.3%,  227 ,73.5%
Network 2,610070,MCPHERSON,  650 ,  182 ,28.0%,  143 ,22.0%,  319 ,49.1%
Network 2,610284,NEW FIELD,  544 ,  196 ,36.0%,  88 ,16.2%,  327 ,60.1%
Network 2,610141,RAVENSWOOD,  516 ,  67 ,13.0%,  56 ,10.9%,  145 ,28.1%
Network 2,610191,STONE,  548 ,  136 ,24.8%,  38 ,6.9%,  284 ,51.8%
Network 2,610196,SWIFT,  549 ,  277 ,50.5%,  106 ,19.3%,  344 ,62.7%
Network 2,610220,WATERS,  630 ,  63 ,10.0%,  49 ,7.8%,  124 ,19.7%
Network 3,609922,BELMONT-CRAGIN,  454 ,  306 ,67.4%,  70 ,15.4%,  290 ,63.9%
Network 3,609830,BRUNSON,  417 ,  18 ,4.3%,  70 ,16.8%,  295 ,70.7%
Network 3,609818,BURBANK,  739 ,  404 ,54.7%,  121 ,16.4%,  598 ,80.9%
Network 3,610367,DEPRIEST,  464 ,  8 ,1.7%,  110 ,23.7%,  372 ,80.2%
Network 3,609904,ELLINGTON,  409 ,  6 ,1.5%,  65 ,15.9%,  315 ,77.0%
Network 3,609910,FALCONER,  898 ,  360 ,40.1%,  152 ,16.9%,  684 ,76.2%
Network 3,610068,HANSON PARK,"  1,175 ",  596 ,50.7%,  236 ,20.1%,  942 ,80.2%
Network 3,609975,HAY,  268 ,  16 ,6.0%,  39 ,14.6%,  215 ,80.2%
Network 3,610305,LELAND,  365 ,  2 ,0.6%,  58 ,15.9%,  267 ,73.2%
Network 3,610036,LEWIS,  401 ,  78 ,19.5%,  53 ,13.2%,  347 ,86.5%
Network 3,610041,LOCKE J,"  1,176 ",  489 ,41.6%,  181 ,15.4%,  897 ,76.3%
Network 3,610043,LOVETT,  306 ,  27 ,8.8%,  36 ,11.8%,  230 ,75.2%
Network 3,610046,LYON,"  1,105 ",  544 ,49.2%,  124 ,11.2%,  899 ,81.4%
Network 3,610282,MCNAIR,  341 ,  24 ,7.0%,  72 ,21.1%,  268 ,78.6%
Network 3,610092,NASH,  221 ,  3 ,1.4%,  30 ,13.6%,  170 ,76.9%
Network 3,610051,NORTHWEST,  468 ,  244 ,52.1%,  77 ,16.5%,  426 ,91.0%
Network 3,610533,PRIETO,  788 ,  429 ,54.4%,  127 ,16.1%,  638 ,81.0%
Network 3,610158,SAYRE,  431 ,  70 ,16.2%,  55 ,12.8%,  234 ,54.3%
Network 3,610165,SCHUBERT,  554 ,  336 ,60.7%,  62 ,11.2%,  401 ,72.4%
Network 3,610183,SPENCER,  433 ,  2 ,0.5%,  40 ,9.2%,  340 ,78.5%
Network 3,610235,YOUNG ES,  512 ,  47 ,9.2%,  51 ,10.0%,  419 ,81.8%
Network 4,609774,ALCOTT ES,  602 ,  35 ,5.8%,  73 ,12.1%,  57 ,9.5%
Network 4,609782,AUDUBON,  490 ,  31 ,6.3%,  49 ,10.0%,  65 ,13.3%
Network 4,610325,AVONDALE-LOGANDALE,  523 ,  242 ,46.3%,  78 ,14.9%,  432 ,82.6%
Network 4,609789,BARRY,  465 ,  285 ,61.3%,  62 ,13.3%,  332 ,71.4%
Network 4,609799,BELL,  904 ,  57 ,6.3%,  85 ,9.4%,  122 ,13.5%
Network 4,609803,BLAINE,  672 ,  32 ,4.8%,  84 ,12.5%,  85 ,12.7%
Network 4,609809,BRENTANO,  669 ,  63 ,9.4%,  66 ,9.9%,  270 ,40.4%
Network 4,609853,CHASE,  394 ,  168 ,42.6%,  111 ,28.2%,  260 ,66.0%
Network 4,609875,DARWIN,  550 ,  234 ,42.6%,  82 ,14.9%,  379 ,68.9%
Network 4,609926,FRANKLIN,  360 ,  10 ,2.8%,  25 ,6.9%,  133 ,36.9%
Network 4,609930,FUNSTON,  403 ,  201 ,49.9%,  90 ,22.3%,  345 ,85.6%
Network 4,609942,GOETHE,  730 ,  175 ,24.0%,  97 ,13.3%,  372 ,51.0%
Network 4,609850,GREELEY,  372 ,  115 ,30.9%,  37 ,10.0%,  278 ,74.7%
Network 4,609963,HAMILTON,  449 ,  26 ,5.8%,  51 ,11.4%,  38 ,8.5%
Network 4,609974,HAWTHORNE,  576 ,  38 ,6.6%,  44 ,7.6%,  93 ,16.2%
Network 4,610078,INTER-AMERICAN,  681 ,  211 ,31.0%,  80 ,11.8%,  283 ,41.6%
Network 4,610010,JAHN,  311 ,  52 ,16.7%,  63 ,20.3%,  133 ,42.8%
Network 4,610033,LASALLE,  469 ,  8 ,1.7%,  54 ,11.5%,  151 ,32.2%
Network 4,610038,LINCOLN,  823 ,  38 ,4.6%,  34 ,4.1%,  84 ,10.2%
Network 4,610048,MANIERRE,  266 ,  1 ,0.4%,  36 ,13.5%,  211 ,79.3%
Network 4,610059,MAYER,  645 ,  14 ,2.2%,  46 ,7.1%,  51 ,7.9%
Network 4,609968,MCAULIFFE,  571 ,  241 ,42.2%,  73 ,12.8%,  454 ,79.5%
Network 4,610074,MONROE,  701 ,  226 ,32.2%,  104 ,14.8%,  559 ,79.7%
Network 4,610088,MOZART,  480 ,  277 ,57.7%,  85 ,17.7%,  396 ,82.5%
Network 4,610094,NETTELHORST,  675 ,  86 ,12.7%,  66 ,9.8%,  145 ,21.5%
Network 4,610095,NEWBERRY,  386 ,  29 ,7.5%,  64 ,16.6%,  229 ,59.3%
Network 4,610097,NIXON,  588 ,  309 ,52.6%,  77 ,13.1%,  433 ,73.6%
Network 4,610136,PRESCOTT,  415 ,  37 ,8.9%,  59 ,14.2%,  112 ,27.0%
Network 4,610144,REILLY,  608 ,  319 ,52.5%,  89 ,14.6%,  492 ,80.9%
Network 4,610534,SKINNER NORTH,  493 ,  8 ,1.6%,  22 ,4.5%,  40 ,8.1%
Network 4,609773,TUBMAN,  393 ,  25 ,6.4%,  63 ,16.0%,  110 ,28.0%
Network 5,609797,BEIDLER,  306 ,,,  30 ,9.8%,  251 ,82.0%
Network 5,610021,CASALS,  353 ,  77 ,21.8%,  43 ,12.2%,  278 ,78.8%
Network 5,610251,CATHER,  335 ,  9 ,2.7%,  75 ,22.4%,  290 ,86.6%
Network 5,609854,CHOPIN,  288 ,  83 ,28.8%,  79 ,27.4%,  231 ,80.2%
Network 5,609873,CROWN,  141 ,  4 ,2.8%,  18 ,12.8%,  120 ,85.1%
Network 5,610313,DE DIEGO,  464 ,  70 ,15.1%,  77 ,16.6%,  360 ,77.6%
Network 5,609907,ERICSON,  405 ,  2 ,0.5%,  34 ,8.4%,  329 ,81.2%
Network 5,610055,FARADAY,  184 ,,,  22 ,12.0%,  155 ,84.2%
Network 5,609954,GREGORY,  284 ,,,  39 ,13.7%,  241 ,84.9%
Network 5,609985,HEFFERAN,  224 ,,,  32 ,14.3%,  184 ,82.1%
Network 5,610271,JENSEN,  300 ,  4 ,1.3%,  30 ,10.0%,  257 ,85.7%
Network 5,609925,KELLMAN,  213 ,  3 ,1.4%,  15 ,7.0%,  177 ,83.1%
Network 5,610034,LAWNDALE,  216 ,  1 ,0.5%,  35 ,16.2%,  169 ,78.2%
Network 5,610044,LOWELL,  311 ,  88 ,28.3%,  89 ,28.6%,  246 ,79.1%
Network 5,610293,MELODY,  310 ,,,  51 ,16.5%,  253 ,81.6%
Network 5,610076,MOOS,  433 ,  166 ,38.3%,  57 ,13.2%,  310 ,71.6%
Network 5,610106,PICCOLO,  546 ,  218 ,39.9%,  87 ,15.9%,  456 ,83.5%
Network 5,610192,STOWE,  585 ,  270 ,46.2%,  97 ,16.6%,  476 ,81.4%
Network 5,610194,SUMNER,  218 ,,,  20 ,9.2%,  176 ,80.7%
Network 5,610202,TILTON,  253 ,  9 ,3.6%,  34 ,13.4%,  210 ,83.0%
Network 5,610133,WARD L,  286 ,  14 ,4.9%,  69 ,24.1%,  241 ,84.3%
Network 5,610221,WEBSTER,  222 ,,,  31 ,14.0%,  187 ,84.2%
Network 5,610100,WEST PARK,  489 ,  227 ,46.4%,  60 ,12.3%,  394 ,80.6%
Network 5,610234,YATES,  302 ,  108 ,35.8%,  90 ,29.8%,  264 ,87.4%
Network 6,609812,BROWN W,  187 ,  7 ,3.7%,  52 ,27.8%,  153 ,81.8%
Network 6,609828,BURR,  489 ,  38 ,7.8%,  59 ,12.1%,  138 ,28.2%
Network 6,610060,Chicago World Language Academy,  445 ,  83 ,18.7%,  42 ,9.4%,  174 ,39.1%
Network 6,610252,DETT,  288 ,  9 ,3.1%,  85 ,29.5%,  236 ,81.9%
Network 6,609896,DRUMMOND,  312 ,  17 ,5.5%,  39 ,12.5%,  35 ,11.2%
Network 6,610009,GALILEO,  546 ,  95 ,17.4%,  65 ,11.9%,  228 ,41.8%
Network 6,609947,GRAHAM ES,  346 ,  81 ,23.4%,  37 ,10.7%,  276 ,79.8%
Network 6,609959,HAINES,  567 ,  172 ,30.3%,  23 ,4.1%,  432 ,76.2%
Network 6,609979,HEALY,"  1,269 ",  359 ,28.3%,  56 ,4.4%,  957 ,75.4%
Network 6,610121,IRVING,  297 ,  13 ,4.4%,  40 ,13.5%,  215 ,72.4%
Network 6,610029,LOZANO,  174 ,  57 ,32.8%,  57 ,32.8%,  112 ,64.4%
Network 6,610062,MCCLELLAN,  304 ,  36 ,11.8%,  71 ,23.4%,  224 ,73.7%
Network 6,610107,OTIS,  309 ,  131 ,42.4%,  95 ,30.7%,  233 ,75.4%
Network 6,610229,PRITZKER,  655 ,  42 ,6.4%,  49 ,7.5%,  193 ,29.5%
Network 6,610138,PULASKI,  832 ,  124 ,14.9%,  84 ,10.1%,  344 ,41.4%
Network 6,610308,RUDOLPH,  97 ,  37 ,38.1%,  91 ,93.8%,  71 ,73.2%
Network 6,610342,SABIN,  374 ,  87 ,23.3%,  33 ,8.8%,  296 ,79.1%
Network 6,610180,SMYTH,  388 ,  6 ,1.6%,  68 ,17.5%,  321 ,82.7%
Network 6,610405,SUDER,  436 ,  21 ,4.8%,  55 ,12.6%,  178 ,40.8%
Network 6,610197,TALCOTT,  444 ,  193 ,43.5%,  95 ,21.4%,  294 ,66.2%
Network 7,609867,COOPER,  457 ,  263 ,57.6%,  70 ,15.3%,  389 ,85.1%
Network 7,610254,DVORAK,  327 ,  1 ,0.3%,  44 ,13.5%,  265 ,81.0%
Network 7,609967,FINKL,  222 ,  99 ,44.6%,  51 ,23.0%,  198 ,89.2%
Network 7,609938,GARY,  808 ,  382 ,47.3%,  134 ,16.6%,  747 ,92.5%
Network 7,609966,HAMMOND,  252 ,  121 ,48.0%,  51 ,20.2%,  213 ,84.5%
Network 7,609991,HERZL,  418 ,  1 ,0.2%,  64 ,15.3%,  363 ,86.8%
Network 7,610005,HUGHES C,  198 ,  2 ,1.0%,  29 ,14.7%,  159 ,80.3%
Network 7,609920,KANOON,  439 ,  205 ,46.7%,  49 ,11.2%,  382 ,87.0%
Network 7,610215,MADERO,  265 ,  110 ,41.5%,  45 ,17.0%,  259 ,97.7%
Network 7,610056,MASON,  268 ,  1 ,0.4%,  42 ,15.7%,  204 ,76.1%
Network 7,610063,MCCORMICK,  478 ,  235 ,49.2%,  76 ,15.9%,  405 ,84.7%
Network 7,610329,OROZCO,  275 ,  125 ,45.5%,  24 ,8.7%,  195 ,70.9%
Network 7,610123,PENN,  221 ,  5 ,2.3%,  44 ,19.9%,  167 ,75.6%
Network 7,609872,PEREZ,  287 ,  116 ,40.4%,  46 ,16.0%,  220 ,76.7%
Network 7,610129,PICKARD,  318 ,  128 ,40.3%,  57 ,17.9%,  276 ,86.8%
Network 7,610013,PILSEN,  229 ,  122 ,53.3%,  38 ,16.6%,  191 ,83.4%
Network 7,610125,RUIZ,  447 ,  166 ,37.1%,  75 ,16.8%,  364 ,81.4%
Network 7,610017,SAUCEDO,  901 ,  373 ,41.4%,  122 ,13.5%,  760 ,84.4%
Network 7,610184,SPRY ES,  325 ,  180 ,55.4%,  41 ,12.6%,  283 ,87.1%
Network 7,609921,TELPOCHCALLI,  248 ,  167 ,67.3%,  45 ,18.2%,  190 ,76.6%
Network 7,610216,WALSH,  256 ,  121 ,47.3%,  80 ,31.3%,  183 ,71.5%
Network 7,610227,WHITNEY,  676 ,  363 ,53.7%,  53 ,7.8%,  585 ,86.5%
Network 7,610228,WHITTIER,  178 ,  115 ,64.6%,  34 ,19.1%,  140 ,78.7%
Network 8,610317,BRIGHTON PARK,  332 ,  183 ,55.1%,  41 ,12.4%,  280 ,84.3%
Network 8,609829,BURROUGHS,  380 ,  150 ,39.5%,  46 ,12.1%,  326 ,85.8%
Network 8,610353,CALMECA,  665 ,  423 ,63.6%,  101 ,15.2%,  524 ,78.8%
Network 8,609855,CHRISTOPHER,  331 ,  198 ,59.8%,  172 ,52.0%,  280 ,84.6%
Network 8,610239,DALEY,  510 ,  296 ,58.0%,  44 ,8.6%,  446 ,87.5%
Network 8,609876,DAVIS N,  528 ,  311 ,58.9%,  96 ,18.2%,  447 ,84.7%
Network 8,609885,DEWEY,  297 ,  13 ,4.4%,  33 ,11.1%,  240 ,80.8%
Network 8,609903,EDWARDS,"  1,300 ",  758 ,58.3%,  173 ,13.3%,"  1,031 ",79.3%
Network 8,610319,EVERGREEN,  228 ,  80 ,35.1%,  33 ,14.5%,  200 ,87.7%
Network 8,609929,FULTON,  325 ,  138 ,42.5%,  48 ,14.8%,  274 ,84.3%
Network 8,609952,GREENE,  310 ,  147 ,47.4%,  39 ,12.6%,  246 ,79.4%
Network 8,609964,HAMLINE,  557 ,  318 ,57.1%,  106 ,19.0%,  463 ,83.1%
Network 8,609983,HEDGES,  493 ,  336 ,68.2%,  74 ,15.0%,  405 ,82.2%
Network 8,609986,HENDERSON,  188 ,  35 ,18.6%,  24 ,12.8%,  143 ,76.1%
Network 8,609997,HOLMES,  128 ,  8 ,6.3%,  9 ,7.0%,  89 ,69.5%
Network 8,610037,LIBBY,  285 ,  68 ,23.9%,  57 ,20.0%,  232 ,81.4%
Network 8,610096,NIGHTINGALE,"  1,054 ",  476 ,45.2%,  162 ,15.4%,  880 ,83.5%
Network 8,610117,PASTEUR,  579 ,  255 ,44.0%,  80 ,13.8%,  405 ,70.0%
Network 8,610157,SAWYER,"  1,103 ",  502 ,45.5%,  116 ,10.5%,  960 ,87.0%
Network 8,610167,SEWARD,  484 ,  267 ,55.2%,  57 ,11.8%,  423 ,87.4%
Network 8,610172,SHERMAN,  262 ,  8 ,3.1%,  32 ,12.2%,  211 ,80.5%
Network 8,610174,SHIELDS,  485 ,  219 ,45.2%,  58 ,12.0%,  372 ,76.7%
Network 8,610589,SOR JUANA,  317 ,  75 ,23.7%,  25 ,7.9%,  143 ,45.1%
Network 8,610203,TONTI,  833 ,  425 ,51.0%,  98 ,11.8%,  562 ,67.5%
Network 9,609951,ARIEL,  403 ,  5 ,1.2%,  61 ,15.1%,  268 ,66.5%
Network 9,610246,BEASLEY,"  1,035 ",  1 ,0.1%,  88 ,8.5%,  680 ,65.7%
Network 9,610237,BEETHOVEN,  294 ,,,  37 ,12.6%,  206 ,70.1%
Network 9,610590,BRONZEVILLE CLASSICAL,  327 ,  2 ,0.6%,  8 ,2.5%,  75 ,22.9%
Network 9,609819,BURKE,  269 ,  3 ,1.1%,  35 ,13.0%,  214 ,79.6%
Network 9,609837,CARNEGIE,  495 ,  2 ,0.4%,  65 ,13.1%,  384 ,77.6%
Network 9,609844,CARTER,  276 ,  1 ,0.4%,  25 ,9.1%,  205 ,74.3%
Network 9,609891,DOOLITTLE,  243 ,  2 ,0.8%,  28 ,11.5%,  189 ,77.8%
Network 9,609894,DRAKE,  281 ,  4 ,1.4%,  54 ,19.2%,  224 ,79.7%
Network 9,609919,FISKE,  355 ,  5 ,1.4%,  35 ,9.9%,  247 ,69.6%
Network 9,609928,FULLER,  313 ,,,  43 ,13.7%,  259 ,82.8%
Network 9,609969,HARTE,  331 ,  19 ,5.7%,  37 ,11.2%,  191 ,57.7%
Network 9,609987,HENDRICKS,  195 ,  4 ,2.1%,  54 ,27.7%,  162 ,83.1%
Network 9,610030,KOZMINSKI,  250 ,  10 ,4.0%,  38 ,15.2%,  178 ,71.2%
Network 9,610276,MOLLISON,  298 ,  2 ,0.7%,  28 ,9.4%,  236 ,79.2%
Network 9,610090,MURRAY,  484 ,  9 ,1.9%,  58 ,12.0%,  279 ,57.6%
Network 9,610126,PERSHING,  485 ,  15 ,3.1%,  56 ,11.6%,  340 ,70.1%
Network 9,610142,RAY,  563 ,  33 ,5.9%,  65 ,11.6%,  252 ,44.8%
Network 9,610143,REAVIS,  281 ,  4 ,1.4%,  54 ,19.2%,  202 ,71.9%
Network 9,610256,ROBINSON,  106 ,,,  14 ,13.2%,  71 ,67.0%
Network 9,610175,SHOESMITH,  310 ,  23 ,7.4%,  33 ,10.7%,  203 ,65.5%
Network 9,610065,TILL,  313 ,,,  48 ,15.3%,  228 ,72.8%
Network 9,610213,WADSWORTH,  465 ,  2 ,0.4%,  50 ,10.8%,  340 ,73.1%
Network 9,610110,WELLS ES,  313 ,  2 ,0.6%,  37 ,11.8%,  242 ,77.3%
Network 9,609977,WOODLAWN,  174 ,,,  14 ,8.1%,  118 ,67.8%
Network 9,610345,WOODSON,  288 ,  3 ,1.0%,  65 ,22.6%,  236 ,81.9%
Network 10,610287,ASHBURN,  342 ,  33 ,9.7%,  64 ,18.7%,  268 ,78.4%
Network 10,609788,BARNARD,  262 ,  3 ,1.2%,  37 ,14.1%,  175 ,66.8%
Network 10,610087,BLAIR,  218 ,  65 ,29.8%,  147 ,67.4%,  80 ,36.7%
Network 10,609832,BYRNE,  613 ,  91 ,14.9%,  111 ,18.1%,  261 ,42.6%
Network 10,609839,CARROLL,  385 ,  16 ,4.2%,  57 ,14.8%,  264 ,68.6%
Network 10,610347,CLAREMONT,  419 ,  45 ,10.7%,  96 ,22.9%,  340 ,81.2%
Network 10,609861,CLISSOLD,  389 ,  7 ,1.8%,  81 ,20.8%,  170 ,43.7%
Network 10,609879,DAWES,"  1,000 ",  300 ,30.0%,  165 ,16.5%,  821 ,82.1%
Network 10,609893,DORE,  719 ,  143 ,19.9%,  135 ,18.8%,  289 ,40.2%
Network 10,610352,DURKIN PARK,  679 ,  245 ,36.1%,  96 ,14.1%,  464 ,68.3%
Network 10,609898,EBERHART,"  1,123 ",  534 ,47.6%,  113 ,10.1%,  915 ,81.5%
Network 10,609908,ESMOND,  274 ,  1 ,0.4%,  38 ,13.9%,  215 ,78.5%
Network 10,610057,FAIRFIELD,  517 ,  287 ,55.5%,  53 ,10.3%,  427 ,82.6%
Network 10,609956,GRIMES,  393 ,  132 ,33.6%,  61 ,15.5%,  265 ,67.4%
Network 10,609960,HALE,  801 ,  208 ,26.0%,  110 ,13.7%,  473 ,59.1%
Network 10,609807,HAMPTON,  485 ,  140 ,28.9%,  74 ,15.3%,  379 ,78.1%
Network 10,609981,HEARST,  308 ,  91 ,29.6%,  112 ,36.4%,  232 ,75.3%
Network 10,610006,HURLEY,  732 ,  349 ,47.7%,  102 ,13.9%,  567 ,77.5%
Network 10,610084,KELLER,  212 ,  13 ,6.1%,  3 ,1.4%,  48 ,22.6%
Network 10,610016,KELLOGG,  278 ,  1 ,0.4%,  42 ,15.1%,  98 ,35.3%
Network 10,610053,MARQUETTE,  981 ,  444 ,45.3%,  138 ,14.1%,  796 ,81.1%
Network 10,610067,MCKAY,  651 ,  114 ,17.5%,  92 ,14.1%,  513 ,78.8%
Network 10,610077,MORRILL,  481 ,  211 ,43.9%,  59 ,12.3%,  401 ,83.4%
Network 10,610109,OWEN,  267 ,  1 ,0.4%,  34 ,12.7%,  146 ,54.7%
Network 10,610588,RICHARDSON,  977 ,  341 ,34.9%,  117 ,12.0%,  895 ,91.6%
Network 10,610185,STEVENSON,"  1,086 ",  495 ,45.6%,  203 ,18.7%,  866 ,79.7%
Network 10,610195,SUTHERLAND,  606 ,  3 ,0.5%,  85 ,14.0%,  209 ,34.5%
Network 10,610206,TWAIN,  954 ,  237 ,24.8%,  107 ,11.2%,  633 ,66.4%
Network 10,610207,VANDERPOEL,  255 ,,,  29 ,11.4%,  138 ,54.1%
Network 10,609871,VICK,  274 ,  47 ,17.2%,  101 ,36.9%,  41 ,15.0%
Network 11,609790,BARTON,  309 ,  7 ,2.3%,  61 ,19.7%,  247 ,79.9%
Network 11,609791,BASS,  379 ,  3 ,0.8%,  48 ,12.7%,  300 ,79.2%
Network 11,610238,BOND,  231 ,  2 ,0.9%,  56 ,24.2%,  186 ,80.5%
Network 11,609864,COOK,  298 ,  6 ,2.0%,  42 ,14.1%,  236 ,79.2%
Network 11,610003,CUFFE,  225 ,,,  34 ,15.1%,  160 ,71.1%
Network 11,609897,EARLE,  269 ,  14 ,5.2%,  33 ,12.3%,  197 ,73.2%
Network 11,610362,EVERS,  213 ,  1 ,0.5%,  22 ,10.3%,  160 ,75.1%
Network 11,609924,FORT DEARBORN,  347 ,,,  64 ,18.4%,  274 ,79.0%
Network 11,609927,FOSTER PARK,  320 ,  1 ,0.3%,  83 ,25.9%,  232 ,72.5%
Network 11,610032,GREEN,  326 ,  2 ,0.6%,  82 ,25.2%,  242 ,74.2%
Network 11,609955,GRESHAM,  363 ,  1 ,0.3%,  49 ,13.5%,  312 ,86.0%
Network 11,609971,HARVARD,  377 ,  1 ,0.3%,  76 ,20.2%,  298 ,79.1%
Network 11,610369,JACKSON M,  295 ,  1 ,0.3%,  76 ,25.8%,  247 ,83.7%
Network 11,609805,JOPLIN,  379 ,  2 ,0.5%,  40 ,10.6%,  298 ,78.6%
Network 11,610019,KERSHAW,  247 ,  5 ,2.0%,  51 ,20.7%,  194 ,78.5%
Network 11,610299,KING ES,  245 ,  3 ,1.2%,  35 ,14.3%,  192 ,78.4%
Network 11,609869,LANGFORD,  174 ,  4 ,2.3%,  18 ,10.3%,  139 ,79.9%
Network 11,610290,MAYS,  257 ,  4 ,1.6%,  39 ,15.2%,  204 ,79.4%
Network 11,609793,NICHOLSON,  448 ,  12 ,2.7%,  36 ,8.0%,  358 ,79.9%
Network 11,610102,OGLESBY,  272 ,,,  39 ,14.3%,  224 ,82.4%
Network 11,610108,OTOOLE,  328 ,  49 ,14.9%,  33 ,10.1%,  256 ,78.1%
Network 11,610112,PARKER,  393 ,  1 ,0.3%,  38 ,9.7%,  308 ,78.4%
Network 11,609941,RANDOLPH,  354 ,  21 ,5.9%,  34 ,9.6%,  295 ,83.3%
Network 11,610153,RYDER,  364 ,  2 ,0.6%,  114 ,31.3%,  297 ,81.6%
Network 11,610339,STAGG,  372 ,  12 ,3.2%,  48 ,12.9%,  292 ,78.5%
Network 11,610223,WENTWORTH,  407 ,  13 ,3.2%,  89 ,21.9%,  321 ,78.9%
Network 11,610300,WESTCOTT,  423 ,  5 ,1.2%,  68 ,16.1%,  318 ,75.2%
Network 12,610268,ASHE,  320 ,  1 ,0.3%,  33 ,10.3%,  216 ,67.5%
Network 12,610350,BLACK,  386 ,  2 ,0.5%,  40 ,10.4%,  280 ,72.5%
